date,team,opponent,win_lost,runs,runs_against,season
2010-04-05,HOU,SFG,L,2,5,regular
2010-04-06,HOU,SFG,L,0,3,regular
2010-04-07,HOU,SFG,L,4,10,regular
2010-04-09,HOU,PHI,L,0,8,regular
2010-04-10,HOU,PHI,L,6,9,regular
2010-04-11,HOU,PHI,L,1,2,regular
2010-04-20,HOU,FLA,W,7,5,regular
2010-04-21,HOU,FLA,W,5,4,regular
2010-04-22,HOU,FLA,L,1,5,regular
2010-04-23,HOU,PIT,W,4,3,regular
2010-04-24,HOU,PIT,W,5,2,regular
2010-04-25,HOU,PIT,W,10,3,regular
2010-04-27,HOU,CIN,L,2,6,regular
2010-04-28,HOU,CIN,L,4,6,regular
2010-04-29,HOU,CIN,L,2,4,regular
2010-05-03,HOU,ARI,L,1,9,regular
2010-05-04,HOU,ARI,L,0,1,regular
2010-05-05,HOU,ARI,W,4,2,regular
2010-05-06,HOU,ARI,L,3,6,regular
2010-05-07,HOU,SDP,L,0,7,regular
2010-05-08,HOU,SDP,L,1,2,regular
2010-05-09,HOU,SDP,W,4,3,regular
2010-05-19,HOU,COL,W,7,3,regular
2010-05-20,HOU,COL,L,0,4,regular
2010-05-21,HOU,TBR,W,2,1,regular
2010-05-22,HOU,TBR,L,2,4,regular
2010-05-23,HOU,TBR,L,6,10,regular
2010-05-31,HOU,WSN,L,4,14,regular
2010-06-01,HOU,WSN,W,8,7,regular
2010-06-02,HOU,WSN,W,5,1,regular
2010-06-03,HOU,WSN,W,6,4,regular
2010-06-04,HOU,CHC,W,3,1,regular
2010-06-05,HOU,CHC,L,5,8,regular
2010-06-06,HOU,CHC,W,6,3,regular
2010-06-18,HOU,TEX,L,3,9,regular
2010-06-19,HOU,TEX,L,1,5,regular
2010-06-20,HOU,TEX,L,4,5,regular
2010-06-22,HOU,SFG,L,1,3,regular
2010-06-23,HOU,SFG,W,6,3,regular
2010-06-24,HOU,SFG,W,7,5,regular
2010-07-06,HOU,PIT,W,6,2,regular
2010-07-07,HOU,PIT,W,6,3,regular
2010-07-08,HOU,PIT,W,2,0,regular
2010-07-09,HOU,STL,L,0,8,regular
2010-07-10,HOU,STL,W,4,1,regular
2010-07-11,HOU,STL,L,2,4,regular
2010-07-23,HOU,CIN,L,4,6,regular
2010-07-24,HOU,CIN,L,0,7,regular
2010-07-25,HOU,CIN,W,4,0,regular
2010-07-26,HOU,CHC,L,2,5,regular
2010-07-27,HOU,CHC,W,6,1,regular
2010-07-28,HOU,CHC,W,8,1,regular
2010-07-30,HOU,MIL,W,5,0,regular
2010-07-31,HOU,MIL,W,6,0,regular
2010-08-01,HOU,MIL,W,5,2,regular
2010-08-09,HOU,ATL,W,10,4,regular
2010-08-10,HOU,ATL,L,2,4,regular
2010-08-11,HOU,ATL,L,2,8,regular
2010-08-13,HOU,PIT,W,4,1,regular
2010-08-14,HOU,PIT,W,3,2,regular
2010-08-15,HOU,PIT,W,8,2,regular
2010-08-16,HOU,NYM,L,1,3,regular
2010-08-17,HOU,NYM,W,4,3,regular
2010-08-18,HOU,NYM,L,2,3,regular
2010-08-19,HOU,NYM,W,3,2,regular
2010-08-30,HOU,STL,W,3,0,regular
2010-08-31,HOU,STL,W,3,0,regular
2010-09-01,HOU,STL,W,5,2,regular
2010-09-09,HOU,LAD,W,3,2,regular
2010-09-10,HOU,LAD,L,2,4,regular
2010-09-11,HOU,LAD,L,3,6,regular
2010-09-12,HOU,LAD,W,7,4,regular
2010-09-13,HOU,MIL,W,4,2,regular
2010-09-14,HOU,MIL,W,3,2,regular
2010-09-15,HOU,MIL,L,6,8,regular
2010-09-17,HOU,CIN,W,5,3,regular
2010-09-18,HOU,CIN,L,1,11,regular
2010-09-19,HOU,CIN,W,4,3,regular
