date,team,opponent,tm,opp,win_lost,season
2009-10-31,Houston Rockets,Portland Trail Blazers,111,107,W,regular
2009-11-04,Houston Rockets,Los Angeles Lakers,102,103,L,regular
2009-11-06,Houston Rockets,Oklahoma City Thunder,105,94,W,regular
2009-11-11,Houston Rockets,Memphis Grizzlies,104,79,W,regular
2009-11-17,Houston Rockets,Phoenix Suns,105,111,L,regular
2009-11-21,Houston Rockets,Sacramento Kings,113,106,W,regular
2009-11-25,Houston Rockets,Dallas Mavericks,99,130,L,regular
2009-11-27,Houston Rockets,San Antonio Spurs,84,92,L,regular
2009-12-09,Houston Rockets,Cleveland Cavaliers,95,85,W,regular
2009-12-15,Houston Rockets,Detroit Pistons,107,96,W,regular
2009-12-19,Houston Rockets,Oklahoma City Thunder,95,90,W,regular
2009-12-22,Houston Rockets,Los Angeles Clippers,108,99,W,regular
2009-12-29,Houston Rockets,New Orleans Hornets,108,100,W,regular
2009-12-31,Houston Rockets,Dallas Mavericks,97,94,W,regular
2010-01-09,Houston Rockets,New York Knicks,105,96,W,regular
2010-01-13,Houston Rockets,Minnesota Timberwolves,120,114,W,regular
2010-01-15,Houston Rockets,Miami Heat,106,115,L,regular
2010-01-18,Houston Rockets,Milwaukee Bucks,101,98,W,regular
2010-01-23,Houston Rockets,Chicago Bulls,97,104,L,regular
2010-01-25,Houston Rockets,Atlanta Hawks,95,102,L,regular
2010-01-27,Houston Rockets,Denver Nuggets,92,97,L,regular
2010-01-29,Houston Rockets,Portland Trail Blazers,104,100,W,regular
2010-01-31,Houston Rockets,Phoenix Suns,111,115,L,regular
2010-02-02,Houston Rockets,Golden State Warriors,119,97,W,regular
2010-02-06,Houston Rockets,Philadelphia 76ers,95,102,L,regular
2010-02-16,Houston Rockets,Utah Jazz,95,104,L,regular
2010-02-20,Houston Rockets,Indiana Pacers,115,125,L,regular
2010-02-24,Houston Rockets,Orlando Magic,92,110,L,regular
2010-02-26,Houston Rockets,San Antonio Spurs,109,104,W,regular
2010-03-01,Houston Rockets,Toronto Raptors,116,92,W,regular
2010-03-03,Houston Rockets,Sacramento Kings,81,84,L,regular
2010-03-13,Houston Rockets,New Jersey Nets,116,108,W,regular
2010-03-15,Houston Rockets,Denver Nuggets,125,123,W,regular
2010-03-17,Houston Rockets,Memphis Grizzlies,107,94,W,regular
2010-03-19,Houston Rockets,Boston Celtics,87,94,L,regular
2010-03-25,Houston Rockets,Los Angeles Clippers,93,99,L,regular
2010-03-27,Houston Rockets,Los Angeles Lakers,101,109,L,regular
2010-03-30,Houston Rockets,Washington Wizards,98,94,W,regular
2010-04-07,Houston Rockets,Utah Jazz,113,96,W,regular
2010-04-09,Houston Rockets,Charlotte Bobcats,97,90,W,regular
2010-04-14,Houston Rockets,New Orleans Hornets,115,123,L,regular
2010-10-30,Houston Rockets,Denver Nuggets,94,107,L,regular
2010-11-03,Houston Rockets,New Orleans Hornets,99,107,L,regular
2010-11-07,Houston Rockets,Minnesota Timberwolves,120,94,W,regular
2010-11-16,Houston Rockets,Chicago Bulls,92,95,L,regular
2010-11-22,Houston Rockets,Phoenix Suns,116,123,L,regular
2010-11-24,Houston Rockets,Golden State Warriors,111,101,W,regular
2010-11-28,Houston Rockets,Oklahoma City Thunder,99,98,W,regular
2010-12-01,Houston Rockets,Los Angeles Lakers,109,99,W,regular
2010-12-07,Houston Rockets,Detroit Pistons,97,83,W,regular
2010-12-11,Houston Rockets,Cleveland Cavaliers,110,95,W,regular
2010-12-14,Houston Rockets,Sacramento Kings,118,105,W,regular
2010-12-17,Houston Rockets,Memphis Grizzlies,103,87,W,regular
2010-12-27,Houston Rockets,Washington Wizards,100,93,W,regular
2010-12-29,Houston Rockets,Miami Heat,119,125,L,regular
2010-12-31,Houston Rockets,Toronto Raptors,114,105,W,regular
2011-01-05,Houston Rockets,Portland Trail Blazers,100,103,L,regular
2011-01-08,Houston Rockets,Utah Jazz,99,103,L,regular
2011-01-12,Houston Rockets,Oklahoma City Thunder,112,118,L,regular
2011-01-14,Houston Rockets,New Orleans Hornets,105,110,L,regular
2011-01-17,Houston Rockets,Milwaukee Bucks,93,84,W,regular
2011-01-19,Houston Rockets,New York Knicks,104,89,W,regular
2011-01-22,Houston Rockets,Orlando Magic,104,118,L,regular
2011-01-26,Houston Rockets,Los Angeles Clippers,96,83,W,regular
2011-02-05,Houston Rockets,Memphis Grizzlies,95,93,W,regular
2011-02-08,Houston Rockets,Minnesota Timberwolves,108,112,L,regular
2011-02-12,Houston Rockets,Dallas Mavericks,102,106,L,regular
2011-02-14,Houston Rockets,Denver Nuggets,121,102,W,regular
2011-02-16,Houston Rockets,Philadelphia 76ers,105,114,L,regular
2011-02-26,Houston Rockets,New Jersey Nets,123,108,W,regular
2011-03-05,Houston Rockets,Indiana Pacers,112,95,W,regular
2011-03-12,Houston Rockets,San Antonio Spurs,107,115,L,regular
2011-03-14,Houston Rockets,Phoenix Suns,95,93,W,regular
2011-03-16,Houston Rockets,Charlotte Bobcats,94,78,W,regular
2011-03-18,Houston Rockets,Boston Celtics,93,77,W,regular
2011-03-20,Houston Rockets,Utah Jazz,110,108,W,regular
2011-03-23,Houston Rockets,Golden State Warriors,131,112,W,regular
2011-04-01,Houston Rockets,San Antonio Spurs,119,114,W,regular
2011-04-03,Houston Rockets,Atlanta Hawks,114,109,W,regular
2011-04-05,Houston Rockets,Sacramento Kings,101,104,L,regular
2011-04-09,Houston Rockets,Los Angeles Clippers,99,78,W,regular
2011-04-11,Houston Rockets,Dallas Mavericks,91,98,L,regular
2011-12-29,Houston Rockets,San Antonio Spurs,105,85,W,regular
2011-12-31,Houston Rockets,Atlanta Hawks,95,84,W,regular
2012-01-07,Houston Rockets,Oklahoma City Thunder,95,98,L,regular
2012-01-13,Houston Rockets,Sacramento Kings,103,89,W,regular
2012-01-14,Houston Rockets,Portland Trail Blazers,107,105,W,regular
2012-01-17,Houston Rockets,Detroit Pistons,97,80,W,regular
2012-01-19,Houston Rockets,New Orleans Hornets,90,88,W,regular
2012-01-21,Houston Rockets,San Antonio Spurs,105,102,W,regular
2012-01-25,Houston Rockets,Milwaukee Bucks,99,105,L,regular
2012-01-27,Houston Rockets,Washington Wizards,103,76,W,regular
2012-01-28,Houston Rockets,New York Knicks,97,84,W,regular
2012-01-30,Houston Rockets,Minnesota Timberwolves,108,120,L,regular
2012-02-03,Houston Rockets,Phoenix Suns,99,81,W,regular
2012-02-15,Houston Rockets,Oklahoma City Thunder,96,95,W,regular
2012-02-17,Houston Rockets,Minnesota Timberwolves,98,111,L,regular
2012-02-19,Houston Rockets,Utah Jazz,101,85,W,regular
2012-02-20,Houston Rockets,Memphis Grizzlies,97,93,W,regular
2012-02-22,Houston Rockets,Philadelphia 76ers,93,87,W,regular
2012-02-28,Houston Rockets,Toronto Raptors,88,85,W,regular
2012-03-02,Houston Rockets,Denver Nuggets,105,117,L,regular
2012-03-04,Houston Rockets,Los Angeles Clippers,103,105,L,regular
2012-03-14,Houston Rockets,Charlotte Bobcats,107,87,W,regular
2012-03-20,Houston Rockets,Los Angeles Lakers,107,104,W,regular
2012-03-22,Houston Rockets,Golden State Warriors,109,83,W,regular
2012-03-24,Houston Rockets,Dallas Mavericks,99,101,L,regular
2012-03-26,Houston Rockets,Sacramento Kings,113,106,W,regular
2012-03-30,Houston Rockets,Memphis Grizzlies,98,89,W,regular
2012-04-01,Houston Rockets,Indiana Pacers,102,104,L,regular
2012-04-11,Houston Rockets,Utah Jazz,91,103,L,regular
2012-04-13,Houston Rockets,Phoenix Suns,105,112,L,regular
2012-04-16,Houston Rockets,Denver Nuggets,102,105,L,regular
2012-04-21,Houston Rockets,Golden State Warriors,99,96,W,regular
2012-04-26,Houston Rockets,New Orleans Hornets,84,77,W,regular
2012-11-03,Houston Rockets,Portland Trail Blazers,85,95,L,regular
2012-11-07,Houston Rockets,Denver Nuggets,87,93,L,regular
2012-11-10,Houston Rockets,Detroit Pistons,96,82,W,regular
2012-11-12,Houston Rockets,Miami Heat,110,113,L,regular
2012-11-14,Houston Rockets,New Orleans Hornets,100,96,W,regular
2012-11-21,Houston Rockets,Chicago Bulls,93,89,W,regular
