G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,"Sat, Apr 18, 2015",9:30p ET,,Box Score,,Dallas Mavericks,W,,118,108,1,0,W 1,
2,"Tue, Apr 21, 2015",9:30p ET,,Box Score,,Dallas Mavericks,W,,111,99,2,0,W 2,
3,"Fri, Apr 24, 2015",7:00p ET,,Box Score,@,Dallas Mavericks,W,,130,128,3,0,W 3,
4,"Sun, Apr 26, 2015",9:00p ET,,Box Score,@,Dallas Mavericks,L,,109,121,3,1,L 1,
5,"Tue, Apr 28, 2015",8:00p ET,,Box Score,,Dallas Mavericks,W,,103,94,4,1,W 1,
6,"Mon, May 4, 2015",9:30p ET,,Box Score,,Los Angeles Clippers,L,,101,117,4,2,L 1,
7,"Wed, May 6, 2015",9:30p ET,,Box Score,,Los Angeles Clippers,W,,115,109,5,2,W 1,
8,"Fri, May 8, 2015",10:30p ET,,Box Score,@,Los Angeles Clippers,L,,99,124,5,3,L 1,
9,"Sun, May 10, 2015",8:30p ET,,Box Score,@,Los Angeles Clippers,L,,95,128,5,4,L 2,
10,"Tue, May 12, 2015",9:30p ET,,Box Score,,Los Angeles Clippers,W,,124,103,6,4,W 1,
11,"Thu, May 14, 2015",10:30p ET,,Box Score,@,Los Angeles Clippers,W,,119,107,7,4,W 2,
12,"Sun, May 17, 2015",3:30p ET,,Box Score,,Los Angeles Clippers,W,,113,100,8,4,W 3,
13,"Tue, May 19, 2015",9:00p ET,,Box Score,@,Golden State Warriors,L,,106,110,8,5,L 1,
14,"Thu, May 21, 2015",9:00p ET,,Box Score,@,Golden State Warriors,L,,98,99,8,6,L 2,
15,"Sat, May 23, 2015",9:00p ET,,Box Score,,Golden State Warriors,L,,80,115,8,7,L 3,
16,"Mon, May 25, 2015",9:00p ET,,Box Score,,Golden State Warriors,W,,128,115,9,7,W 1,
17,"Wed, May 27, 2015",9:00p ET,,Box Score,@,Golden State Warriors,L,,90,104,9,8,L 1,
