scheduled,home.alias,scoring.home_points,away.alias,scoring.away_points,WIN
2000-09-03 18:03:36,NO,10.0,DET,14.0,DET
2000-09-03 18:04:35,NE,16.0,TB,21.0,TB
2000-09-03 21:15:54,MIA,23.0,SEA,0.0,MIA
2000-09-03 21:20:12,GB,16.0,NYJ,20.0,NYJ
2000-09-03 19:02:58,WAS,20.0,CAR,17.0,WAS
2000-09-03 00:00:00,PIT,0.0,BAL,16.0,BAL
2000-09-03 18:02:00,ATL,36.0,SF,28.0,ATL
2000-09-03 00:00:00,OAK,9.0,SD,6.0,OAK
2000-09-03 18:12:42,KC,14.0,IND,27.0,IND
2000-09-03 18:03:33,NYG,21.0,ARI,16.0,NYG
2000-09-04 01:34:05,BUF,16.0,TEN,13.0,BUF
2000-09-03 21:05:48,DAL,14.0,PHI,41.0,PHI
2000-09-05 02:09:20,STL,41.0,DEN,36.0,STL
2000-09-03 19:03:33,MIN,30.0,CHI,27.0,MIN
2000-09-04 05:01:03,CLE,7.0,JAC,27.0,JAC
2000-09-10 21:15:00,SEA,34.0,STL,37.0,STL
2000-09-10 18:05:03,TB,41.0,CHI,0.0,TB
2000-09-10 18:03:35,BAL,39.0,JAC,36.0,BAL
2000-09-10 21:16:19,DET,15.0,WAS,10.0,DET
2000-09-12 02:10:14,NYJ,20.0,NE,19.0,NYJ
2000-09-10 18:10:25,PHI,18.0,NYG,33.0,NYG
2000-09-11 00:36:10,ARI,32.0,DAL,31.0,ARI
2000-09-10 19:02:50,MIN,13.0,MIA,7.0,MIN
2000-09-10 18:02:36,BUF,27.0,GB,18.0,BUF
2000-09-10 21:17:18,SD,27.0,NO,28.0,NO
2000-09-10 17:59:40,CIN,7.0,CLE,24.0,CLE
2000-09-10 21:15:24,DEN,42.0,ATL,14.0,DEN
2000-09-10 17:03:24,IND,31.0,OAK,38.0,OAK
2000-09-11 06:12:03,TEN,17.0,KC,14.0,TEN
2000-09-10 21:17:07,SF,22.0,CAR,38.0,CAR
2000-09-17 17:04:16,NYJ,27.0,BUF,14.0,NYJ
2000-09-17 00:00:00,SEA,20.0,NO,10.0,SEA
2000-09-19 03:20:48,WAS,21.0,DAL,27.0,DAL
2000-09-17 18:04:23,CLE,23.0,PIT,20.0,CLE
2000-09-17 21:15:14,NE,13.0,MIN,21.0,MIN
2000-09-17 17:02:30,GB,6.0,PHI,3.0,GB
2000-09-17 22:32:22,OAK,24.0,DEN,33.0,DEN
2000-09-17 18:03:41,STL,41.0,SF,24.0,STL
2000-09-17 21:18:54,CHI,7.0,NYG,14.0,NYG
2000-09-17 18:03:36,JAC,13.0,CIN,0.0,JAC
2000-09-18 01:36:01,MIA,19.0,BAL,6.0,MIA
2000-09-17 20:05:59,KC,42.0,SD,10.0,KC
2000-09-17 18:04:24,CAR,10.0,ATL,15.0,ATL
2000-09-17 18:02:56,DET,10.0,TB,31.0,TB
2000-09-24 18:03:19,BAL,37.0,CIN,0.0,BAL
2000-09-24 21:15:58,SD,12.0,SEA,20.0,SEA
2000-09-25 01:37:10,NYG,6.0,WAS,16.0,WAS
2000-09-26 01:09:10,IND,43.0,JAC,14.0,IND
2000-09-24 18:06:41,PIT,20.0,TEN,23.0,TEN
2000-09-24 20:10:18,ARI,3.0,GB,29.0,GB
2000-09-24 18:02:00,ATL,20.0,STL,41.0,STL
2000-09-24 21:25:55,OAK,36.0,CLE,10.0,OAK
2000-09-24 18:02:37,NO,7.0,PHI,21.0,PHI
2000-09-24 21:17:14,TB,17.0,NYJ,21.0,NYJ
2000-09-24 18:02:07,DAL,24.0,SF,41.0,SF
2000-09-24 18:58:55,CHI,14.0,DET,21.0,DET
2000-09-24 21:15:30,DEN,22.0,KC,23.0,KC
2000-09-24 18:03:06,MIA,10.0,NE,3.0,MIA
2000-10-01 18:04:47,CLE,0.0,BAL,12.0,BAL
2000-10-01 18:02:56,DET,24.0,MIN,31.0,MIN
2000-10-01 18:02:14,BUF,16.0,IND,18.0,IND
2000-10-01 18:02:46,STL,57.0,SD,31.0,STL
2000-10-01 21:15:52,SF,27.0,ARI,20.0,SF
2000-10-02 01:40:03,PHI,38.0,ATL,10.0,PHI
2000-10-01 18:03:15,CAR,13.0,DAL,16.0,DAL
2000-10-01 21:05:33,CIN,16.0,MIA,31.0,MIA
2000-10-01 00:00:00,WAS,20.0,TB,17.0,WAS
2000-10-01 18:02:41,JAC,13.0,PIT,24.0,PIT
2000-10-03 02:11:47,KC,24.0,SEA,17.0,KC
2000-10-01 18:03:00,TEN,28.0,NYG,14.0,TEN
2000-10-01 21:05:16,DEN,19.0,NE,28.0,NE
