Date,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year
2010-01-01,10H60,4000-4099,canfield,Robbery,bank prk,1.0,4,1,Friday,Jan,2010
2010-01-01,10H60,2500-2599,southmore,Burglary,apartment,1.0,0,1,Friday,Jan,2010
2010-01-01,10H60,3200-3299,tampa,Burglary,house,1.0,17,1,Friday,Jan,2010
2010-01-01,10H60,3700-3799,odin,Theft,apartment,1.0,6,1,Friday,Jan,2010
2010-01-01,10H60,5500-5599,live oak,Theft,apartment,1.0,14,1,Friday,Jan,2010
2010-01-01,10H60,4000-4099,canfield,Robbery,bank prk,1.0,4,1,Friday,Jan,2010
2010-01-01,10H60,3500-3599,macgregor,Theft,apartment,1.0,0,1,Friday,Jan,2010
2010-01-01,10H60,5500-5599,live oak,Theft,apartment,1.0,14,1,Friday,Jan,2010
2010-01-01,10H60,3200-3299,tampa,Burglary,house,1.0,17,1,Friday,Jan,2010
2010-01-01,10H60,2500-2599,southmore,Burglary,apartment,1.0,0,1,Friday,Jan,2010
2010-01-01,10H60,3700-3799,odin,Theft,apartment,1.0,6,1,Friday,Jan,2010
2010-01-01,10H60,3500-3599,macgregor,Theft,apartment,1.0,0,1,Friday,Jan,2010
2010-01-02,10H60,4400-4499,macgregor,Burglary,apartment,1.0,10,2,Saturday,Jan,2010
2010-01-02,10H60,4300-4399,live oak,Theft,street,1.0,19,2,Saturday,Jan,2010
2010-01-02,10H60,3800-3899,rosedale,Burglary,house,1.0,22,2,Saturday,Jan,2010
2010-01-02,10H60,4300-4399,live oak,Theft,street,1.0,19,2,Saturday,Jan,2010
2010-01-02,10H60,4400-4499,macgregor,Burglary,apartment,1.0,10,2,Saturday,Jan,2010
2010-01-02,10H60,3800-3899,rosedale,Burglary,house,1.0,22,2,Saturday,Jan,2010
2010-01-03,10H60,6500-6599,bowling green,Aggravated Assault,street,1.0,1,3,Sunday,Jan,2010
2010-01-03,10H60,3100-3199,southmore,Theft,prk,1.0,20,3,Sunday,Jan,2010
2010-01-03,10H60,3100-3199,southmore,Theft,prk,1.0,20,3,Sunday,Jan,2010
2010-01-03,10H60,6500-6599,bowling green,Aggravated Assault,street,1.0,1,3,Sunday,Jan,2010
2010-01-05,10H60,2400-2499,southmore,Burglary,house,1.0,9,5,Tuesday,Jan,2010
2010-01-05,10H60,2500-2599,macgregor,Theft,street,1.0,9,5,Tuesday,Jan,2010
2010-01-05,10H60,2500-2599,oakdale,Theft,house,1.0,13,5,Tuesday,Jan,2010
2010-01-05,10H60,2500-2599,oakdale,Theft,house,1.0,13,5,Tuesday,Jan,2010
