Date_Hour,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year
2010-01-01 00:00:00,10H10,500-599,EASTWOOD,Burglary,misc. business (non-specific),1,0,1,Friday,Jan,2010
2010-01-01 00:00:00,10H60,2500-2599,SOUTHMORE,Burglary,apartment,1,0,1,Friday,Jan,2010
2010-01-01 00:00:00,10H60,3500-3599,MACGREGOR,Theft,apartment,1,0,1,Friday,Jan,2010
2010-01-01 01:00:00,10H40,2400-2499,SAN JACINTO,Theft,bar/night club,1,1,1,Friday,Jan,2010
2010-01-01 03:00:00,10H40,1400-1499,ALABAMA,Theft,other parking lot,1,3,1,Friday,Jan,2010
2010-01-01 04:00:00,10H60,4000-4099,CANFIELD,Robbery,bank/saving institution parking lot,1,4,1,Friday,Jan,2010
2010-01-01 05:00:00,10H40,2400-2499,SAN JACINTO,Theft,bar/night club,1,5,1,Friday,Jan,2010
2010-01-01 06:00:00,10H10,2300-2399,SPERBER,Rape,residence/house,1,6,1,Friday,Jan,2010
2010-01-01 06:00:00,10H60,3700-3799,ODIN,Theft,apartment,1,6,1,Friday,Jan,2010
2010-01-01 14:00:00,10H60,5500-5599,LIVE OAK,Theft,apartment,1,14,1,Friday,Jan,2010
2010-01-01 17:00:00,10H10,1900-1999,RUNNELS,Burglary,apartment,1,17,1,Friday,Jan,2010
2010-01-01 17:00:00,10H60,3200-3299,TAMPA,Burglary,residence/house,1,17,1,Friday,Jan,2010
2010-01-01 19:00:00,10H70,6500-6599,FANNIN,Aggravated Assault,hospital,1,19,1,Friday,Jan,2010
2010-01-01 20:00:00,10H10,1900-1999,RUNNELS,Theft,road/street/sidewalk,1,20,1,Friday,Jan,2010
2010-01-01 21:00:00,10H70,4800-4899,AUSTIN,Burglary,residence/house,1,21,1,Friday,Jan,2010
2010-01-01 23:00:00,10H70,1900-1999,WENTWORTH,Aggravated Assault,residence/house,1,23,1,Friday,Jan,2010
2010-01-02 00:00:00,10H40,1200-1299,ANITA,Theft,road/street/sidewalk,1,0,2,Saturday,Jan,2010
2010-01-02 10:00:00,10H60,4400-4499,MACGREGOR,Burglary,apartment,1,10,2,Saturday,Jan,2010
2010-01-02 15:00:00,10H70,6600-6699,FANNIN,Theft,hospital,1,15,2,Saturday,Jan,2010
2010-01-02 15:00:00,10H70,6400-6499,FANNIN,Theft,hospital,1,15,2,Saturday,Jan,2010
2010-01-02 15:00:00,10H70,1400-1499,OAKDALE,Theft,apartment parking lot,1,15,2,Saturday,Jan,2010
2010-01-02 17:00:00,10H40,4200-4299,MAIN,Theft,other parking lot,1,17,2,Saturday,Jan,2010
2010-01-02 19:00:00,10H10,0-99,YORK,Burglary,residence/house,1,19,2,Saturday,Jan,2010
2010-01-02 19:00:00,10H60,4300-4399,LIVE OAK,Theft,road/street/sidewalk,1,19,2,Saturday,Jan,2010
2010-01-02 20:00:00,10H70,6500-6599,FANNIN,Theft,hospital,1,20,2,Saturday,Jan,2010
2010-01-02 22:00:00,10H60,3800-3899,ROSEDALE,Burglary,residence/house,1,22,2,Saturday,Jan,2010
2010-01-03 00:00:00,10H40,2600-2699,AUSTIN,Auto Theft,road/street/sidewalk,1,0,3,Sunday,Jan,2010
2010-01-03 00:00:00,10H40,1400-1499,DENNIS,Theft,road/street/sidewalk,1,0,3,Sunday,Jan,2010
2010-01-03 00:00:00,10H10,200-299,GRACE,Auto Theft,apartment parking lot,1,0,3,Sunday,Jan,2010
2010-01-03 00:00:00,10H40,2300-2399,CAROLINE,Theft,road/street/sidewalk,1,0,3,Sunday,Jan,2010
