Date_Hour,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year
2010-01-01 00:00:00,10H10,500-599,EASTWOOD,Burglary,misc. business (non-specific),1,0,1,Friday,Jan,2010
2010-01-01 06:00:00,10H10,2300-2399,SPERBER,Rape,residence/house,1,6,1,Friday,Jan,2010
2010-01-01 17:00:00,10H10,1900-1999,RUNNELS,Burglary,apartment,1,17,1,Friday,Jan,2010
2010-01-01 20:00:00,10H10,1900-1999,RUNNELS,Theft,road/street/sidewalk,1,20,1,Friday,Jan,2010
2010-01-02 19:00:00,10H10,0-99,YORK,Burglary,residence/house,1,19,2,Saturday,Jan,2010
2010-01-03 00:00:00,10H10,200-299,GRACE,Auto Theft,apartment parking lot,1,0,3,Sunday,Jan,2010
2010-01-03 12:00:00,10H10,500-599,BRYAN,Burglary,auto repair,1,12,3,Sunday,Jan,2010
2010-01-04 08:00:00,10H10,400-499,HUNT,Theft,commercial parking lot/garage,1,8,4,Monday,Jan,2010
2010-01-04 14:00:00,10H10,1900-1999,RUNNELS,Burglary,apartment,1,14,4,Monday,Jan,2010
2010-01-05 02:00:00,10H10,3300-3399,CANAL,Burglary,convenience store,1,2,5,Tuesday,Jan,2010
2010-01-07 17:00:00,10H10,600-699,NAVIGATION,Robbery,road/street/sidewalk,1,17,7,Thursday,Jan,2010
2010-01-08 18:00:00,10H10,3300-3399,CANAL,Theft,service/gas station,1,18,8,Friday,Jan,2010
2010-01-09 05:00:00,10H10,300-399,SIDNEY,Theft,road/street/sidewalk,1,5,9,Saturday,Jan,2010
2010-01-09 13:00:00,10H10,5300-5399,AVE J,Burglary,"vacant single occupancy residence (houses,townhouses,duplexes, etc.)",1,13,9,Saturday,Jan,2010
2010-01-09 13:00:00,10H10,5300-5399,AVE J,Burglary,"vacant single occupancy residence (houses,townhouses,duplexes, etc.)",1,13,9,Saturday,Jan,2010
