Date,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year
2001-12-30,10H30,2000-2099,TEXAS,Aggravated Assault,APARTMENT,2.0,0.0,30,Sunday,Dec,2001
2004-01-09,10H30,2700-2799,CLAY,Theft,Residence or House,1.0,10.0,9,Friday,Jan,2004
2005-02-12,10H30,800-899,ST EMANUEL,Theft,BAR/NIGHT CLUB,1.0,22.0,12,Saturday,Feb,2005
2005-11-23,10H30,800-899,ST EMANUEL,Theft,BAR/NIGHT CLUB PARKING LOT,1.0,0.0,23,Wednesday,Nov,2005
2005-12-12,10H30,800-899,ST EMANUEL,Theft,BAR/NIGHT CLUB,1.0,19.0,12,Monday,Dec,2005
2008-03-22,10H30,400-499,DOWLING,Rape,No label,1.0,15.0,22,Saturday,Mar,2008
2009-01-06,10H30,900-999,MCKINNEY PARK,Theft,DRIVEWAY,1.0,0.0,6,Tuesday,Jan,2009
2009-06-01,10H30,2700-2799,DALLAS,Theft,DRIVEWAY,1.0,8.0,1,Monday,Jun,2009
2009-08-01,10H30,1700-1799,ENNIS,Theft,OTHER/UNKNOWN,1.0,0.0,1,Saturday,Aug,2009
2009-11-26,10H30,2100-2199,POLK,Burglary,VACANT BUILDING (COMMERCIAL),1.0,0.0,26,Thursday,Nov,2009
2009-12-24,10H30,2200-2299,DALLAS,Theft,APARTMENT PARKING LOT,1.0,6.0,24,Thursday,Dec,2009
2010-01-01,10H30,1700-1799,HUTCHINS,Theft,RESIDENCE/HOUSE,1.0,20.0,1,Friday,Jan,2010
2010-01-01,10H30,1700-1799,SAMPSON,Theft,RESIDENCE/HOUSE,1.0,0.0,1,Friday,Jan,2010
2010-01-01,10H30,500-599,BASTROP,Theft,APARTMENT PARKING LOT,1.0,19.0,1,Friday,Jan,2010
2010-01-02,10H30,2000-2099,LEELAND,Theft,ROAD/STREET/SIDEWALK,1.0,1.0,2,Saturday,Jan,2010
2010-01-03,10H30,1900-1999,COMMERCE,Theft,COMMERCIAL PARKING LOT/GARAGE,1.0,4.0,3,Sunday,Jan,2010
2010-01-03,10H30,2000-2099,MCKINNEY,Theft,CONSTRUCTION SITE,1.0,18.0,3,Sunday,Jan,2010
2010-01-04,10H30,1700-1799,ADEN MIST,Burglary,APARTMENT,1.0,8.0,4,Monday,Jan,2010
2010-01-05,10H30,100-199,CHARTRES,Theft,ROAD/STREET/SIDEWALK,1.0,13.0,5,Tuesday,Jan,2010
2010-01-05,10H30,2300-2399,LAMAR,Burglary,COMMERCIAL BUILDING,1.0,18.0,5,Tuesday,Jan,2010
2010-01-06,10H30,900-999,MCKINNEY PARK,Theft,DRIVEWAY,1.0,0.0,6,Wednesday,Jan,2010
2010-01-07,10H30,2500-2599,RUSK,Theft,ROAD/STREET/SIDEWALK,1.0,21.0,7,Thursday,Jan,2010
2010-01-08,10H30,2100-2199,RUSK,Theft,ROAD/STREET/SIDEWALK,1.0,16.0,8,Friday,Jan,2010
2010-01-08,10H30,2100-2199,LAMAR,Theft,BAR/NIGHT CLUB PARKING LOT,1.0,23.0,8,Friday,Jan,2010
2010-01-08,10H30,2000-2099,MCKINNEY,Theft,BAR/NIGHT CLUB PARKING LOT,1.0,23.0,8,Friday,Jan,2010
