Date_Hour,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat_lon,full_address
2010-01-01 00:00:00,10H30,Theft,residence/house,1,0,1,Friday,Jan,2010,"(29.7390659, -95.34897509999999)","1750 Sampson St, Houston, TX 77003, USA"
2010-01-01 19:00:00,10H30,Theft,apartment parking lot,1,19,1,Friday,Jan,2010,"(29.7536483, -95.3510778)","550 Bastrop St, Houston, TX 77003, USA"
2010-01-01 20:00:00,10H30,Theft,residence/house,1,20,1,Friday,Jan,2010,"(29.7452984, -95.3593236)","1750 Hutchins St, Houston, TX 77003, USA"
2010-01-02 01:00:00,10H30,Theft,road/street/sidewalk,1,1,2,Saturday,Jan,2010,"(29.7466075, -95.3593348)","2050 Leeland St, Houston, TX 77003, USA"
2010-01-03 04:00:00,10H30,Theft,commercial parking lot/garage,1,4,3,Sunday,Jan,2010,"(29.7588305, -95.35140249999999)","1950 Commerce St, Houston, TX 77002, USA"
2010-01-03 18:00:00,10H30,Theft,construction site,1,18,3,Sunday,Jan,2010,"(29.7511977, -95.3561884)","2050 McKinney St, Houston, TX 77003, USA"
2010-01-04 08:00:00,10H30,Burglary,apartment,1,8,4,Monday,Jan,2010,"(29.741344, -95.35397789999999)","1750 Aden Mist Dr, Houston, TX 77003, USA"
2010-01-05 13:00:00,10H30,Theft,road/street/sidewalk,1,13,5,Tuesday,Jan,2010,"(29.7611979, -95.34920699999999)","150 Chartres St, Houston, TX 77003, USA"
2010-01-05 18:00:00,10H30,Burglary,commercial building,1,18,5,Tuesday,Jan,2010,"(29.7488639, -95.3537793)","2350 Lamar St, Houston, TX 77003, USA"
2010-01-06 00:00:00,10H30,Theft,driveway,1,0,6,Wednesday,Jan,2010,"(29.7571808, -95.36528919999999)","950 McKinney St, Houston, TX 77002, USA"
2010-01-07 21:00:00,10H30,Theft,road/street/sidewalk,1,21,7,Thursday,Jan,2010,"(29.7502127, -95.35054699999999)","2550 Rusk St, Houston, TX 77003, USA"
2010-01-08 08:00:00,10H30,Theft,other parking lot,1,8,8,Friday,Jan,2010,"(29.7430184, -95.3485319)","3150 Polk St, Houston, TX 77003, USA"
2010-01-08 16:00:00,10H30,Theft,road/street/sidewalk,1,16,8,Friday,Jan,2010,"(29.752323, -95.35382469999999)","2150 Rusk St, Houston, TX 77003, USA"
2010-01-08 23:00:00,10H30,Theft,bar/night club parking lot,1,23,8,Friday,Jan,2010,"(29.7499994, -95.3558456)","2150 Lamar St, Houston, TX 77003, USA"
2010-01-08 23:00:00,10H30,Theft,bar/night club parking lot,1,23,8,Friday,Jan,2010,"(29.7511977, -95.3561884)","2050 McKinney St, Houston, TX 77003, USA"
2010-01-08 23:00:00,10H30,Theft,bar/night club parking lot,1,23,8,Friday,Jan,2010,"(29.7499994, -95.3558456)","2150 Lamar St, Houston, TX 77003, USA"
2010-01-08 23:00:00,10H30,Theft,bar/night club parking lot,1,23,8,Friday,Jan,2010,"(29.7511977, -95.3561884)","2050 McKinney St, Houston, TX 77003, USA"
2010-01-09 00:00:00,10H30,Burglary,misc. business (non-specific),1,0,9,Saturday,Jan,2010,"(29.7463608, -95.3546763)","2450 Polk St, Houston, TX 77003, USA"
2010-01-09 01:00:00,10H30,Theft,commercial parking lot/garage,1,1,9,Saturday,Jan,2010,"(29.7466075, -95.3593348)","2050 Leeland St, Houston, TX 77003, USA"
2010-01-11 18:00:00,10H30,Auto Theft,other/unknown,1,18,11,Monday,Jan,2010,"(29.736935, -95.34435789999999)","1850 Milby St, Houston, TX 77003, USA"
2010-01-11 20:00:00,10H30,Theft,residence/house,1,20,11,Monday,Jan,2010,"(29.7393956, -95.3433508)","1450 Milby St, Houston, TX 77003, USA"
2010-01-11 23:00:00,10H30,Theft,restaurant/cafeteria parking lot,1,23,11,Monday,Jan,2010,"(29.7511977, -95.3561884)","2050 McKinney St, Houston, TX 77003, USA"
2010-01-12 12:00:00,10H30,Burglary,residence/house,1,12,12,Tuesday,Jan,2010,"(29.7444096, -95.3523431)","2750 Clay St, Houston, TX 77003, USA"
2010-01-13 14:00:00,10H30,Theft,vacant building (commercial),1,14,13,Wednesday,Jan,2010,"(29.7488639, -95.3537793)","2350 Lamar St, Houston, TX 77003, USA"
2010-01-13 22:00:00,10H30,Robbery,road/street/sidewalk,1,22,13,Wednesday,Jan,2010,"(29.75480599999999, -95.404411)","1950 W Bell St, Houston, TX 77019, USA"
2010-01-15 14:00:00,10H30,Theft,other/unknown,1,14,15,Friday,Jan,2010,"(29.7410944, -95.3522058)","1750 Ennis St, Houston, TX 77003, USA"
