Date,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year
2000-07-24,15E40,9400-9499,MAIN,Burglary,SPECIALTY STORE (NON-SPECIFIC),1.0,20.0,24,Monday,Jul,2000
2001-10-01,15E40,2800-2899,BARTELL,Burglary,CONDOMINIUM,1.0,7.0,1,Monday,Oct,2001
2003-09-30,15E40,2600-2699,HOLLY HALL,Robbery,APARTMENT PARKING LOT,1.0,21.0,30,Tuesday,Sep,2003
2003-12-23,15E40,9200-9299,MAIN,Theft,BAR/NIGHT CLUB,1.0,22.0,23,Tuesday,Dec,2003
2004-08-23,15E40,8400-8499,KIRBY,Theft,STADIUM/SPRTS ARENA/RACE TRACK,1.0,10.0,23,Monday,Aug,2004
2005-07-18,15E40,9400-9499,MAIN,Rape,"Hotel, Motel, Inn, Etc.",1.0,21.0,18,Monday,Jul,2005
2005-09-06,15E40,8400-8499,KIRBY,Theft,STADIUM/SPRTS ARENA/RACE TRACK,1.0,0.0,6,Tuesday,Sep,2005
2005-09-06,15E40,8400-8499,KIRBY,Theft,STADIUM/SPRTS ARENA/RACE TRACK,1.0,22.0,6,Tuesday,Sep,2005
2005-09-07,15E40,8400-8499,KIRBY,Theft,STADIUM/SPRTS ARENA/RACE TRACK,1.0,22.0,7,Wednesday,Sep,2005
2005-09-10,15E40,8400-8499,KIRBY,Theft,STADIUM/SPRTS ARENA/RACE TRACK,1.0,22.0,10,Saturday,Sep,2005
2005-09-10,15E40,8400-8499,KIRBY,Theft,STADIUM/SPRTS ARENA/RACE TRACK,1.0,22.0,10,Saturday,Sep,2005
2007-10-03,15E40,UNK,MAIN ST,Theft,No label,1.0,12.0,3,Wednesday,Oct,2007
2007-10-23,15E40,UNK,MAIN,Theft,No label,1.0,13.0,23,Tuesday,Oct,2007
2007-12-14,15E40,2000-2099,HOLMES,Theft,OTHER PARKING LOT,1.0,17.0,14,Friday,Dec,2007
2009-01-01,15E40,8500-8599,HEARTH,Auto Theft,RESTAURANT/CAFETERIA PARKING LOT,1.0,8.0,1,Thursday,Jan,2009
2009-01-01,15E40,2700-2799,HOLLY HALL,Aggravated Assault,RESIDENCE/HOUSE,1.0,21.0,1,Thursday,Jan,2009
2009-01-12,15E40,2200-2299,HOLLY HALL,Robbery,APARTMENT PARKING LOT,1.0,18.0,12,Monday,Jan,2009
2009-01-20,15E40,9300-9399,MAIN,Theft,CONVENIENCE STORE,1.0,9.0,20,Tuesday,Jan,2009
2009-01-27,15E40,9400-9499,MAIN,Theft,DEPARTMENT/DISCOUNT STORE,1.0,11.0,27,Tuesday,Jan,2009
2009-03-26,15E40,8400-8499,FANNIN,Theft,STADIUM/SPRTS ARENA/RACE TRACK,1.0,18.0,26,Thursday,Mar,2009
2009-05-20,15E40,9100-9199,LAKES AT 610,Auto Theft,APARTMENT PARKING LOT,1.0,20.0,20,Wednesday,May,2009
2009-07-31,15E40,2300-2399,SOUTH LP W,Theft,VEHICLE/AUTO SALES/LEASE/AUTO PARTS STORE,1.0,0.0,31,Friday,Jul,2009
2009-09-16,15E40,3200-3299,HOLLY HALL,Aggravated Assault,No label,1.0,10.0,16,Wednesday,Sep,2009
2009-09-17,15E40,8000-8099,STADIUM,Theft,OTHER/UNKNOWN,1.0,10.0,17,Thursday,Sep,2009
2009-11-03,15E40,1800-1899,EL PASEO,Theft,APARTMENT,1.0,0.0,3,Tuesday,Nov,2009
2009-11-04,15E40,1500-1599,SOUTH LP W,Auto Theft,VEHICLE/AUTO SALES/LEASE/AUTO PARTS STORE,16.0,0.0,4,Wednesday,Nov,2009
