Date_Hour,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,block,address,tup_add
2010-01-01 23:00:00,1.5000000000000001e+41,2500-2599,WESTRIDGE,Aggravated Assault,apartment,1,23,1,Friday,Jan,2010,2550,2550 WESTRIDGE,"((29.6823316, -95.4169951), '2550 Westridge St, Houston, TX 77054, USA')"
2010-01-01 23:00:00,1.5000000000000001e+41,8300-8399,KNIGHT,Theft,convenience store,1,23,1,Friday,Jan,2010,8350,8350 KNIGHT,"((29.6845315, -95.40031289999999), '8350 Knight Rd, Houston, TX 77054, USA')"
2010-01-02 00:00:00,1.5000000000000001e+41,3000-3099,MURWORTH,Theft,other/unknown,1,0,2,Saturday,Jan,2010,3050,3050 MURWORTH,"((29.6856544, -95.4256395), '3050 Murworth Dr, Houston, TX 77025, USA')"
2010-01-02 12:00:00,1.5000000000000001e+41,1600-1699,SOUTH LP W,Theft,hotel/motel/etc.,1,12,2,Saturday,Jan,2010,1650,1650 SOUTH LP W,"((29.6792911, -95.403154), '1650 S Loop W, Houston, TX 77054, USA')"
2010-01-03 00:00:00,1.5000000000000001e+41,2200-2299,HOLLY HALL,Auto Theft,apartment parking lot,1,0,3,Sunday,Jan,2010,2250,2250 HOLLY HALL,"((29.68490329999999, -95.3970744), '2250 Holly Hall St, Houston, TX 77054, USA')"
2010-01-03 01:00:00,1.5000000000000001e+41,8200-8299,CAMBRIDGE,Burglary,apartment,1,1,3,Sunday,Jan,2010,8250,8250 CAMBRIDGE,"((29.6875677, -95.3964961), '8250 Cambridge St, Houston, TX 77054, USA')"
2010-01-03 17:00:00,1.5000000000000001e+41,8800-8899,MAIN,Auto Theft,apartment parking lot,1,17,3,Sunday,Jan,2010,8850,8850 MAIN,"((29.68943239999999, -95.4192344), '8850 S Main St, Houston, TX 77025, USA')"
2010-01-03 21:00:00,1.5000000000000001e+41,10700-10799,ALMEDA,Theft,other parking lot,1,21,3,Sunday,Jan,2010,10750,10750 ALMEDA,"((29.6663441, -95.39861189999999), '10750 Almeda Rd, Houston, TX 77045, USA')"
2010-01-03 22:00:00,1.5000000000000001e+41,2300-2399,SOUTH LP W,Theft,hotel/motel parking lot,1,22,3,Sunday,Jan,2010,2350,2350 SOUTH LP W,"((29.6783768, -95.4144804), '2350 S Loop W, Houston, TX 77054, USA')"
2010-01-04 09:00:00,1.5000000000000001e+41,2600-2699,WESTRIDGE,Robbery,apartment,1,9,4,Monday,Jan,2010,2650,2650 WESTRIDGE,"((29.6826402, -95.4202601), '2650 Westridge St, Houston, TX 77054, USA')"
2010-01-04 18:00:00,1.5000000000000001e+41,8300-8399,EL MUNDO,Theft,apartment parking lot,1,18,4,Monday,Jan,2010,8350,8350 EL MUNDO,"((29.6820484, -95.38725389999999), '8350 El Mundo St, Houston, TX 77054, USA')"
2010-01-05 10:00:00,1.5000000000000001e+41,7700-7799,FANNIN,Theft,drug store/medical supply,1,10,5,Tuesday,Jan,2010,7750,7750 FANNIN,"((29.6922457, -95.40187879999999), '7750 Fannin St, Houston, TX 77054, USA')"
2010-01-05 12:00:00,1.5000000000000001e+41,2600-2699,SOUTH LP W,Auto Theft,other parking lot,1,12,5,Tuesday,Jan,2010,2650,2650 SOUTH LP W,"((29.67808119999999, -95.41922129999999), '2650 S Loop W, Houston, TX 77054, USA')"
2010-01-05 18:00:00,1.5000000000000001e+41,9100-9199,LAKES AT 610,Burglary,apartment,1,18,5,Tuesday,Jan,2010,9150,9150 LAKES AT 610,"((29.6694014, -95.4201861), '9150 Lakes at 610 Dr, Houston, TX 77054, USA')"
2010-01-05 19:00:00,1.5000000000000001e+41,2300-2399,HOLMES,Burglary,factory/manufacturing/industrial,1,19,5,Tuesday,Jan,2010,2350,2350 HOLMES,"((29.67080109999999, -95.3940997), '2350 Holmes Rd, Houston, TX 77051, USA')"
