,Date_Hour,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat,lon,full_address
0,2010-01-01 23:00:00,15E40x,Aggravated Assault,apartment,1,23,1,Friday,Jan,2010,29.682331599999998,-95.4169951,"2550 Westridge St, Houston, TX 77054, USA"
1,2010-01-01 23:00:00,15E40x,Aggravated Assault,apartment,1,23,1,Friday,Jan,2010,29.6845315,-95.4003129,"8350 Knight Rd, Houston, TX 77054, USA"
2,2010-01-01 23:00:00,15E40x,Theft,convenience store,1,23,1,Friday,Jan,2010,29.682331599999998,-95.4169951,"2550 Westridge St, Houston, TX 77054, USA"
3,2010-01-01 23:00:00,15E40x,Theft,convenience store,1,23,1,Friday,Jan,2010,29.6845315,-95.4003129,"8350 Knight Rd, Houston, TX 77054, USA"
4,2010-01-02 00:00:00,15E40x,Theft,other/unknown,1,0,2,Saturday,Jan,2010,29.6856544,-95.4256395,"3050 Murworth Dr, Houston, TX 77025, USA"
5,2010-01-02 12:00:00,15E40x,Theft,hotel/motel/etc.,1,12,2,Saturday,Jan,2010,29.679291100000004,-95.403154,"1650 S Loop W, Houston, TX 77054, USA"
6,2010-01-03 00:00:00,15E40x,Auto Theft,apartment parking lot,1,0,3,Sunday,Jan,2010,29.68490329999999,-95.39707440000001,"2250 Holly Hall St, Houston, TX 77054, USA"
7,2010-01-03 01:00:00,15E40x,Burglary,apartment,1,1,3,Sunday,Jan,2010,29.687567699999995,-95.3964961,"8250 Cambridge St, Houston, TX 77054, USA"
8,2010-01-03 17:00:00,15E40x,Auto Theft,apartment parking lot,1,17,3,Sunday,Jan,2010,29.68943239999999,-95.41923440000001,"8850 S Main St, Houston, TX 77025, USA"
9,2010-01-03 21:00:00,15E40x,Theft,other parking lot,1,21,3,Sunday,Jan,2010,29.6663441,-95.3986119,"10750 Almeda Rd, Houston, TX 77045, USA"
10,2010-01-03 22:00:00,15E40x,Theft,hotel/motel parking lot,1,22,3,Sunday,Jan,2010,29.6783768,-95.4144804,"2350 S Loop W, Houston, TX 77054, USA"
11,2010-01-04 09:00:00,15E40x,Robbery,apartment,1,9,4,Monday,Jan,2010,29.6826402,-95.4202601,"2650 Westridge St, Houston, TX 77054, USA"
12,2010-01-04 18:00:00,15E40x,Theft,apartment parking lot,1,18,4,Monday,Jan,2010,29.6820484,-95.3872539,"8350 El Mundo St, Houston, TX 77054, USA"
13,2010-01-05 10:00:00,15E40x,Theft,drug store/medical supply,1,10,5,Tuesday,Jan,2010,29.6922457,-95.4018788,"7750 Fannin St, Houston, TX 77054, USA"
14,2010-01-05 12:00:00,15E40x,Auto Theft,other parking lot,1,12,5,Tuesday,Jan,2010,29.67808119999999,-95.4192213,"2650 S Loop W, Houston, TX 77054, USA"
15,2010-01-05 18:00:00,15E40x,Burglary,apartment,1,18,5,Tuesday,Jan,2010,29.669401399999998,-95.4201861,"9150 Lakes at 610 Dr, Houston, TX 77054, USA"
16,2010-01-05 19:00:00,15E40x,Burglary,factory/manufacturing/industrial,1,19,5,Tuesday,Jan,2010,29.67080109999999,-95.3940997,"2350 Holmes Rd, Houston, TX 77051, USA"
17,2010-01-06 09:00:00,15E40x,Theft,commercial parking lot/garage,1,9,6,Wednesday,Jan,2010,29.6919222,-95.4167746,"8250 Braesmain Dr, Houston, TX 77025, USA"
18,2010-01-06 11:00:00,15E40x,Theft,apartment parking lot,1,11,6,Wednesday,Jan,2010,29.687567699999995,-95.3964961,"8250 Cambridge St, Houston, TX 77054, USA"
19,2010-01-06 12:00:00,15E40x,Theft,office building,1,12,6,Wednesday,Jan,2010,29.674078,-95.38486040000001,"2850 Holmes Rd, Houston, TX 77051, USA"
20,2010-01-06 13:00:00,15E40x,Theft,apartment,1,13,6,Wednesday,Jan,2010,29.683528000000003,-95.39602,"8450 Cambridge St, Houston, TX 77054, USA"
21,2010-01-06 17:00:00,15E40x,Theft,apartment laundry,1,17,6,Wednesday,Jan,2010,29.687567699999995,-95.3964961,"8250 Cambridge St, Houston, TX 77054, USA"
22,2010-01-06 19:00:00,15E40x,Burglary,residence/house,1,19,6,Wednesday,Jan,2010,29.682107799999997,-95.39605970000001,"2250 Naomi St, Houston, TX 77054, USA"
23,2010-01-07 06:00:00,15E40x,Theft,hotel/motel parking lot,1,6,7,Thursday,Jan,2010,29.689925300000002,-95.4143501,"8150 Kirby Dr, Houston, TX 77054, USA"
24,2010-01-07 11:00:00,15E40x,Burglary,apartment,1,11,7,Thursday,Jan,2010,29.6974303,-95.4049427,"7750 Greenbriar Dr, Houston, TX 77030, USA"
25,2010-01-07 16:00:00,15E40x,Auto Theft,commercial parking lot/garage,1,16,7,Thursday,Jan,2010,29.6733752,-95.39977590000001,"8950 Knight Rd, Houston, TX 77045, USA"
26,2010-01-08 09:00:00,15E40x,Theft,strip business center parking lot,1,9,8,Friday,Jan,2010,29.6927966,-95.4082459,"8050 N Stadium Dr, Houston, TX 77054, USA"
27,2010-01-08 13:00:00,15E40x,Theft,"electronics store, electrical sup.",1,13,8,Friday,Jan,2010,29.695383000000003,-95.4142729,"7850 S Main St, Houston, TX 77030, USA"
