,Date_Hour,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat,lon,add
0,2010-01-01 01:00:00,10H40,Theft,bar/night club,1,1,1,Friday,Jan,2010,29.7453066,-95.371946,"2450 San Jacinto St, Houston, TX 77002, USA"
1,2010-01-01 03:00:00,10H40,Theft,other parking lot,1,3,1,Friday,Jan,2010,29.7389604,-95.397363,"1450 W Alabama St, Houston, TX 77006, USA"
2,2010-01-01 05:00:00,10H40,Theft,bar/night club,1,5,1,Friday,Jan,2010,29.7453066,-95.371946,"2450 San Jacinto St, Houston, TX 77002, USA"
3,2010-01-02 00:00:00,10H40,Theft,road/street/sidewalk,1,0,2,Saturday,Jan,2010,29.7411856,-95.3736937,"1250 Anita St, Houston, TX 77004, USA"
4,2010-01-02 17:00:00,10H40,Theft,other parking lot,1,17,2,Saturday,Jan,2010,29.734911199999996,-95.38295809999998,"4250 S Main St, Houston, TX 77002, USA"
5,2010-01-03 00:00:00,10H40,Auto Theft,road/street/sidewalk,1,0,3,Sunday,Jan,2010,29.7426232,-95.3714505,"2650 Austin St, Houston, TX 77004, USA"
6,2010-01-03 00:00:00,10H40,Theft,road/street/sidewalk,1,0,3,Sunday,Jan,2010,29.742145299999997,-95.3708902,"1450 Dennis St, Houston, TX 77004, USA"
7,2010-01-03 00:00:00,10H40,Theft,road/street/sidewalk,1,0,3,Sunday,Jan,2010,29.7450316,-95.37084499999999,"2350 Caroline St, Houston, TX 77004, USA"
8,2010-01-03 02:00:00,10H40,Auto Theft,road/street/sidewalk,1,2,3,Sunday,Jan,2010,29.744436199999996,-95.37388220000001,"2650 Fannin St, Houston, TX 77002, USA"
9,2010-01-03 03:00:00,10H40,Theft,restaurant/cafeteria parking lot,1,3,3,Sunday,Jan,2010,29.74434549999999,-95.3651012,"2150 Chenevert St, Houston, TX 77003, USA"
10,2010-01-03 03:00:00,10H40,Theft,road/street/sidewalk,1,3,3,Sunday,Jan,2010,29.7430147,-95.3659694,"1750 Hadley St, Houston, TX 77003, USA"
11,2010-01-05 11:00:00,10H40,Theft,commercial building,1,11,5,Tuesday,Jan,2010,29.7394505,-95.377743,"3450 Fannin St, Houston, TX 77004, USA"
12,2010-01-05 12:00:00,10H40,Theft,grocery/supermarket,1,12,5,Tuesday,Jan,2010,29.733958,-95.3806013,"4250 San Jacinto St, Houston, TX 77004, USA"
13,2010-01-05 14:00:00,10H40,Auto Theft,road/street/sidewalk,1,14,5,Tuesday,Jan,2010,29.7447538,-95.3698858,"2350 Austin St, Houston, TX 77004, USA"
14,2010-01-05 14:00:00,10H40,Aggravated Assault,convenience store,1,14,5,Tuesday,Jan,2010,29.7390354,-95.3924037,"1050 W Alabama St, Houston, TX 77006, USA"
15,2010-01-05 15:00:00,10H40,Theft,other/unknown,1,15,5,Tuesday,Jan,2010,29.7432159,-95.37093670000002,"1350 McGowen St, Houston, TX 77004, USA"
16,2010-01-05 15:00:00,10H40,Aggravated Assault,grocery/supermarket,1,15,5,Tuesday,Jan,2010,29.7326712,-95.3820534,"4450 San Jacinto St, Houston, TX 77004, USA"
17,2010-01-05 20:00:00,10H40,Theft,other parking lot,1,20,5,Tuesday,Jan,2010,29.7397591,-95.3801084,"3550 Travis St, Houston, TX 77002, USA"
18,2010-01-06 06:00:00,10H40,Theft,convenience store,1,6,6,Wednesday,Jan,2010,29.7390354,-95.3924037,"1050 W Alabama St, Houston, TX 77006, USA"
19,2010-01-07 00:00:00,10H40,Theft,hotel/motel/etc.,1,0,7,Thursday,Jan,2010,29.762541100000004,-95.3609397,"250 S Main St, Houston, TX 77002, USA"
20,2010-01-07 07:00:00,10H40,Burglary,condominium,1,7,7,Thursday,Jan,2010,29.73958,-95.37117090000001,"1550 Anita St, Houston, TX 77004, USA"
21,2010-01-07 15:00:00,10H40,Theft,commercial or training school,1,15,7,Thursday,Jan,2010,29.7470675,-95.37351740000001,"2350 S Main St, Houston, TX 77002, USA"
22,2010-01-07 16:00:00,10H40,Theft,"vacant other residential (apartment,inn,dorms,boarding house)",1,16,7,Thursday,Jan,2010,29.7445012,-95.3648777,"1750 Gray St, Houston, TX 77003, USA"
23,2010-01-08 07:00:00,10H40,Theft,road/street/sidewalk,1,7,8,Friday,Jan,2010,29.746284499999998,-95.372674,"1050 McIlhenny St, Houston, TX 77002, USA"
24,2010-01-08 07:00:00,10H40,Theft,driveway,1,7,8,Friday,Jan,2010,29.73596139999999,-95.3733222,"3550 Jackson St, Houston, TX 77004, USA"
25,2010-01-08 11:00:00,10H40,Theft,office building,1,11,8,Friday,Jan,2010,29.747822499999998,-95.3708632,"2150 Fannin St, Houston, TX 77002, USA"
26,2010-01-08 14:00:00,10H40,Theft,restaurant/cafeteria parking lot,1,14,8,Friday,Jan,2010,29.788943100000004,-95.37468790000001,"3311 Beauchamp St, Houston, TX 77009, USA"
27,2010-01-08 18:00:00,10H40,Theft,residence/house,1,18,8,Friday,Jan,2010,29.740102,-95.3733565,"1350 Rosalie St, Houston, TX 77004, USA"
