Date,Time,Team,Team_score,Location,Opponent,Opponent_score,Result,season
2013-04-21,9:30p ET,Houston Rockets,91,away,Oklahoma City Thunder,120,L,plo
2013-04-24,7:00p ET,Houston Rockets,102,away,Oklahoma City Thunder,105,L,plo
2013-04-27,9:30p ET,Houston Rockets,101,home,Oklahoma City Thunder,104,L,plo
2013-04-29,9:30p ET,Houston Rockets,105,home,Oklahoma City Thunder,103,W,plo
2013-05-01,9:30p ET,Houston Rockets,107,away,Oklahoma City Thunder,100,W,plo
2013-05-03,9:30p ET,Houston Rockets,94,home,Oklahoma City Thunder,103,L,plo
2014-04-20,9:30p ET,Houston Rockets,120,home,Portland Trail Blazers,122,L,plo
2014-04-23,9:30p ET,Houston Rockets,105,home,Portland Trail Blazers,112,L,plo
2014-04-25,10:30p ET,Houston Rockets,121,away,Portland Trail Blazers,116,W,plo
2014-04-27,9:30p ET,Houston Rockets,120,away,Portland Trail Blazers,123,L,plo
2014-04-30,9:30p ET,Houston Rockets,108,home,Portland Trail Blazers,98,W,plo
2014-05-02,10:30p ET,Houston Rockets,98,away,Portland Trail Blazers,99,L,plo
2015-04-18,9:30p ET,Houston Rockets,118,home,Dallas Mavericks,108,W,plo
2015-04-21,9:30p ET,Houston Rockets,111,home,Dallas Mavericks,99,W,plo
2015-04-24,7:00p ET,Houston Rockets,130,away,Dallas Mavericks,128,W,plo
2015-04-26,9:00p ET,Houston Rockets,109,away,Dallas Mavericks,121,L,plo
2015-04-28,8:00p ET,Houston Rockets,103,home,Dallas Mavericks,94,W,plo
2015-05-04,9:30p ET,Houston Rockets,101,home,Los Angeles Clippers,117,L,plo
2015-05-06,9:30p ET,Houston Rockets,115,home,Los Angeles Clippers,109,W,plo
2015-05-08,10:30p ET,Houston Rockets,99,away,Los Angeles Clippers,124,L,plo
2015-05-10,8:30p ET,Houston Rockets,95,away,Los Angeles Clippers,128,L,plo
2015-05-12,9:30p ET,Houston Rockets,124,home,Los Angeles Clippers,103,W,plo
2015-05-14,10:30p ET,Houston Rockets,119,away,Los Angeles Clippers,107,W,plo
2015-05-17,3:30p ET,Houston Rockets,113,home,Los Angeles Clippers,100,W,plo
2015-05-19,9:00p ET,Houston Rockets,106,away,Golden State Warriors,110,L,plo
2015-05-21,9:00p ET,Houston Rockets,98,away,Golden State Warriors,99,L,plo
2015-05-23,9:00p ET,Houston Rockets,80,home,Golden State Warriors,115,L,plo
2015-05-25,9:00p ET,Houston Rockets,128,home,Golden State Warriors,115,W,plo
2015-05-27,9:00p ET,Houston Rockets,90,away,Golden State Warriors,104,L,plo
2016-04-16,3:30p ET,Houston Rockets,78,away,Golden State Warriors,104,L,plo
2016-04-18,10:30p ET,Houston Rockets,106,away,Golden State Warriors,115,L,plo
2016-04-21,9:30p ET,Houston Rockets,97,home,Golden State Warriors,96,W,plo
2016-04-24,3:30p ET,Houston Rockets,94,home,Golden State Warriors,121,L,plo
2016-04-27,10:30p ET,Houston Rockets,81,away,Golden State Warriors,114,L,plo
2017-04-16,9:00p ET,Houston Rockets,118,home,Oklahoma City Thunder,87,W,plo
2017-04-19,8:00p ET,Houston Rockets,115,home,Oklahoma City Thunder,111,W,plo
2017-04-21,9:30p ET,Houston Rockets,113,away,Oklahoma City Thunder,115,L,plo
2017-04-23,3:30p ET,Houston Rockets,113,away,Oklahoma City Thunder,109,W,plo
2017-04-25,8:00p ET,Houston Rockets,105,home,Oklahoma City Thunder,99,W,plo
2017-05-01,9:30p ET,Houston Rockets,126,away,San Antonio Spurs,99,W,plo
2017-05-03,9:30p ET,Houston Rockets,96,away,San Antonio Spurs,121,L,plo
2017-05-05,9:30p ET,Houston Rockets,92,home,San Antonio Spurs,103,L,plo
2017-05-07,9:00p ET,Houston Rockets,125,home,San Antonio Spurs,104,W,plo
2017-05-09,8:00p ET,Houston Rockets,107,away,San Antonio Spurs,110,L,plo
2017-05-11,8:00p ET,Houston Rockets,75,home,San Antonio Spurs,114,L,plo
