scheduled,home.alias,scoring.home_points,away.alias,scoring.away_points,winner
2008-09-04 23:07:39,NYG,16.0,WAS,7.0,NYG
2008-09-07 17:02:41,NE,17.0,KC,10.0,NE
2008-09-07 17:02:56,MIA,14.0,NYJ,20.0,NYJ
2008-09-07 17:02:57,NO,24.0,TB,20.0,NO
2008-09-07 17:03:10,BUF,34.0,SEA,10.0,BUF
2008-09-07 17:03:16,PIT,38.0,HOU,17.0,PIT
2008-09-07 17:03:17,TEN,17.0,JAC,10.0,TEN
2008-09-07 17:03:36,PHI,38.0,STL,3.0,PHI
2008-09-07 17:03:44,BAL,17.0,CIN,10.0,BAL
2008-09-07 17:04:42,ATL,34.0,DET,21.0,ATL
2008-09-07 20:15:51,SD,24.0,CAR,26.0,CAR
2008-09-07 20:16:14,CLE,10.0,DAL,28.0,DAL
2008-09-07 20:16:49,SF,13.0,ARI,23.0,ARI
2008-09-08 00:23:33,IND,13.0,CHI,29.0,CHI
2008-09-08 23:10:32,GB,24.0,MIN,19.0,GB
2008-09-09 02:23:21,OAK,14.0,DEN,41.0,DEN
2008-09-14 17:02:24,MIN,15.0,IND,18.0,IND
2008-09-14 17:02:33,KC,8.0,OAK,23.0,OAK
2008-09-14 17:03:07,DET,25.0,GB,48.0,GB
2008-09-14 17:03:22,JAC,16.0,BUF,20.0,BUF
2008-09-14 17:03:28,CIN,7.0,TEN,24.0,TEN
2008-09-14 17:03:30,WAS,29.0,NO,24.0,WAS
2008-09-14 17:04:20,STL,13.0,NYG,41.0,NYG
2008-09-14 17:04:27,CAR,20.0,CHI,17.0,CAR
2008-09-14 20:05:21,TB,24.0,ATL,9.0,TB
2008-09-14 20:05:50,SEA,30.0,SF,33.0,SF
2008-09-14 20:15:48,ARI,31.0,MIA,10.0,ARI
2008-09-14 20:15:49,NYJ,10.0,NE,19.0,NE
2008-09-14 20:15:57,DEN,39.0,SD,38.0,DEN
2008-09-15 00:23:12,CLE,6.0,PIT,10.0,PIT
2008-09-16 00:40:41,DAL,41.0,PHI,37.0,DAL
2008-09-21 17:02:32,NYG,26.0,CIN,23.0,NYG
2008-09-21 17:02:38,TEN,31.0,HOU,12.0,TEN
2008-09-21 17:02:39,BUF,24.0,OAK,23.0,BUF
2008-09-21 17:02:39,ATL,38.0,KC,14.0,ATL
2008-09-21 17:02:43,NE,13.0,MIA,38.0,MIA
2008-09-21 17:02:50,CHI,24.0,TB,27.0,TB
2008-09-21 17:02:55,WAS,24.0,ARI,17.0,WAS
2008-09-21 17:03:05,MIN,20.0,CAR,10.0,MIN
2008-09-21 20:05:57,SEA,37.0,STL,13.0,SEA
2008-09-21 20:06:00,SF,31.0,DET,13.0,SF
2008-09-21 20:06:07,DEN,34.0,NO,32.0,DEN
2008-09-21 20:15:37,IND,21.0,JAC,23.0,JAC
2008-09-21 20:15:54,PHI,15.0,PIT,6.0,PHI
2008-09-21 20:16:29,BAL,28.0,CLE,10.0,BAL
2008-09-22 00:23:53,GB,16.0,DAL,27.0,DAL
2008-09-23 00:40:40,SD,48.0,NYJ,29.0,SD
2008-09-28 17:02:29,KC,33.0,DEN,19.0,KC
2008-09-28 17:02:35,CIN,12.0,CLE,20.0,CLE
2008-09-28 17:02:48,JAC,30.0,HOU,27.0,JAC
2008-09-28 17:02:56,TB,30.0,GB,21.0,TB
2008-09-28 17:03:04,TEN,30.0,MIN,17.0,TEN
2008-09-28 17:03:09,CAR,24.0,ATL,9.0,CAR
2008-09-28 17:03:32,NYJ,56.0,ARI,35.0,NYJ
2008-09-28 17:03:51,NO,31.0,SF,17.0,NO
2008-09-28 20:05:31,STL,14.0,BUF,31.0,BUF
2008-09-28 20:05:33,OAK,18.0,SD,28.0,SD
2008-09-28 20:16:00,DAL,24.0,WAS,26.0,WAS
2008-09-29 00:23:27,CHI,24.0,PHI,20.0,CHI
2008-09-30 00:40:45,PIT,23.0,BAL,20.0,PIT
2008-10-05 17:02:35,HOU,27.0,IND,31.0,IND
2008-10-05 17:02:40,DET,7.0,CHI,34.0,CHI
2008-10-05 17:02:56,PHI,17.0,WAS,23.0,WAS
2008-10-05 17:02:58,CAR,34.0,KC,0.0,CAR
2008-10-05 17:02:58,GB,24.0,ATL,27.0,ATL
2008-10-05 17:03:00,NYG,44.0,SEA,6.0,NYG
2008-10-05 17:03:08,MIA,17.0,SD,10.0,MIA
2008-10-05 17:03:33,BAL,10.0,TEN,13.0,TEN
2008-10-05 20:05:46,DEN,16.0,TB,13.0,DEN
2008-10-05 20:15:40,SF,21.0,NE,30.0,NE
2008-10-05 20:15:42,DAL,31.0,CIN,22.0,DAL
2008-10-05 20:16:06,ARI,41.0,BUF,17.0,ARI
2008-10-06 00:23:50,JAC,21.0,PIT,26.0,PIT
2008-10-07 00:40:41,NO,27.0,MIN,30.0,MIN
2008-10-12 17:02:36,NO,34.0,OAK,3.0,NO
2008-10-12 17:02:41,HOU,29.0,MIA,28.0,HOU
2008-10-12 17:02:44,ATL,22.0,CHI,20.0,ATL
2008-10-12 17:02:48,IND,31.0,BAL,3.0,IND
2008-10-12 17:02:50,TB,27.0,CAR,3.0,TB
2008-10-12 17:02:57,NYJ,26.0,CIN,14.0,NYJ
2008-10-12 17:03:04,MIN,12.0,DET,10.0,MIN
2008-10-12 17:03:51,WAS,17.0,STL,19.0,STL
2008-10-12 20:05:29,DEN,17.0,JAC,24.0,JAC
2008-10-12 20:15:28,SF,26.0,PHI,40.0,PHI
2008-10-12 20:16:18,SEA,17.0,GB,27.0,GB
2008-10-12 20:17:00,ARI,30.0,DAL,24.0,ARI
2008-10-13 00:23:57,SD,30.0,NE,10.0,SD
2008-10-14 00:41:21,CLE,35.0,NYG,14.0,CLE
2008-10-19 17:02:11,KC,10.0,TEN,34.0,TEN
2008-10-19 17:02:26,NYG,29.0,SF,17.0,NYG
2008-10-19 17:02:47,MIA,13.0,BAL,27.0,BAL
2008-10-19 17:02:49,CHI,48.0,MIN,41.0,CHI
2008-10-19 17:02:58,CAR,30.0,NO,7.0,CAR
2008-10-19 17:03:10,BUF,23.0,SD,14.0,BUF
2008-10-19 17:03:11,STL,34.0,DAL,14.0,STL
2008-10-19 17:04:21,CIN,10.0,PIT,38.0,PIT
2008-10-19 20:06:00,HOU,28.0,DET,21.0,HOU
2008-10-19 20:15:38,OAK,16.0,NYJ,13.0,OAK
2008-10-19 20:15:42,GB,34.0,IND,14.0,GB
2008-10-19 20:16:04,WAS,14.0,CLE,11.0,WAS
2008-10-20 00:23:45,TB,20.0,SEA,10.0,TB
2008-10-21 00:40:30,NE,41.0,DEN,7.0,NE
2008-10-26 17:02:35,NE,23.0,STL,16.0,NE
2008-10-26 17:02:49,CAR,27.0,ARI,23.0,CAR
2008-10-26 17:02:50,PHI,27.0,ATL,14.0,PHI
2008-10-26 17:02:51,DAL,13.0,TB,9.0,DAL
2008-10-26 17:05:39,NYJ,28.0,KC,24.0,NYJ
2008-10-26 17:07:53,NO,37.0,SD,32.0,NO
2008-10-26 18:03:05,DET,17.0,WAS,25.0,WAS
2008-10-26 18:05:22,MIA,25.0,BUF,16.0,MIA
2008-10-26 18:06:09,BAL,29.0,OAK,10.0,BAL
