Date,Day,School,Pts,home_away,Opponent,Opp,win_lost,Notes
2008-08-30,Sat,Houston,55,home,Southern,3,W,
2008-09-06,Sat,Houston,37,away,Oklahoma State,56,L,
2008-09-13,Sat,Houston,28,home,Air Force,31,L,
2008-09-20,Sat,Houston,25,away,Colorado State,28,L,
2008-09-27,Sat,Houston,41,away,East Carolina,24,W,
2008-10-09,Thu,Houston,45,home,UAB,20,W,
2008-10-18,Sat,Houston,44,away,SMU,38,W,
2008-10-28,Tue,Houston,23,away,Marshall,37,L,
2008-11-08,Sat,Houston,42,home,Tulane,14,W,
2008-11-15,Sat,Houston,70,home,Tulsa,30,W,
2008-11-22,Sat,Houston,42,home,UTEP,37,W,
2008-11-29,Sat,Houston,42,away,Rice,56,L,
2008-12-31,Wed,Houston,34,away,Air Force,28,W,
2009-09-05,Sat,Houston,55,home,Northwestern State,7,W,
2009-09-12,Sat,Houston,45,away,Oklahoma State,35,W,
2009-09-26,Sat,Houston,29,home,Texas Tech,28,W,
2009-10-03,Sat,Houston,41,away,UTEP,58,L,
2009-10-10,Sat,Houston,31,away,Mississippi State,24,W,
2009-10-17,Sat,Houston,44,away,Tulane,16,W,
2009-10-24,Sat,Houston,38,home,SMU,15,W,
2009-10-31,Sat,Houston,50,home,Southern Mississippi,43,W,
2009-11-07,Sat,Houston,46,away,Tulsa,45,W,
2009-11-14,Sat,Houston,32,away,UCF,37,L,
2009-11-21,Sat,Houston,55,home,Memphis,14,W,
2009-11-28,Sat,Houston,73,home,Rice,14,W,
2009-12-05,Sat,Houston,32,away,East Carolina,38,L,
2009-12-31,Thu,Houston,20,away,Air Force,47,L,
2010-09-04,Sat,Houston,68,home,Texas State,28,W,
2010-09-10,Fri,Houston,54,home,UTEP,24,W,
2010-09-18,Sat,Houston,13,away,UCLA,31,L,
2010-09-25,Sat,Houston,42,home,Tulane,23,W,
2010-10-09,Sat,Houston,24,home,Mississippi State,47,L,
2010-10-16,Sat,Houston,31,away,Rice,34,L,
2010-10-23,Sat,Houston,45,away,SMU,20,W,
2010-10-30,Sat,Houston,56,away,Memphis,17,W,
2010-11-05,Fri,Houston,33,home,UCF,40,L,
2010-11-13,Sat,Houston,25,home,Tulsa,28,L,
2010-11-20,Sat,Houston,41,away,Southern Mississippi,59,L,
2010-11-27,Sat,Houston,20,away,Texas Tech,35,L,
2011-09-03,Sat,Houston,38,home,UCLA,34,W,
2011-09-10,Sat,Houston,48,away,North Texas,23,W,
2011-09-17,Sat,Houston,35,away,Louisiana Tech,34,W,
2011-09-24,Sat,Houston,56,home,Georgia State,0,W,
2011-09-29,Thu,Houston,49,away,UTEP,42,W,
2011-10-08,Sat,Houston,56,home,East Carolina,3,W,
2011-10-22,Sat,Houston,63,home,Marshall,28,W,
2011-10-27,Thu,Houston,73,home,Rice,34,W,
2011-11-05,Sat,Houston,56,away,UAB,13,W,
2011-11-10,Thu,Houston,73,away,Tulane,17,W,
2011-11-19,Sat,Houston,37,home,SMU,7,W,
2011-11-25,Fri,Houston,48,away,Tulsa,16,W,
2011-12-03,Sat,Houston,28,home,Southern Mississippi,49,L,
2012-01-02,Mon,Houston,30,away,Penn State,14,W,
2012-09-01,Sat,Houston,13,home,Texas State,30,L,
2012-09-08,Sat,Houston,49,home,Louisiana Tech,56,L,
2012-09-15,Sat,Houston,6,away,UCLA,37,L,
2012-09-29,Sat,Houston,35,away,Rice,14,W,
2012-10-06,Sat,Houston,44,home,North Texas,21,W,
2012-10-13,Sat,Houston,39,home,UAB,17,W,
2012-10-18,Thu,Houston,42,away,SMU,72,L,
2012-10-27,Sat,Houston,45,home,UTEP,35,W,
2012-11-03,Sat,Houston,28,away,East Carolina,48,L,
2012-11-10,Sat,Houston,7,home,Tulsa,41,L,
2012-11-17,Sat,Houston,41,away,Marshall,44,L,
2012-11-24,Sat,Houston,40,home,Tulane,17,W,
2013-08-30,Fri,Houston,62,home,Southern,13,W,
2013-09-07,Sat,Houston,22,away,Temple,13,W,
2013-09-21,Sat,Houston,31,away,Rice,26,W,
2013-09-28,Sat,Houston,59,away,UTSA,28,W,
2013-10-12,Sat,Houston,25,away,Memphis,15,W,
2013-10-19,Sat,Houston,46,away,Brigham Young,47,L,
2013-10-26,Sat,Houston,49,away,Rutgers,14,W,
2013-10-31,Thu,Houston,35,home,South Florida,23,W,
2013-11-09,Sat,Houston,14,away,UCF,19,L,
2013-11-16,Sat,Houston,13,away,Louisville,20,L,
2013-11-23,Sat,Houston,17,away,Cincinnati,24,L,
2013-11-29,Fri,Houston,34,away,SMU,0,W,
2014-01-04,Sat,Houston,24,away,Vanderbilt,41,L,
