date,time,location,team_1,score_1,team_2,score_2,,,
"Thursday, October 5, 2017",4pm, Minute Maid Park,Boston,2,Houston,8,,,
"Friday, October 6, 2017",2pm,Minute Maid Park,Boston,2,Houston,8,,,
"Sunday, October 8, 2017",2:30,Fenway Park,Houston,3,Boston,10,,,
"Monday, October 9, 2017",1:00,Fenway Park, Houston,5,Boston,4,,,
"Friday, October 13, 2017",8:00 ,Minute Maid Park,New York,1,Houston,2,,,
"Saturday, October 14, 2017",4:00,Minute Maid Park,New York,1,Houston,2,,,
"Monday, October 16, 2017",8:00,Yankee Stadium III,Houston,1,New York,8,,,
"Tuesday, October 17, 2017",5:00,Yankee Stadium III,Houston,4,New York,6,,,
"Wednesday, October 18, 2017",5:00,Yankee Stadium III,Houston,0,New York,5,,,
"Friday, October 20, 2017",8:00,Minute Maid Park,New York,1,Houston,7,,,
"Saturday, October 21, 2017",8:00,Minute Maid Park,New York,0,Houston,4,,,
"Tuesday, October 24, 2017",8:00,Dodger Stadium,Houston,1,Los Angeles,3,,,
"Wednesday, October 25, 2017",8:00,Dodger Stadium,Houston,7,Los Angeles,6,,,
"Friday, October 27, 2017",8:00,Minute Maid Park,Los Angeles,3,Houston,5,,,
"Saturday, October 28, 2017",8:00,Minute Maid Park,Los Angeles,6,Houston,2,,,
"Sunday, October 29, 2017",8:00,Minute Maid Park,Los Angeles,12,Houston,13,,,
"Tuesday, October 31, 2017",8:00,Dodger Stadium,Houston,1,Los Angeles,3,,,
"Wednesday, November 1, 2017",8:00,Dodger Stadium,Houston,5,Los Angeles,1,,,
