Gm#,Year,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,2014,Tuesday Apr 1,boxscore,HOU,,NYY,W,6,2,,Jan-00,2,0.5,Feldman,Sabathia,,2:51,N,42117,+,
2,2014,Wednesday Apr 2,boxscore,HOU,,NYY,W,3,1,,Feb-00,2,0.5,Cosart,Kuroda,Fields,3:18,N,23145,++,
3,2014,Thursday Apr 3,boxscore,HOU,,NYY,L,2,4,,1-Feb,2,0.5,Nova,Oberholtzer,Robertson,3:17,N,26348,-,
4,2014,Friday Apr 4,boxscore,HOU,,LAA,L,1,11,,2-Feb,2,1,Richards,Harrell,,3:35,N,15611,--,
5,2014,Saturday Apr 5,boxscore,HOU,,LAA,L,1,5,,3-Feb,2,2,Skaggs,Keuchel,,3:02,N,28515,---,
6,2014,Sunday Apr 6,boxscore,HOU,,LAA,W,7,4,,3-Mar,2,1,Feldman,Weaver,Qualls,2:52,D,14786,+,
7,2014,Monday Apr 7,boxscore,HOU,,LAA,L,1,9,,4-Mar,3,1.5,Wilson,Cosart,,2:44,D,17936,-,
8,2014,Tuesday Apr 8,boxscore,HOU,@,TOR,L,2,5,,5-Mar,4,2.5,Buehrle,Oberholtzer,Santos,2:52,N,13123,--,
9,2014,Wednesday Apr 9,boxscore,HOU,@,TOR,L,3,7,,6-Mar,5,2.5,Morrow,Harrell,,3:09,N,13569,---,
10,2014,Thursday Apr 10,boxscore,HOU,@,TOR,W,6,4,,6-Apr,5,2.5,Keuchel,Dickey,Bass,2:49,N,15778,+,
11,2014,Friday Apr 11,boxscore,HOU,@,TEX,L-wo,0,1,12,7-Apr,5,3,Frasor,Peacock,,4:11,N,36150,-,
12,2014,Saturday Apr 12,boxscore,HOU,@,TEX,W,6,5,10,7-May,5,2.5,Chapman,Soria,Bass,3:15,N,42577,+,
13,2014,Sunday Apr 13,boxscore,HOU,@,TEX,L,0,1,,8-May,5,3.5,Perez,Oberholtzer,Ogando,2:15,D,38698,-,
14,2014,Tuesday Apr 15,boxscore,HOU,,KCR,L,2,4,,9-May,5,5,Ventura,Harrell,Holland,2:45,N,29778,--,
15,2014,Wednesday Apr 16,boxscore,HOU,,KCR,L,4,6,11,10-May,5,5,Duffy,Williams,Holland,4:05,N,23043,---,
16,2014,Thursday Apr 17,boxscore,HOU,,KCR,L,1,5,,11-May,5,5.5,Shields,Feldman,,2:37,N,26333,----,
17,2014,Friday Apr 18,boxscore,HOU,@,OAK,L,3,11,,12-May,5,6.5,Gray,Cosart,,3:22,N,18234,-----,
18,2014,Saturday Apr 19,boxscore,HOU,@,OAK,L-wo,3,4,,13-May,5,7.5,Otero,Qualls,,3:07,D,33166,------,
