G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,"Sun, Apr 16, 2017",9:00p ET,,Box Score,,Oklahoma City Thunder,W,,118,87,1,0,W 1,
2,"Wed, Apr 19, 2017",8:00p ET,,Box Score,,Oklahoma City Thunder,W,,115,111,2,0,W 2,
3,"Fri, Apr 21, 2017",9:30p ET,,Box Score,@,Oklahoma City Thunder,L,,113,115,2,1,L 1,
4,"Sun, Apr 23, 2017",3:30p ET,,Box Score,@,Oklahoma City Thunder,W,,113,109,3,1,W 1,
5,"Tue, Apr 25, 2017",8:00p ET,,Box Score,,Oklahoma City Thunder,W,,105,99,4,1,W 2,
6,"Mon, May 1, 2017",9:30p ET,,Box Score,@,San Antonio Spurs,W,,126,99,5,1,W 3,
7,"Wed, May 3, 2017",9:30p ET,,Box Score,@,San Antonio Spurs,L,,96,121,5,2,L 1,
8,"Fri, May 5, 2017",9:30p ET,,Box Score,,San Antonio Spurs,L,,92,103,5,3,L 2,
9,"Sun, May 7, 2017",9:00p ET,,Box Score,,San Antonio Spurs,W,,125,104,6,3,W 1,
10,"Tue, May 9, 2017",8:00p ET,,Box Score,@,San Antonio Spurs,L,OT,107,110,6,4,L 1,
11,"Thu, May 11, 2017",8:00p ET,,Box Score,,San Antonio Spurs,L,,75,114,6,5,L 2,
