date,team,team_score,home_away,opposing,opp_score,win_lost,attendance
2008-03-31,HOU,0,AWAY,SDP,4,L,"44,965"
2008-04-01,HOU,1,AWAY,SDP,2,L,"20,825"
2008-04-02,HOU,9,AWAY,SDP,6,W,"18,714"
2008-04-03,HOU,2,AWAY,SDP,3,L,"24,432"
2008-04-04,HOU,4,AWAY,CHC,3,W,"37,812"
2008-04-05,HOU,7,AWAY,CHC,9,L,"40,707"
2008-04-06,HOU,2,AWAY,CHC,3,L,"40,929"
2008-04-07,HOU,5,HOME,STL,3,W,"43,483"
2008-04-08,HOU,3,HOME,STL,5,L,"30,184"
2008-04-09,HOU,4,HOME,STL,6,L,"29,187"
2008-04-11,HOU,6,HOME,FLA,10,L,"34,191"
2008-04-12,HOU,5,HOME,FLA,0,W,"34,336"
2008-04-13,HOU,5,HOME,FLA,1,W,"29,766"
2008-04-15,HOU,3,AWAY,PHI,4,L,"34,609"
2008-04-16,HOU,2,AWAY,PHI,1,W,"31,644"
2008-04-17,HOU,2,AWAY,PHI,10,L,"33,526"
2008-04-18,HOU,5,HOME,COL,11,L,"34,272"
2008-04-19,HOU,2,HOME,COL,3,L,"34,540"
2008-04-20,HOU,6,HOME,COL,4,W,"35,286"
2008-04-21,HOU,10,HOME,SDP,3,W,"28,600"
2008-04-22,HOU,11,HOME,SDP,7,W,"33,434"
2008-04-23,HOU,9,AWAY,CIN,3,W,"16,017"
2008-04-24,HOU,5,AWAY,CIN,3,W,"17,403"
2008-04-25,HOU,3,AWAY,STL,2,W,"41,193"
2008-04-26,HOU,3,AWAY,STL,4,L,"43,040"
2008-04-27,HOU,1,AWAY,STL,5,L,"44,222"
2008-04-28,HOU,3,AWAY,ARI,5,L,"19,868"
2008-04-29,HOU,6,AWAY,ARI,4,W,"20,241"
2008-04-30,HOU,7,AWAY,ARI,8,L,"21,519"
2008-05-02,HOU,7,HOME,MIL,4,W,"39,715"
2008-05-03,HOU,6,HOME,MIL,2,W,"35,002"
2008-05-04,HOU,8,HOME,MIL,6,W,"38,301"
2008-05-06,HOU,6,HOME,WSN,5,W,"30,335"
2008-05-07,HOU,4,HOME,WSN,3,W,"30,432"
2008-05-08,HOU,3,HOME,WSN,8,L,"33,433"
2008-05-09,HOU,7,AWAY,LAD,1,W,"52,658"
2008-05-10,HOU,5,AWAY,LAD,0,W,"45,212"
2008-05-11,HOU,8,AWAY,LAD,5,W,"40,217"
2008-05-12,HOU,7,AWAY,SFG,3,W,"30,165"
2008-05-13,HOU,2,AWAY,SFG,4,L,"30,858"
2008-05-14,HOU,6,AWAY,SFG,3,W,"33,070"
2008-05-15,HOU,8,AWAY,SFG,7,W,"33,771"
2008-05-16,HOU,8,AWAY,TEX,16,L,"32,117"
2008-05-17,HOU,2,AWAY,TEX,6,L,"38,534"
2008-05-18,HOU,5,AWAY,TEX,4,W,"33,561"
2008-05-19,HOU,2,HOME,CHC,7,L,"32,458"
2008-05-20,HOU,4,HOME,CHC,2,W,"33,339"
2008-05-21,HOU,5,HOME,CHC,3,W,"33,251"
2008-05-22,HOU,5,HOME,PHI,7,L,"29,263"
2008-05-23,HOU,4,HOME,PHI,3,W,"41,152"
2008-05-24,HOU,4,HOME,PHI,3,W,"42,660"
2008-05-25,HOU,6,HOME,PHI,15,L,"43,079"
2008-05-27,HOU,8,AWAY,STL,2,W,"41,104"
2008-05-28,HOU,1,AWAY,STL,6,L,"41,115"
2008-05-29,HOU,2,AWAY,STL,3,L,"41,786"
2008-05-30,HOU,1,AWAY,MIL,5,L,"32,039"
2008-05-31,HOU,1,AWAY,MIL,4,L,"42,913"
2008-06-01,HOU,1,AWAY,MIL,10,L,"44,613"
2008-06-03,HOU,2,AWAY,PIT,0,W,"13,183"
2008-06-04,HOU,2,AWAY,PIT,5,L,"9,392"
2008-06-05,HOU,3,AWAY,PIT,4,L,"10,728"
2008-06-06,HOU,6,HOME,STL,1,W,"38,596"
2008-06-07,HOU,4,HOME,STL,8,L,"39,811"
2008-06-08,HOU,4,HOME,STL,5,L,"39,923"
2008-06-10,HOU,6,HOME,MIL,1,W,"35,058"
2008-06-11,HOU,6,HOME,MIL,10,L,"33,806"
2008-06-12,HOU,6,HOME,MIL,9,L,"35,709"
2008-06-13,HOU,1,HOME,NYY,2,L,"43,095"
2008-06-14,HOU,4,HOME,NYY,8,L,"43,409"
2008-06-15,HOU,0,HOME,NYY,13,L,"43,165"
2008-06-17,HOU,5,AWAY,BAL,6,L,"21,535"
2008-06-18,HOU,1,AWAY,BAL,2,L,"21,112"
2008-06-19,HOU,5,AWAY,BAL,7,L,"31,480"
2008-06-20,HOU,4,AWAY,TBR,3,W,"14,741"
