Date,Season,home,hgoal,visitor,vgoal,winner
1996-04-06,1996,San Jose Earthquakes,1,DC United,0,San Jose Earthquakes
1996-04-13,1996,LA Galaxy,2,New York Red Bulls,1,LA Galaxy
1996-04-13,1996,Tampa Bay Mutiny,3,New England Revolution,2,Tampa Bay Mutiny
1996-04-13,1996,Columbus Crew,4,DC United,0,Columbus Crew
1996-04-13,1996,Sporting Kansas City,3,Colorado Rapids,0,Sporting Kansas City
1996-04-14,1996,FC Dallas,1,San Jose Earthquakes,0,FC Dallas
1996-04-18,1996,FC Dallas,3,Sporting Kansas City,0,FC Dallas
1996-04-20,1996,DC United,1,LA Galaxy,2,LA Galaxy
1996-04-20,1996,Columbus Crew,1,Tampa Bay Mutiny,2,Tampa Bay Mutiny
1996-04-20,1996,New York Red Bulls,0,New England Revolution,1,New England Revolution
1996-04-21,1996,Colorado Rapids,3,FC Dallas,1,Colorado Rapids
1996-04-21,1996,San Jose Earthquakes,2,Sporting Kansas City,3,Sporting Kansas City
1996-04-27,1996,New York Red Bulls,0,Columbus Crew,2,Columbus Crew
1996-04-27,1996,New England Revolution,2,DC United,1,New England Revolution
1996-04-28,1996,Tampa Bay Mutiny,1,FC Dallas,2,FC Dallas
1996-04-28,1996,LA Galaxy,2,San Jose Earthquakes,1,LA Galaxy
1996-05-01,1996,DC United,3,FC Dallas,1,DC United
1996-05-02,1996,Sporting Kansas City,6,Columbus Crew,4,Sporting Kansas City
1996-05-04,1996,New York Red Bulls,4,Tampa Bay Mutiny,3,New York Red Bulls
1996-05-04,1996,New England Revolution,1,San Jose Earthquakes,2,San Jose Earthquakes
1996-05-05,1996,FC Dallas,1,Columbus Crew,0,FC Dallas
1996-05-05,1996,Colorado Rapids,4,Sporting Kansas City,0,Colorado Rapids
1996-05-05,1996,LA Galaxy,3,DC United,1,LA Galaxy
1996-05-08,1996,San Jose Earthquakes,3,Colorado Rapids,1,San Jose Earthquakes
1996-05-08,1996,Tampa Bay Mutiny,2,Sporting Kansas City,0,Tampa Bay Mutiny
1996-05-11,1996,Colorado Rapids,1,Tampa Bay Mutiny,2,Tampa Bay Mutiny
1996-05-11,1996,Columbus Crew,3,New England Revolution,2,Columbus Crew
1996-05-11,1996,Sporting Kansas City,2,FC Dallas,3,FC Dallas
1996-05-12,1996,DC United,1,New York Red Bulls,2,New York Red Bulls
1996-05-12,1996,San Jose Earthquakes,1,LA Galaxy,2,LA Galaxy
1996-05-15,1996,DC United,5,Columbus Crew,2,DC United
1996-05-16,1996,New York Red Bulls,3,Colorado Rapids,0,New York Red Bulls
1996-05-18,1996,Tampa Bay Mutiny,3,San Jose Earthquakes,2,Tampa Bay Mutiny
1996-05-18,1996,FC Dallas,3,DC United,2,FC Dallas
1996-05-19,1996,New England Revolution,2,New York Red Bulls,0,New England Revolution
1996-05-19,1996,Columbus Crew,2,Colorado Rapids,4,Colorado Rapids
1996-05-19,1996,LA Galaxy,2,Sporting Kansas City,0,LA Galaxy
1996-05-22,1996,Sporting Kansas City,2,New York Red Bulls,1,Sporting Kansas City
1996-05-23,1996,FC Dallas,0,Tampa Bay Mutiny,1,Tampa Bay Mutiny
1996-05-25,1996,New England Revolution,3,Colorado Rapids,2,New England Revolution
1996-05-26,1996,LA Galaxy,3,Columbus Crew,2,LA Galaxy
1996-05-29,1996,San Jose Earthquakes,2,Sporting Kansas City,1,San Jose Earthquakes
1996-05-29,1996,Colorado Rapids,2,FC Dallas,0,Colorado Rapids
1996-05-30,1996,New York Red Bulls,1,DC United,2,DC United
1996-06-01,1996,San Jose Earthquakes,3,Columbus Crew,2,San Jose Earthquakes
1996-06-01,1996,Tampa Bay Mutiny,1,LA Galaxy,2,LA Galaxy
1996-06-01,1996,Sporting Kansas City,2,New England Revolution,1,Sporting Kansas City
1996-06-02,1996,FC Dallas,0,New York Red Bulls,1,New York Red Bulls
1996-06-02,1996,Colorado Rapids,2,DC United,3,DC United
1996-06-05,1996,DC United,3,San Jose Earthquakes,1,DC United
1996-06-05,1996,Sporting Kansas City,1,Tampa Bay Mutiny,3,Tampa Bay Mutiny
1996-06-06,1996,New England Revolution,2,LA Galaxy,3,LA Galaxy
1996-06-08,1996,Columbus Crew,3,Sporting Kansas City,4,Sporting Kansas City
