Date,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year
1966-01-01,10H50,3300-3399,ALABAMA,Rape,APARTMENT,1.0,0.0,1,Saturday,Jan,1966
1977-10-14,10H50,3200-3299,TRUXILLO,Theft,APARTMENT PARKING LOT,1.0,15.0,14,Friday,Oct,1977
1996-01-28,10H50,3200-3299,TRUXILLO,Rape,Residence or House,1.0,22.0,28,Sunday,Jan,1996
1996-09-16,10H50,2500-2599,TUAM,Rape,Residence or House,1.0,15.0,16,Monday,Sep,1996
2001-08-01,10H50,3000-3099,CLEBURNE,Theft,No label,1.0,19.0,1,Wednesday,Aug,2001
2001-11-21,10H50,2300-2399,HADLEY,Theft,CONSTRUCTION SITE,1.0,0.0,21,Wednesday,Nov,2001
2005-01-01,10H50,2300-2399,TUAM,Rape,APARTMENT,1.0,0.0,1,Saturday,Jan,2005
2006-10-21,10H50,3400-3499,ELGIN,Rape,"Field, Woods, Forest, Park",1.0,4.0,21,Saturday,Oct,2006
2007-01-01,10H50,3400-3499,NAGLE,Rape,Residence or House,1.0,16.0,1,Monday,Jan,2007
2007-11-26,10H50,4700-4799,CALHOUN,Theft,OTHER PARKING LOT,1.0,11.0,26,Monday,Nov,2007
2008-10-18,10H50,3400-3499,HADLEY,Burglary,"VACANT OTHER STRUCTURE (OUT BUILDINGS,MONUMENTS,BUILDINGS UNDER CONSTRUCTION,ETC.)",1.0,15.0,18,Saturday,Oct,2008
2009-01-04,10H50,3500-3599,HOLMAN,Burglary,RESIDENCE/HOUSE,1.0,13.0,4,Sunday,Jan,2009
2009-01-08,10H50,3300-3399,DOWLING,Auto Theft,CONVENIENCE STORE,1.0,21.0,8,Thursday,Jan,2009
2009-01-14,10H50,2300-2399,BURKETT,Theft,OTHER/UNKNOWN,1.0,0.0,14,Wednesday,Jan,2009
2009-01-15,10H50,3100-3199,SAMPSON,Theft,RESIDENCE/HOUSE,1.0,0.0,15,Thursday,Jan,2009
2009-02-01,10H50,3600-3699,BRILEY,Theft,RESIDENCE/HOUSE,1.0,0.0,1,Sunday,Feb,2009
2009-03-23,10H50,3300-3399,BREMOND,Robbery,APARTMENT,1.0,5.0,23,Monday,Mar,2009
2009-05-24,10H50,3000-3099,TRUXILLO,Aggravated Assault,Residence or House,1.0,9.0,24,Sunday,May,2009
2009-05-24,10H50,3000-3099,TRUXILLO,Murder,Residence or House,1.0,9.0,24,Sunday,May,2009
2009-06-01,10H50,3100-3199,NAPOLEON,Theft,RESIDENCE/HOUSE,1.0,6.0,1,Monday,Jun,2009
2009-10-01,10H50,3200-3299,HOLMAN,Theft,RESIDENCE/HOUSE,1.0,0.0,1,Thursday,Oct,2009
2009-11-30,10H50,2300-2399,PIERCE,Theft,RESTAURANT/CAFETERIA PARKING LOT,1.0,22.0,30,Monday,Nov,2009
2009-12-24,10H50,2300-2399,LIVE OAK,Theft,RESIDENCE/HOUSE,1.0,16.0,24,Thursday,Dec,2009
2009-12-28,10H50,3200-3299,WINBERN,Burglary,RESIDENCE/HOUSE,1.0,16.0,28,Monday,Dec,2009
2009-12-31,10H50,2700-2799,CANFIELD,Burglary,RESIDENCE/HOUSE,1.0,22.0,31,Thursday,Dec,2009
2010-01-01,10H50,2600-2699,TRUXILLO,Burglary,"VACANT SINGLE OCCUPANCY RESIDENCE (HOUSES,TOWNHOUSES,DUPLEXES, ETC.)",1.0,12.0,1,Friday,Jan,2010
2010-01-01,10H50,3400-3499,ROSALIE,Theft,RESIDENCE/HOUSE,1.0,12.0,1,Friday,Jan,2010
2010-01-01,10H50,3100-3199,ENNIS,Aggravated Assault,ROAD/STREET/SIDEWALK,1.0,18.0,1,Friday,Jan,2010
2010-01-01,10H50,3400-3499,ROSALIE,Aggravated Assault,"MULTI-PLEX HME(DUPLEX,TRIPLEX ETC)",1.0,21.0,1,Friday,Jan,2010
2010-01-01,10H50,3400-3499,NAGLE,Theft,RESIDENCE/HOUSE,1.0,9.0,1,Friday,Jan,2010
2010-01-03,10H50,3800-3899,BURKETT,Aggravated Assault,APARTMENT,1.0,7.0,3,Sunday,Jan,2010
2010-01-04,10H50,2600-2699,MCGOWEN,Aggravated Assault,ROAD/STREET/SIDEWALK,1.0,17.0,4,Monday,Jan,2010
2010-01-04,10H50,3700-3799,BURKETT,Auto Theft,APARTMENT PARKING LOT,1.0,6.0,4,Monday,Jan,2010
2010-01-04,10H50,3500-3599,HOLMAN,Burglary,RESIDENCE/HOUSE,1.0,13.0,4,Monday,Jan,2010
