,full_date,home_team,home_score,away_team,away_score,season,beat
1,2010-04-01,HOU,2,Real Salt Lake,1,reg,10H30
2,2010-04-10,HOU,0,LA Galaxy,2,reg,10H30
3,2010-04-17,HOU,3,Chivas USA,0,reg,10H30
5,2010-05-01,HOU,3,Sporting KC,0,reg,10H30
6,2010-05-05,HOU,0,FC Dallas,1,reg,10H30
9,2010-05-22,HOU,2,D.C. United,0,reg,10H30
10,2010-05-29,HOU,2,Philadelphia,3,reg,10H30
13,2010-06-26,HOU,2,Colorado,2,reg,10H30
15,2010-07-10,HOU,0,Columbus,0,reg,10H30
17,2010-07-31,HOU,2,NY Red Bulls,2,reg,10H30
20,2010-08-21,HOU,4,Chicago,3,reg,10H30
22,2010-09-05,HOU,1,San Jose,2,reg,10H30
23,2010-09-18,HOU,1,Toronto FC,2,reg,10H30
27,2010-10-10,HOU,1,New England,2,reg,10H30
30,2011-03-19,HOU,0,Philadelphia,1,reg,10H30
33,2011-04-10,HOU,3,Vancouver,1,reg,10H30
34,2011-04-17,HOU,1,New England,0,reg,10H30
36,2011-04-29,HOU,4,D.C. United,1,reg,10H30
37,2011-05-04,HOU,1,Colorado,2,reg,10H30
40,2011-05-21,HOU,2,NY Red Bulls,2,reg,10H30
42,2011-05-28,HOU,2,FC Dallas,2,reg,10H30
44,2011-06-11,HOU,2,Chivas USA,1,reg,10H30
45,2011-06-18,HOU,0,Columbus,2,reg,10H30
48,2011-07-09,HOU,2,Toronto FC,0,reg,10H30
49,2011-07-16,HOU,1,Sporting KC,1,reg,10H30
53,2011-08-14,HOU,2,Portland,1,reg,10H30
55,2011-08-20,HOU,3,Real Salt Lake,2,reg,10H30
59,2011-09-17,HOU,2,San Jose,1,reg,10H30
61,2011-10-01,HOU,1,Chicago,1,reg,10H30
63,2011-10-23,HOU,3,LA Galaxy,1,reg,10H30
71,2012-05-12,HOU,1,D.C. United,0,reg,10H30
72,2012-05-15,HOU,0,Portland,0,reg,10H30
74,2012-05-26,HOU,2,LA Galaxy,1,reg,10H30
76,2012-06-16,HOU,2,FC Dallas,1,reg,10H30
77,2012-06-20,HOU,3,Toronto FC,3,reg,10H30
79,2012-06-30,HOU,2,Philadelphia,1,reg,10H30
80,2012-07-03,HOU,0,Chicago,0,reg,10H30
82,2012-07-15,HOU,4,D.C. United,0,reg,10H30
83,2012-07-18,HOU,2,Sporting KC,1,reg,10H30
84,2012-07-21,HOU,3,Montreal,0,reg,10H30
86,2012-08-03,HOU,2,NY Red Bulls,0,reg,10H30
88,2012-08-19,HOU,2,Columbus,2,reg,10H30
89,2012-08-25,HOU,1,Toronto FC,1,reg,10H30
91,2012-09-06,HOU,1,Real Salt Lake,0,reg,10H30
94,2012-09-29,HOU,2,New England,0,reg,10H30
95,2012-10-06,HOU,1,Montreal,1,reg,10H30
96,2012-10-20,HOU,3,Philadelphia,1,reg,10H30
98,2013-03-02,HOU,2,D.C. United,0,reg,10H30
100,2013-03-23,HOU,2,Vancouver,1,reg,10H30
101,2013-03-30,HOU,2,San Jose,0,reg,10H30
103,2013-04-14,HOU,2,Chicago,1,reg,10H30
105,2013-04-28,HOU,1,Colorado,1,reg,10H30
108,2013-05-12,HOU,0,Sporting KC,1,reg,10H30
109,2013-05-18,HOU,0,New England,2,reg,10H30
113,2013-06-22,HOU,0,Toronto FC,0,reg,10H30
115,2013-07-06,HOU,1,Philadelphia,0,reg,10H30
117,2013-07-27,HOU,1,Chicago,1,reg,10H30
118,2013-08-03,HOU,3,Columbus,1,reg,10H30
124,2013-09-08,HOU,1,NY Red Bulls,4,reg,10H30
126,2013-09-21,HOU,5,Chivas USA,1,reg,10H30
128,2013-10-04,HOU,1,Montreal,0,reg,10H30
129,2013-10-09,HOU,0,Sporting KC,0,reg,10H30
130,2013-10-20,HOU,0,NY Red Bulls,3,reg,10H30
132,2014-03-08,HOU,4,New England,0,reg,10H30
133,2014-03-15,HOU,1,Montreal,0,reg,10H30
135,2014-04-05,HOU,1,FC Dallas,4,reg,10H30
139,2014-04-27,HOU,1,Portland,1,reg,10H30
141,2014-05-07,HOU,1,Columbus,0,reg,10H30
142,2014-05-11,HOU,2,Real Salt Lake,5,reg,10H30
143,2014-05-17,HOU,1,LA Galaxy,0,reg,10H30
147,2014-06-06,HOU,0,Sporting KC,2,reg,10H30
149,2014-07-04,HOU,2,NY Red Bulls,2,reg,10H30
151,2014-07-19,HOU,2,Toronto FC,2,reg,10H30
152,2014-08-03,HOU,1,D.C. United,0,reg,10H30
154,2014-08-15,HOU,2,Philadelphia,0,reg,10H30
157,2014-09-06,HOU,3,Montreal,2,reg,10H30
158,2014-09-13,HOU,2,Columbus,2,reg,10H30
160,2014-09-28,HOU,2,Chicago,0,reg,10H30
163,2014-10-12,HOU,1,D.C. United,3,reg,10H30
