Date,Beat,BlockRange,StreetName,Offense Type,Premise,Offenses,Hour,address,lat_lon
2017-01-01,20G80,14600-14699,BRIAR FOREST,Theft,Apartment Parking Lot,1.0,12,14600-14699 BRIAR FOREST,"(29.7567919, -95.6424918)"
2017-01-01,19G50,11700-11799,WILCREST,Theft,Bar or Night Club Parking Lot,1.0,19,11700-11799 WILCREST,"(29.6514525, -95.5693261)"
2017-01-01,3B50,7300-7399,IRVINGTON,AutoTheft,Bar or Night Club,1.0,12,7300-7399 IRVINGTON,"(36.0173363, -95.9097797)"
2017-01-01,3B50,6500-6599,AMASA,Aggravated Assault,"Road, Street, or Sidewalk",1.0,2,6500-6599 AMASA,"(29.8167248, -95.3752209)"
2017-01-01,2A50,6700-6799,ARNOT,Theft,"Parks and Recreation, Zoo, Swimming Pool",1.0,9,6700-6799 ARNOT,"(35.14236, -102.0104159)"
2017-01-01,19G50,10300-10399,WILCREST,Theft,Apartment Parking Lot,1.0,18,10300-10399 WILCREST,"(29.669017, -95.5702462)"
2017-01-01,6B40,900-999,FORTUNE,Burglary,Residence or House,1.0,20,900-999 FORTUNE,"(38.12374750000001, -122.2710105)"
2017-01-01,19G50,9600-9699,BISSONNET,Theft,,1.0,11,9600-9699 BISSONNET,"(29.6756728, -95.54607829999999)"
2017-01-01,19G40,11700-11799,BISSONNET,Robbery,Apartment Parking Lot,1.0,21,11700-11799 BISSONNET,"(29.6758777, -95.5830924)"
2017-01-01,19G50,11100-11199,WINDMARK,Theft,Driveway,1.0,2,11100-11199 WINDMARK,"(29.65968789999999, -95.57527449999999)"
2017-01-01,2A50,200-299,KNOX,Theft,"Road, Street, or Sidewalk",1.0,18,200-299 KNOX,"(41.2730772, -86.69228749999999)"
2017-01-01,19G40,11800-11899,FAIRPOINT,Aggravated Assault,Residence or House,2.0,6,11800-11899 FAIRPOINT,"(29.5204435, -98.68267)"
2017-01-01,6B40,7500-7599,BURT,Aggravated Assault,"Road, Street, or Sidewalk",2.0,15,7500-7599 BURT,"(41.2669176, -96.0293717)"
2017-01-01,19G50,10500-10599,WINDMARK,Theft,Driveway,1.0,3,10500-10599 WINDMARK,"(29.6605438, -95.57560769999999)"
2017-01-01,2A50,5300-5399,WASHINGTON,Theft,Bar or Night Club Parking Lot,1.0,12,5300-5399 WASHINGTON,"(42.2582684, -71.1598758)"
