Date_Hour,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year
2010-01-01 23:00:00,15E40,2500-2599,WESTRIDGE,Aggravated Assault,apartment,1,23,1,Friday,Jan,2010
2010-01-01 23:00:00,15E40,8300-8399,KNIGHT,Theft,convenience store,1,23,1,Friday,Jan,2010
2010-01-02 00:00:00,15E40,3000-3099,MURWORTH,Theft,other/unknown,1,0,2,Saturday,Jan,2010
2010-01-02 12:00:00,15E40,1600-1699,SOUTH LP W,Theft,hotel/motel/etc.,1,12,2,Saturday,Jan,2010
2010-01-03 00:00:00,15E40,2200-2299,HOLLY HALL,Auto Theft,apartment parking lot,1,0,3,Sunday,Jan,2010
2010-01-03 01:00:00,15E40,8200-8299,CAMBRIDGE,Burglary,apartment,1,1,3,Sunday,Jan,2010
2010-01-03 17:00:00,15E40,8800-8899,MAIN,Auto Theft,apartment parking lot,1,17,3,Sunday,Jan,2010
2010-01-03 21:00:00,15E40,10700-10799,ALMEDA,Theft,other parking lot,1,21,3,Sunday,Jan,2010
2010-01-03 22:00:00,15E40,2300-2399,SOUTH LP W,Theft,hotel/motel parking lot,1,22,3,Sunday,Jan,2010
2010-01-04 09:00:00,15E40,2600-2699,WESTRIDGE,Robbery,apartment,1,9,4,Monday,Jan,2010
2010-01-04 18:00:00,15E40,8300-8399,EL MUNDO,Theft,apartment parking lot,1,18,4,Monday,Jan,2010
2010-01-05 10:00:00,15E40,7700-7799,FANNIN,Theft,drug store/medical supply,1,10,5,Tuesday,Jan,2010
2010-01-05 12:00:00,15E40,2600-2699,SOUTH LP W,Auto Theft,other parking lot,1,12,5,Tuesday,Jan,2010
2010-01-05 18:00:00,15E40,9100-9199,LAKES AT 610,Burglary,apartment,1,18,5,Tuesday,Jan,2010
2010-01-05 19:00:00,15E40,2300-2399,HOLMES,Burglary,factory/manufacturing/industrial,1,19,5,Tuesday,Jan,2010
2010-01-06 09:00:00,15E40,8200-8299,BRAESMAIN,Theft,commercial parking lot/garage,1,9,6,Wednesday,Jan,2010
2010-01-06 11:00:00,15E40,8200-8299,CAMBRIDGE,Theft,apartment parking lot,1,11,6,Wednesday,Jan,2010
2010-01-06 12:00:00,15E40,2800-2899,HOLMES,Theft,office building,1,12,6,Wednesday,Jan,2010
2010-01-06 13:00:00,15E40,8400-8499,CAMBRIDGE,Theft,apartment,1,13,6,Wednesday,Jan,2010
2010-01-06 17:00:00,15E40,8200-8299,CAMBRIDGE,Theft,apartment laundry,1,17,6,Wednesday,Jan,2010
2010-01-06 19:00:00,15E40,2200-2299,NAOMI,Burglary,residence/house,1,19,6,Wednesday,Jan,2010
2010-01-07 06:00:00,15E40,8100-8199,KIRBY,Theft,hotel/motel parking lot,1,6,7,Thursday,Jan,2010
2010-01-07 11:00:00,15E40,7700-7799,GREENBRIAR,Burglary,apartment,1,11,7,Thursday,Jan,2010
2010-01-07 16:00:00,15E40,8900-8999,KNIGHT,Auto Theft,commercial parking lot/garage,1,16,7,Thursday,Jan,2010
2010-01-08 09:00:00,15E40,8000-8099,STADIUM,Theft,strip business center parking lot,1,9,8,Friday,Jan,2010
2010-01-08 13:00:00,15E40,7800-7899,MAIN,Theft,"electronics store, electrical sup.",1,13,8,Friday,Jan,2010
2010-01-08 18:00:00,15E40,1600-1699,SOUTH LP W,Theft,garage/carport,1,18,8,Friday,Jan,2010
2010-01-08 20:00:00,15E40,9400-9499,MAIN,Robbery,department/discount store,1,20,8,Friday,Jan,2010
2010-01-08 20:00:00,15E40,7500-7599,CAMBRIDGE,Auto Theft,other/unknown,1,20,8,Friday,Jan,2010
2010-01-08 23:00:00,15E40,2600-2699,WESTRIDGE,Aggravated Assault,apartment,1,23,8,Friday,Jan,2010
2010-01-09 08:00:00,15E40,2000-2099,HOLLY HALL,Theft,nursing home,1,8,9,Saturday,Jan,2010
2010-01-09 17:00:00,15E40,8100-8199,KIRBY,Theft,hotel/motel parking lot,1,17,9,Saturday,Jan,2010
2010-01-09 18:00:00,15E40,8400-8499,KIRBY,Theft,other parking lot,1,18,9,Saturday,Jan,2010
2010-01-09 19:00:00,15E40,1300-1399,OLD SPANISH,Auto Theft,apartment/rental office,1,19,9,Saturday,Jan,2010
2010-01-09 21:00:00,15E40,8400-8499,KIRBY,Theft,other/unknown,1,21,9,Saturday,Jan,2010
2010-01-10 03:00:00,15E40,9300-9399,MAIN,Theft,restaurant/cafeteria,1,3,10,Sunday,Jan,2010
2010-01-10 09:00:00,15E40,3000-3099,SOUTH LP W,Robbery,restaurant/cafeteria parking lot,1,9,10,Sunday,Jan,2010
2010-01-10 10:00:00,15E40,8500-8599,MAIN,Theft,department/discount store,1,10,10,Sunday,Jan,2010
2010-01-10 12:00:00,15E40,8500-8599,MAIN,Auto Theft,grocery/supermarket parking lot,1,12,10,Sunday,Jan,2010
2010-01-10 14:00:00,15E40,2500-2599,SOUTH LP W,Theft,restaurant/cafeteria parking lot,1,14,10,Sunday,Jan,2010
2010-01-10 14:00:00,15E40,2500-2599,SOUTH LP W,Theft,restaurant/cafeteria parking lot,1,14,10,Sunday,Jan,2010
2010-01-10 14:00:00,15E40,8100-8199,EL MUNDO,Burglary,condominium,1,14,10,Sunday,Jan,2010
2010-01-10 15:00:00,15E40,2100-2199,HOLLY HALL,Theft,apartment,1,15,10,Sunday,Jan,2010
2010-01-10 19:00:00,15E40,9300-9399,MAIN,Theft,convenience store,1,19,10,Sunday,Jan,2010
2010-01-10 19:00:00,15E40,8100-8199,FANNIN,Burglary,apartment,1,19,10,Sunday,Jan,2010
2010-01-11 17:00:00,15E40,8500-8599,MAIN,Theft,department/discount store,1,17,11,Monday,Jan,2010
2010-01-11 19:00:00,15E40,2400-2499,HOLLY HALL,Theft,apartment parking lot,1,19,11,Monday,Jan,2010
2010-01-11 21:00:00,15E40,3000-3099,MURWORTH,Auto Theft,apartment parking lot,1,21,11,Monday,Jan,2010
2010-01-11 22:00:00,15E40,2400-2499,HOLLY HALL,Theft,apartment parking lot,1,22,11,Monday,Jan,2010
2010-01-11 23:00:00,15E40,2900-2999,WESTRIDGE,Robbery,convenience store parking lot,1,23,11,Monday,Jan,2010
2010-01-12 08:00:00,15E40,8200-8299,CAMBRIDGE,Burglary,apartment,1,8,12,Tuesday,Jan,2010
2010-01-12 08:00:00,15E40,8500-8599,MAIN,Theft,department/discount store,1,8,12,Tuesday,Jan,2010
2010-01-12 08:00:00,15E40,2600-2699,SOUTH LP W,Auto Theft,commercial parking lot/garage,1,8,12,Tuesday,Jan,2010
2010-01-12 10:00:00,15E40,8300-8399,KNIGHT,Theft,other/unknown,1,10,12,Tuesday,Jan,2010
2010-01-12 12:00:00,15E40,7600-7699,PHOENIX,Burglary,apartment,1,12,12,Tuesday,Jan,2010
2010-01-12 15:00:00,15E40,8100-8199,FANNIN,Burglary,apartment,1,15,12,Tuesday,Jan,2010
2010-01-12 19:00:00,15E40,2600-2699,SOUTH LP W,Theft,restaurant/cafeteria parking lot,1,19,12,Tuesday,Jan,2010
2010-01-12 21:00:00,15E40,7000-7099,FANNIN,Robbery,road/street/sidewalk,1,21,12,Tuesday,Jan,2010
2010-01-13 01:00:00,15E40,9500-9599,MAIN,Theft,convenience store,1,1,13,Wednesday,Jan,2010
2010-01-13 08:00:00,15E40,1800-1899,EL PASEO,Burglary,apartment,1,8,13,Wednesday,Jan,2010
2010-01-13 12:00:00,15E40,2800-2899,BARTELL,Auto Theft,road/street/sidewalk,1,12,13,Wednesday,Jan,2010
