Date_Hour,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year
2010-01-01 00:00:00,1A10,300-399,HAMILTON,Auto Theft,bar/night club parking lot,1,0,1,Friday,Jan,2010
2010-01-01 00:00:00,1A10,1200-1299,CAROLINE,Theft,bar/night club,1,0,1,Friday,Jan,2010
2010-01-01 00:00:00,1A10,400-499,MAIN,Burglary,office building,1,0,1,Friday,Jan,2010
2010-01-01 00:00:00,1A10,1200-1299,TRAVIS,Theft,other/unknown,1,0,1,Friday,Jan,2010
2010-01-01 00:00:00,1A10,1000-1099,AVENIDA DE LAS AMERICAS,Theft,convention center/exhibit halls,1,0,1,Friday,Jan,2010
2010-01-01 01:00:00,1A10,1200-1299,SAN JACINTO,Burglary,restaurant/cafeteria,1,1,1,Friday,Jan,2010
2010-01-01 02:00:00,1A10,700-799,MAIN,Theft,bar/night club parking lot,1,2,1,Friday,Jan,2010
2010-01-01 02:00:00,1A10,400-499,CAROLINE,Theft,road/street/sidewalk,1,2,1,Friday,Jan,2010
2010-01-01 06:00:00,1A10,1200-1299,TRAVIS,Auto Theft,auto repair,1,6,1,Friday,Jan,2010
2010-01-01 23:00:00,1A10,700-799,MAIN,Theft,bar/night club,1,23,1,Friday,Jan,2010
2010-01-01 23:00:00,1A10,600-699,TEXAS,Burglary,"theatres,dinner theaters,auditor.",1,23,1,Friday,Jan,2010
2010-01-02 00:00:00,1A10,1000-1099,LOUISIANA,Theft,commercial building,1,0,2,Saturday,Jan,2010
2010-01-02 00:00:00,1A10,100-199,TRAVIS,Theft,bar/night club,1,0,2,Saturday,Jan,2010
2010-01-02 01:00:00,1A10,1200-1299,TRAVIS,Theft,other/unknown,1,1,2,Saturday,Jan,2010
2010-01-02 03:00:00,1A10,300-399,MAIN,Theft,apartment,1,3,2,Saturday,Jan,2010
2010-01-02 14:00:00,1A10,1200-1299,TRAVIS,Theft,highway/freeway,1,14,2,Saturday,Jan,2010
2010-01-02 14:00:00,1A10,1000-1099,AVENIDA DE LAS AMERICAS,Theft,convention center/exhibit halls,1,14,2,Saturday,Jan,2010
2010-01-02 14:00:00,1A10,1400-1499,DALLAS,Auto Theft,road/street/sidewalk,1,14,2,Saturday,Jan,2010
2010-01-02 18:00:00,1A10,1600-1699,FANNIN,Theft,residence/house,1,18,2,Saturday,Jan,2010
2010-01-02 19:00:00,1A10,1200-1299,TEXAS,Burglary,jail/prison,1,19,2,Saturday,Jan,2010
2010-01-02 19:00:00,1A10,700-799,SAN JACINTO,Theft,convenience store parking lot,1,19,2,Saturday,Jan,2010
2010-01-02 23:00:00,1A10,400-499,TRAVIS,Theft,commercial parking lot/garage,1,23,2,Saturday,Jan,2010
2010-01-03 00:00:00,1A10,100-199,MAIN,Theft,bar/night club,1,0,3,Sunday,Jan,2010
2010-01-03 00:00:00,1A10,1200-1299,TRAVIS,Theft,other/unknown,1,0,3,Sunday,Jan,2010
2010-01-03 12:00:00,1A10,1300-1399,BELL,Theft,residence/house,1,12,3,Sunday,Jan,2010
2010-01-03 15:00:00,1A10,500-599,MCKINNEY,Theft,"libraries, museums",1,15,3,Sunday,Jan,2010
2010-01-03 20:00:00,1A10,1000-1099,FRANKLIN,Theft,road/street/sidewalk,1,20,3,Sunday,Jan,2010
2010-01-03 22:00:00,1A10,1000-1099,CONGRESS,Theft,road/street/sidewalk,1,22,3,Sunday,Jan,2010
2010-01-03 22:00:00,1A10,1300-1399,TEXAS,Theft,road/street/sidewalk,1,22,3,Sunday,Jan,2010
2010-01-03 23:00:00,1A10,300-399,TRAVIS,Auto Theft,road/street/sidewalk,1,23,3,Sunday,Jan,2010
2010-01-04 00:00:00,1A10,1200-1299,TRAVIS,Theft,other/unknown,1,0,4,Monday,Jan,2010
2010-01-04 00:00:00,1A10,0-99,SAN JACINTO,Theft,office building,1,0,4,Monday,Jan,2010
2010-01-04 14:00:00,1A10,1100-1199,MAIN,Theft,department/discount store,1,14,4,Monday,Jan,2010
2010-01-04 14:00:00,1A10,1200-1299,TRAVIS,Theft,grocery/supermarket,1,14,4,Monday,Jan,2010
2010-01-04 17:00:00,1A10,1700-1799,MILAM,Burglary,vacant building (commercial),1,17,4,Monday,Jan,2010
2010-01-04 18:00:00,1A10,500-599,ALLEN,Theft,other parking lot,1,18,4,Monday,Jan,2010
2010-01-05 06:00:00,1A10,1100-1199,TRAVIS,Theft,mall parking lot,1,6,5,Tuesday,Jan,2010
2010-01-05 08:00:00,1A10,1200-1299,TRAVIS,Theft,---,1,8,5,Tuesday,Jan,2010
2010-01-05 09:00:00,1A10,1800-1899,MAIN,Theft,commercial parking lot/garage,1,9,5,Tuesday,Jan,2010
2010-01-05 16:00:00,1A10,1200-1299,MCKINNEY,Theft,road/street/sidewalk,1,16,5,Tuesday,Jan,2010
2010-01-05 22:00:00,1A10,1500-1599,LOUISIANA,Theft,commercial building,1,22,5,Tuesday,Jan,2010
2010-01-06 00:00:00,1A10,1200-1299,TRAVIS,Theft,other/unknown,1,0,6,Wednesday,Jan,2010
2010-01-06 00:00:00,1A10,200-299,MAIN,Theft,apartment parking lot,1,0,6,Wednesday,Jan,2010
2010-01-06 03:00:00,1A10,1300-1399,NANCE,Burglary,restaurant/cafeteria,1,3,6,Wednesday,Jan,2010
2010-01-06 08:00:00,1A10,1200-1299,MAIN,Theft,commercial parking lot/garage,1,8,6,Wednesday,Jan,2010
2010-01-06 16:00:00,1A10,1200-1299,TRAVIS,Theft,apartment,1,16,6,Wednesday,Jan,2010
2010-01-06 17:00:00,1A10,1600-1699,FANNIN,Theft,apartment parking lot,1,17,6,Wednesday,Jan,2010
2010-01-06 22:00:00,1A10,1900-1999,COMMERCE,Theft,commercial parking lot/garage,1,22,6,Wednesday,Jan,2010
2010-01-07 08:00:00,1A10,1200-1299,POLK,Theft,commercial parking lot/garage,1,8,7,Thursday,Jan,2010
2010-01-07 09:00:00,1A10,1000-1099,LOUISIANA,Theft,office building,1,9,7,Thursday,Jan,2010
2010-01-07 12:00:00,1A10,1600-1699,LOUISIANA,Theft,"gym,recreat,club hse,indr pool,spa",1,12,7,Thursday,Jan,2010
2010-01-07 14:00:00,1A10,700-799,ST JOSEPH,Theft,commercial parking lot/garage,1,14,7,Thursday,Jan,2010
2010-01-07 15:00:00,1A10,1300-1399,MAIN,Theft,commercial parking lot/garage,1,15,7,Thursday,Jan,2010
2010-01-07 16:00:00,1A10,1100-1199,MAIN,Theft,department/discount store,1,16,7,Thursday,Jan,2010
2010-01-07 17:00:00,1A10,1600-1699,LOUISIANA,Theft,"gym,recreat,club hse,indr pool,spa",1,17,7,Thursday,Jan,2010
2010-01-07 21:00:00,1A10,1100-1199,TEXAS,Auto Theft,road/street/sidewalk,1,21,7,Thursday,Jan,2010
2010-01-08 10:00:00,1A10,800-899,TEXAS,Auto Theft,commercial parking lot/garage,1,10,8,Friday,Jan,2010
2010-01-08 11:00:00,1A10,700-799,MAIN,Theft,road/street/sidewalk,1,11,8,Friday,Jan,2010
2010-01-08 18:00:00,1A10,600-699,JEFFERSON,Theft,office building,1,18,8,Friday,Jan,2010
2010-01-08 23:00:00,1A10,900-999,COMMERCE,Theft,road/street/sidewalk,1,23,8,Friday,Jan,2010
2010-01-09 00:00:00,1A10,1200-1299,TRAVIS,Theft,bar/night club,1,0,9,Saturday,Jan,2010
2010-01-09 00:00:00,1A10,100-199,MAIN,Theft,bar/night club,1,0,9,Saturday,Jan,2010
2010-01-09 01:00:00,1A10,100-199,MILAM,Theft,bar/night club,1,1,9,Saturday,Jan,2010
2010-01-09 09:00:00,1A10,700-799,SAN JACINTO,Auto Theft,road/street/sidewalk,1,9,9,Saturday,Jan,2010
2010-01-09 15:00:00,1A10,1100-1199,TRAVIS,Theft,commercial parking lot/garage,1,15,9,Saturday,Jan,2010
2010-01-09 17:00:00,1A10,500-599,MAIN,Theft,bar/night club,1,17,9,Saturday,Jan,2010
2010-01-09 18:00:00,1A10,500-599,LOUISIANA,Theft,road/street/sidewalk,1,18,9,Saturday,Jan,2010
2010-01-09 19:00:00,1A10,1200-1299,AUSTIN,Auto Theft,commercial parking lot/garage,1,19,9,Saturday,Jan,2010
2010-01-09 22:00:00,1A10,1200-1299,TRAVIS,Theft,other/unknown,1,22,9,Saturday,Jan,2010
2010-01-09 22:00:00,1A10,500-599,JEFFERSON,Aggravated Assault,road/street/sidewalk,1,22,9,Saturday,Jan,2010
2010-01-10 00:00:00,1A10,1200-1299,TRAVIS,Theft,other/unknown,1,0,10,Sunday,Jan,2010
2010-01-10 12:00:00,1A10,1500-1599,MCKINNEY,Theft,"parks & recreation, zoo, swim pool",1,12,10,Sunday,Jan,2010
2010-01-10 13:00:00,1A10,700-799,TOP,Theft,road/street/sidewalk,1,13,10,Sunday,Jan,2010
2010-01-10 15:00:00,1A10,1800-1899,LA BRANCH,Aggravated Assault,hospital,1,15,10,Sunday,Jan,2010
2010-01-10 16:00:00,1A10,800-899,FRANKLIN,Theft,road/street/sidewalk,1,16,10,Sunday,Jan,2010
2010-01-10 22:00:00,1A10,200-299,MILAM,Theft,bar/night club parking lot,1,22,10,Sunday,Jan,2010
2010-01-10 22:00:00,1A10,1000-1099,CONGRESS,Theft,commercial parking lot/garage,1,22,10,Sunday,Jan,2010
2010-01-10 23:00:00,1A10,500-599,TEXAS,Theft,other/unknown,1,23,10,Sunday,Jan,2010
2010-01-11 00:00:00,1A10,1200-1299,TRAVIS,Theft,service/gas station,1,0,11,Monday,Jan,2010
2010-01-11 10:00:00,1A10,1400-1499,FRANKLIN,Auto Theft,road/street/sidewalk,1,10,11,Monday,Jan,2010
2010-01-11 16:00:00,1A10,900-999,FRANKLIN,Theft,commercial parking lot/garage,1,16,11,Monday,Jan,2010
2010-01-11 17:00:00,1A10,1100-1199,SMITH,Theft,commercial parking lot/garage,1,17,11,Monday,Jan,2010
2010-01-11 17:00:00,1A10,1200-1299,TRAVIS,Theft,road/street/sidewalk,1,17,11,Monday,Jan,2010
2010-01-11 21:00:00,1A10,800-899,BAGBY,Theft,commercial parking lot/garage,1,21,11,Monday,Jan,2010
2010-01-11 22:00:00,1A10,1800-1899,SAN JACINTO,Aggravated Assault,bus station,1,22,11,Monday,Jan,2010
2010-01-12 12:00:00,1A10,900-999,MILAM,Theft,commercial building,1,12,12,Tuesday,Jan,2010
2010-01-12 18:00:00,1A10,1000-1099,CONGRESS,Theft,road/street/sidewalk,1,18,12,Tuesday,Jan,2010
2010-01-12 22:00:00,1A10,1000-1099,FRANKLIN,Theft,road/street/sidewalk,1,22,12,Tuesday,Jan,2010
2010-01-12 22:00:00,1A10,900-999,PRESTON,Theft,commercial parking lot/garage,1,22,12,Tuesday,Jan,2010
2010-01-13 00:00:00,1A10,1800-1899,RUIZ,Theft,park & ride terminal,1,0,13,Wednesday,Jan,2010
2010-01-13 15:00:00,1A10,1200-1299,TRAVIS,Auto Theft,mall parking lot,1,15,13,Wednesday,Jan,2010
2010-01-13 18:00:00,1A10,400-499,LOUISIANA,Theft,"theatres,dinner theaters,auditor.",1,18,13,Wednesday,Jan,2010
2010-01-13 19:00:00,1A10,800-899,BAGBY,Theft,other parking lot,1,19,13,Wednesday,Jan,2010
2010-01-13 22:00:00,1A10,1100-1199,CAPITOL,Theft,bus stop,1,22,13,Wednesday,Jan,2010
2010-01-14 09:00:00,1A10,800-899,SAN JACINTO,Theft,commercial parking lot/garage,1,9,14,Thursday,Jan,2010
2010-01-14 12:00:00,1A10,1300-1399,MAIN,Theft,commercial parking lot/garage,1,12,14,Thursday,Jan,2010
2010-01-14 13:00:00,1A10,1100-1199,MAIN,Theft,department/discount store,1,13,14,Thursday,Jan,2010
2010-01-14 18:00:00,1A10,1600-1699,LAMAR,Theft,hotel/motel parking lot,1,18,14,Thursday,Jan,2010
2010-01-15 00:00:00,1A10,1200-1299,TRAVIS,Theft,other/unknown,1,0,15,Friday,Jan,2010
2010-01-15 00:00:00,1A10,1200-1299,TRAVIS,Theft,other/unknown,1,0,15,Friday,Jan,2010
2010-01-15 08:00:00,1A10,1100-1199,TRAVIS,Theft,other parking lot,1,8,15,Friday,Jan,2010
