,Hour,OffenseType_Aggravated Assault,OffenseType_Auto Theft,OffenseType_Burglary,OffenseType_Murder,OffenseType_Rape,OffenseType_Robbery,OffenseType_Theft,game
2010-01-01,0,0,0,0,0,0,0,1,No Game
2010-01-01,19,0,0,0,0,0,0,1,No Game
2010-01-01,20,0,0,0,0,0,0,1,No Game
2010-01-02,1,0,0,0,0,0,0,1,No Game
2010-01-03,4,0,0,0,0,0,0,1,No Game
2010-01-03,18,0,0,0,0,0,0,1,No Game
2010-01-04,8,0,0,1,0,0,0,0,No Game
2010-01-05,13,0,0,0,0,0,0,1,No Game
2010-01-05,18,0,0,1,0,0,0,0,No Game
2010-01-06,0,0,0,0,0,0,0,1,No Game
2010-01-07,21,0,0,0,0,0,0,1,No Game
2010-01-08,8,0,0,0,0,0,0,1,No Game
2010-01-08,16,0,0,0,0,0,0,1,No Game
2010-01-08,23,0,0,0,0,0,0,1,No Game
2010-01-08,23,0,0,0,0,0,0,1,No Game
2010-01-09,0,0,0,1,0,0,0,0,No Game
2010-01-09,1,0,0,0,0,0,0,1,No Game
2010-01-11,18,0,1,0,0,0,0,0,No Game
2010-01-11,20,0,0,0,0,0,0,1,No Game
2010-01-11,23,0,0,0,0,0,0,1,No Game
2010-01-12,12,0,0,1,0,0,0,0,No Game
2010-01-13,14,0,0,0,0,0,0,1,No Game
2010-01-13,22,0,0,0,0,0,1,0,No Game
2010-01-15,14,0,0,0,0,0,0,1,No Game
2010-01-16,20,0,0,0,0,0,0,1,No Game
2010-01-16,21,0,0,1,0,0,0,0,No Game
2010-01-17,12,0,0,0,0,0,0,1,No Game
2010-01-20,1,0,1,0,0,0,0,0,No Game
2010-01-22,19,0,1,0,0,0,0,0,No Game
2010-01-22,23,0,0,0,0,0,0,1,No Game
2010-01-23,0,0,0,0,0,0,0,1,No Game
2010-01-23,23,0,0,0,0,0,0,1,No Game
2010-01-24,3,0,0,0,0,0,0,1,No Game
2010-01-24,21,1,0,0,0,0,0,0,No Game
2010-01-24,21,1,0,0,0,0,0,0,No Game
2010-01-24,23,0,0,0,0,0,0,1,No Game
2010-01-26,17,0,0,0,0,0,0,1,No Game
2010-01-26,19,0,0,0,0,0,0,1,No Game
2010-01-28,17,0,0,0,0,0,0,1,No Game
