Date,School,Pts,home_away,Opponent,Opp,beat
2010-09-04,Rice,17,home,Texas,34,10H80
2010-09-18,Rice,13,home,Northwestern,30,10H80
2010-09-25,Rice,13,home,Baylor,30,10H80
2010-10-02,Rice,31,home,SMU,42,10H80
2010-10-16,Rice,34,home,Houston,31,10H80
2010-11-20,Rice,62,home,East Carolina,38,10H80
2010-11-27,Rice,28,home,UAB,23,10H80
2011-09-10,Rice,24,home,Purdue,22,10H80
2011-10-08,Rice,28,home,Memphis,6,10H80
2011-10-22,Rice,20,home,Tulsa,38,10H80
2011-11-05,Rice,41,home,UTEP,37,10H80
2011-11-19,Rice,19,home,Tulane,7,10H80
2012-08-30,Rice,24,home,UCLA,49,10H80
2012-09-22,Rice,51,home,Marshall,54,10H80
2012-10-13,Rice,34,home,UTSA,14,10H80
2012-10-27,Rice,44,home,Southern Mississippi,17,10H80
2012-11-17,Rice,36,home,SMU,20,10H80
2013-09-14,Rice,23,home,Kansas,14,10H80
2013-09-28,Rice,18,home,Florida Atlantic,14,10H80
2013-10-26,Rice,45,home,UTEP,7,10H80
2013-11-16,Rice,52,home,Louisiana Tech,14,10H80
2013-11-30,Rice,17,home,Tulane,13,10H80
2013-12-07,Rice,41,home,Marshall,24,10H80
2014-09-20,Rice,42,home,Old Dominion,45,10H80
2014-10-04,Rice,28,home,Hawaii,14,10H80
2014-10-25,Rice,41,home,North Texas,21,10H80
2014-11-08,Rice,17,home,UTSA,7,10H80
2014-11-21,Rice,31,home,UTEP,13,10H80
2015-09-05,Rice,56,home,Wagner,16,10H80
2015-10-03,Rice,10,home,Western Kentucky,49,10H80
2015-10-24,Rice,38,home,Army,31,10H80
2015-10-30,Rice,17,home,Louisiana Tech,42,10H80
2015-11-14,Rice,10,home,Southern Mississippi,65,10H80
2015-11-28,Rice,27,home,Charlotte,7,10H80
2016-09-16,Rice,10,home,Baylor,38,10H80
2016-09-24,Rice,35,home,North Texas,42,10H80
2016-10-15,Rice,13,home,UTSA,14,10H80
2016-10-22,Rice,65,home,Prairie View A&M,44,10H80
2016-11-05,Rice,25,home,Florida Atlantic,42,10H80
2016-11-19,Rice,44,home,UTEP,24,10H80
2017-09-23,Rice,7,home,Florida International,13,10H80
2017-10-07,Rice,12,home,Army,49,10H80
2017-10-28,Rice,28,home,Louisiana Tech,42,10H80
2017-11-11,Rice,34,home,Southern Mississippi,43,10H80
2017-11-25,Rice,14,home,North Texas,30,10H80
