,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat,lon,add,dist_stadium,game
2010-01-01,10H60,Burglary,apartment,1.0,0.0,1.0,Friday,Jan,2010.0,29.719597600000004,-95.373216,"2550 Southmore Blvd, Houston, TX 77004, USA",1.4548525943330144,No Game
2010-01-01,10H60,Theft,apartment,1.0,0.0,1.0,Friday,Jan,2010.0,29.7093567,-95.3624209,"3550 S MacGregor Way, Houston, TX 77021, USA",1.1775702080559687,No Game
2010-01-01,10H60,Robbery,bank/saving institution parking lot,1.0,4.0,1.0,Friday,Jan,2010.0,29.7203483,-95.3548611,"4050 Canfield St, Houston, TX 77004, USA",0.35954394459861194,No Game
2010-01-01,10H60,Theft,apartment,1.0,6.0,1.0,Friday,Jan,2010.0,29.7604267,-95.3698028,"Houston, TX, USA",2.926478286215752,No Game
2010-01-01,10H60,Theft,apartment,1.0,14.0,1.0,Friday,Jan,2010.0,29.716282,-95.3755484,"5550 Live Oak St, Houston, TX 77004, USA",1.6333408143861226,No Game
2010-01-01,10H60,Burglary,residence/house,1.0,17.0,1.0,Friday,Jan,2010.0,29.705757,-95.372899,"3250 Tampa St, Houston, TX 77021, USA",1.8108164463177672,No Game
2010-01-01,10H50,Theft,residence/house,1.0,9.0,1.0,Friday,Jan,2010.0,29.731311,-95.3641144,"3450 Nagle St, Houston, TX 77004, USA",1.1062252009674047,No Game
2010-01-01,10H50,Burglary,"vacant single occupancy residence (houses,townhouses,duplexes, etc.)",1.0,12.0,1.0,Friday,Jan,2010.0,29.728306,-95.3659775,"2650 Truxillo St, Houston, TX 77004, USA",1.101530763832383,No Game
2010-01-01,10H50,Burglary,"vacant single occupancy residence (houses,townhouses,duplexes, etc.)",1.0,12.0,1.0,Friday,Jan,2010.0,29.7294834,-95.3507063,"3450 Rosalie St, Houston, TX 77004, USA",0.5274770851645534,No Game
2010-01-01,10H50,Theft,residence/house,1.0,12.0,1.0,Friday,Jan,2010.0,29.728306,-95.3659775,"2650 Truxillo St, Houston, TX 77004, USA",1.101530763832383,No Game
2010-01-01,10H50,Theft,residence/house,1.0,12.0,1.0,Friday,Jan,2010.0,29.7294834,-95.3507063,"3450 Rosalie St, Houston, TX 77004, USA",0.5274770851645534,No Game
2010-01-01,10H50,Aggravated Assault,road/street/sidewalk,1.0,18.0,1.0,Friday,Jan,2010.0,29.731593100000005,-95.3599416,"3150 Ennis St, Houston, TX 77004, USA",0.9280467041908721,No Game
2010-01-01,10H50,Aggravated Assault,"multi-plex hme(duplex,triplex etc)",1.0,21.0,1.0,Friday,Jan,2010.0,29.7294834,-95.3507063,"3450 Rosalie St, Houston, TX 77004, USA",0.5274770851645534,No Game
2010-01-02,10H60,Burglary,apartment,1.0,10.0,2.0,Saturday,Jan,2010.0,29.7112187,-95.3428105,"4450 S MacGregor Way, Houston, TX 77021, USA",0.8317349300983171,No Game
2010-01-02,10H60,Theft,road/street/sidewalk,1.0,19.0,2.0,Saturday,Jan,2010.0,29.726318,-95.3692003,"4350 Live Oak St, Houston, TX 77004, USA",1.241489539416956,No Game
2010-01-02,10H60,Burglary,residence/house,1.0,22.0,2.0,Saturday,Jan,2010.0,29.713787300000003,-95.3523956,"3850 Rosedale St, Houston, TX 77004, USA",0.5944022741825029,No Game
2010-01-03,10H60,Aggravated Assault,road/street/sidewalk,1.0,1.0,3.0,Sunday,Jan,2010.0,29.7034937,-95.3740062,"6550 Bowling Green St, Houston, TX 77021, USA",1.9609761127244931,No Game
2010-01-03,10H60,Theft,other parking lot,1.0,20.0,3.0,Sunday,Jan,2010.0,29.716059100000006,-95.36724759999998,"3150 Southmore Blvd, Houston, TX 77004, USA",1.1601542132116665,No Game
2010-01-03,10H50,Aggravated Assault,apartment,1.0,7.0,3.0,Sunday,Jan,2010.0,29.7255173,-95.3591491,"3850 Burkett St, Houston, TX 77004, USA",0.6486245929900516,No Game
2010-01-04,10H50,Auto Theft,apartment parking lot,1.0,6.0,4.0,Monday,Jan,2010.0,29.7259891,-95.3589106,"3750 Burkett St, Houston, TX 77004, USA",0.6486605785513939,No Game
2010-01-04,10H50,Theft,road/street/sidewalk,1.0,10.0,4.0,Monday,Jan,2010.0,29.7282934,-95.34809109999999,"3150 Milby St, Houston, TX 77004, USA",0.4420890171260801,No Game
2010-01-04,10H50,Burglary,residence/house,1.0,13.0,4.0,Monday,Jan,2010.0,29.725475,-95.3532487,"3550 Holman St, Houston, TX 77004, USA",0.345492523893787,No Game
2010-01-04,10H50,Aggravated Assault,road/street/sidewalk,1.0,17.0,4.0,Monday,Jan,2010.0,29.7365266,-95.3598641,"2650 McGowen St, Houston, TX 77004, USA",1.1926375607423976,No Game
2010-01-04,10H50,Aggravated Assault,road/street/sidewalk,1.0,17.0,4.0,Monday,Jan,2010.0,29.7289291,-95.3542729,"3350 Elgin St, Houston, TX 77004, USA",0.5706983059124774,No Game
2010-01-04,10H50,Theft,convenience store,1.0,17.0,4.0,Monday,Jan,2010.0,29.7365266,-95.3598641,"2650 McGowen St, Houston, TX 77004, USA",1.1926375607423976,No Game
2010-01-04,10H50,Theft,convenience store,1.0,17.0,4.0,Monday,Jan,2010.0,29.7289291,-95.3542729,"3350 Elgin St, Houston, TX 77004, USA",0.5706983059124774,No Game
2010-01-04,10H50,Theft,driveway,1.0,18.0,4.0,Monday,Jan,2010.0,29.728226300000006,-95.34477249999999,"3950 Anita St, Houston, TX 77004, USA",0.5069855764960368,No Game
2010-01-05,10H60,Burglary,residence/house,1.0,9.0,5.0,Tuesday,Jan,2010.0,29.7204113,-95.3742675,"2450 Southmore Blvd, Houston, TX 77004, USA",1.5127473204408992,No Game
