Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
1,Friday Apr 6,boxscore,HOU,,COL,L,3,5,,0-1,3,1.5,Guthrie,Rodriguez,Betancourt,3:11,N,43464,-,
2,Saturday Apr 7,boxscore,HOU,,COL,W,7,3,,1-1,2,0.5,Harrell,Moyer,,2:31,N,23962,+,
3,Sunday Apr 8,boxscore,HOU,,COL,W,3,2,,2-1,2,0.5,Lopez,Brothers,Myers,2:45,D,14195,++,
4,Monday Apr 9,boxscore,HOU,,ATL,W,8,3,,3-1,2,0.5,Happ,Beachy,,2:46,N,17095,+++,
5,Tuesday Apr 10,boxscore,HOU,,ATL,L,4,6,,3-2,2,1.5,Hanson,Weiland,Kimbrel,3:12,N,22036,-,
6,Wednesday Apr 11,boxscore,HOU,,ATL,L,3,6,,3-3,3,1.5,Delgado,Rodriguez,Kimbrel,3:21,N,18225,--,
7,Friday Apr 13,boxscore,HOU,@,MIA,L-wo,4,5,11,3-4,3,1.5,Webb,Lyon,,3:45,N,30169,---,
8,Saturday Apr 14,boxscore,HOU,@,MIA,W,5,4,,4-4,2,1.5,Cruz,Bell,Myers,2:48,N,31659,+,
9,Sunday Apr 15,boxscore,HOU,@,MIA,L-wo,4,5,11,4-5,2,2.5,Gaudin,Carpenter,,4:07,D,34232,-,
10,Monday Apr 16,boxscore,HOU,@,WSN,L,3,6,,4-6,2,3.0,Strasburg,Weiland,Rodriguez,3:03,N,16245,--,
11,Tuesday Apr 17,boxscore,HOU,@,WSN,L,0,1,,4-7,3,4.0,Gonzalez,Rodriguez,Lidge,2:12,N,17886,---,
12,Wednesday Apr 18,boxscore,HOU,@,WSN,L,2,3,,4-8,4,5.0,Mattheus,Rodriguez,Rodriguez,2:41,N,14520,----,
13,Thursday Apr 19,boxscore,HOU,@,WSN,W,11,4,,5-8,4,4.0,Norris,Jackson,,3:07,N,18045,+,
14,Friday Apr 20,boxscore,HOU,,LAD,L,1,3,,5-9,5,5.0,Lilly,Happ,Guerra,3:04,N,30270,-,
15,Saturday Apr 21,boxscore,HOU,,LAD,L,1,5,,5-10,5,5.0,Kershaw,Weiland,,3:02,N,25562,--,
16,Sunday Apr 22,boxscore,HOU,,LAD,W,12,0,,6-10,5,5.0,Rodriguez,Billingsley,,2:54,D,23948,+,
17,Monday Apr 23,boxscore,HOU,@,MIL,L,5,6,,6-11,5,5.0,Greinke,Harrell,Axford,3:13,N,36291,-,
18,Tuesday Apr 24,boxscore,HOU,@,MIL,L,6,9,,6-12,5,5.0,Wolf,Norris,Axford,3:15,N,38686,--,
19,Wednesday Apr 25,boxscore,HOU,@,MIL,W,7,5,,7-12,5,5.0,Lopez,Veras,Myers,3:27,D,26778,+,
20,Friday Apr 27,boxscore,HOU,@,CIN,W,6,4,,8-12,5,5.0,Rodriguez,Leake,Myers,3:12,N,29486,++,
21,Saturday Apr 28,boxscore,HOU,@,CIN,L,0,6,,8-13,5,6.0,Cueto,Harrell,,2:23,D,32971,-,
22,Sunday Apr 29,boxscore,HOU,@,CIN,L,5,6,,8-14,5,6.0,Ondrusek,Rodriguez,Marshall,3:02,D,31086,--,
23,Monday Apr 30,boxscore,HOU,,NYM,W,4,3,,9-14,5,5.5,Rodriguez,Acosta,Myers,2:53,N,17536,+,
24,Tuesday May 1,boxscore,HOU,,NYM,W,6,3,,10-14,5,5.5,Happ,Niese,Myers,2:44,N,17958,++,
25,Wednesday May 2,boxscore,HOU,,NYM,W,8,1,,11-14,3,5.5,Rodriguez,Schwinden,,2:34,D,19442,+++,
26,Friday May 4,boxscore,HOU,,STL,W,5,4,,12-14,3,4.0,Harrell,Lohse,Myers,2:59,N,27201,++++,
27,Saturday May 5,boxscore,HOU,,STL,W,8,2,,13-14,3,3.0,Norris,Garcia,,2:40,N,23633,+++++,
28,Sunday May 6,boxscore,HOU,,STL,L,1,8,,13-15,3,4.0,Wainwright,Happ,,2:47,D,22288,-,
29,Monday May 7,boxscore,HOU,,MIA,L,0,4,,13-16,3,5.0,Zambrano,Rodriguez,,2:09,N,16531,--,
30,Tuesday May 8,boxscore,HOU,,MIA,W,3,2,,14-16,3,5.0,Lopez,Webb,Myers,2:22,N,14801,+,
31,Wednesday May 9,boxscore,HOU,,MIA,L,3,5,12,14-17,4,6.0,Webb,Carpenter,,4:10,N,16072,-,
32,Friday May 11,boxscore,HOU,@,PIT,W,1,0,,15-17,3,5.0,Norris,McDonald,Myers,2:41,N,19878,+,
33,Saturday May 12,boxscore,HOU,@,PIT,L,2,5,,15-18,3,5.0,Morton,Happ,Cruz,2:59,N,34187,-,
34,Sunday May 13,boxscore,HOU,@,PIT,L-wo,2,3,12,15-19,4,5.0,Watson,Rodriguez,,3:32,D,27517,--,
35,Monday May 14,boxscore,HOU,@,PHI,L,1,5,,15-20,4,5.0,Blanton,Harrell,,2:38,N,43824,---,
36,Tuesday May 15,boxscore,HOU,@,PHI,L-wo,3,4,10,15-21,5,6.0,Diekman,Myers,,3:05,D,43781,----,
37,Wednesday May 16,boxscore,HOU,,MIL,W,8,3,,16-21,4,6.0,Norris,Wolf,,2:44,N,15453,+,
38,Thursday May 17,boxscore,HOU,,MIL,W,4,0,,17-21,4,5.0,Happ,Marcum,,2:59,N,15173,++,
39,Friday May 18,boxscore,HOU,,TEX,L,1,4,,17-22,4,5.0,Ross,Rodriguez,Nathan,3:07,N,34715,-,
40,Saturday May 19,boxscore,HOU,,TEX,W,6,5,,18-22,4,4.0,Harrell,Holland,Myers,2:58,N,42673,+,
41,Sunday May 20,boxscore,HOU,,TEX,L,1,6,,18-23,4,4.0,Lewis,Lyles,,2:52,D,35873,-,
42,Monday May 21,boxscore,HOU,,CHC,W,8,4,,19-23,4,4.0,Norris,Garza,,3:05,N,16895,+,
43,Tuesday May 22,boxscore,HOU,,CHC,W,2,1,,20-23,3,4.0,Happ,Wood,Myers,2:47,N,20091,++,
44,Wednesday May 23,boxscore,HOU,,CHC,W,5,1,,21-23,3,4.0,Rodriguez,Samardzija,,2:57,N,18732,+++,
45,Friday May 25,boxscore,HOU,@,LAD,W,3,1,,22-23,3,3.0,Harrell,Kershaw,Myers,3:02,N,36283,++++,
46,Saturday May 26,boxscore,HOU,@,LAD,L-wo,3,6,,22-24,3,4.0,Jansen,Wright,,3:50,N,36561,-,
47,Sunday May 27,boxscore,HOU,@,LAD,L,1,5,,22-25,4,5.0,Capuano,Happ,,3:05,D,33306,--,
48,Monday May 28 (1),boxscore,HOU,@,COL,L,7,9,,22-26,4,5.5,Belisle,Rodriguez,Betancourt,3:06,D,34546,---,
49,Monday May 28 (2),boxscore,HOU,@,COL,L-wo,6,7,10,22-27,4,5.5,Roenicke,Myers,,3:34,N,35786,----,
50,Wednesday May 30,boxscore,HOU,@,COL,L,5,13,,22-28,4,6.0,Friedrich,Harrell,,3:07,N,28102,-----,
51,Thursday May 31,boxscore,HOU,@,COL,L,5,11,,22-29,5,6.5,Guthrie,Norris,,2:59,N,31799,------,
52,Friday Jun 1,boxscore,HOU,,CIN,L,1,4,,22-30,5,7.5,Leake,Happ,Chapman,2:26,N,21464,-------,
53,Saturday Jun 2,boxscore,HOU,,CIN,L,9,12,,22-31,5,8.5,LeCure,Rodriguez,Chapman,3:47,N,22991,--------,
54,Sunday Jun 3,boxscore,HOU,,CIN,W,5,3,,23-31,5,7.5,Lyles,Arroyo,Myers,2:58,D,19914,+,
55,Tuesday Jun 5,boxscore,HOU,,STL,W,9,8,,24-31,4,6.5,Harrell,Garcia,Myers,3:09,N,18911,++,
56,Wednesday Jun 6,boxscore,HOU,,STL,L,3,4,,24-32,5,7.5,Wainwright,Norris,Motte,3:21,N,18517,-,
57,Thursday Jun 7,boxscore,HOU,,STL,L,2,14,,24-33,5,7.5,Lynn,Happ,,3:45,N,22265,--,
58,Friday Jun 8,boxscore,HOU,@,CHW,W,8,3,,25-33,5,7.5,Rodriguez,Floyd,,3:09,N,22452,+,
59,Saturday Jun 9,boxscore,HOU,@,CHW,L,1,10,,25-34,5,7.5,Sale,Lyles,,2:44,D,22880,-,
60,Sunday Jun 10,boxscore,HOU,@,CHW,W,11,9,,26-34,5,6.5,Harrell,Humber,Myers,3:01,D,20398,+,
61,Tuesday Jun 12,boxscore,HOU,@,SFG,L,3,6,,26-35,5,7.5,Bumgarner,Norris,Casilla,3:12,N,42100,-,
62,Wednesday Jun 13,boxscore,HOU,@,SFG,L,0,10,,26-36,5,8.5,Cain,Happ,,2:36,N,42298,--,
63,Thursday Jun 14,boxscore,HOU,@,SFG,W,6,3,,27-36,5,8.5,Rodriguez,Zito,Myers,2:31,D,41662,+,
64,Friday Jun 15,boxscore,HOU,@,TEX,L,2,6,,27-37,5,9.5,Darvish,Lyles,,3:03,N,47430,-,
65,Saturday Jun 16,boxscore,HOU,@,TEX,L,3,8,,27-38,5,10.5,Grimm,Harrell,,2:59,N,48288,--,
66,Sunday Jun 17,boxscore,HOU,@,TEX,L,3,9,,27-39,5,11.5,Lewis,Rodriguez,,3:23,D,46320,---,
