G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,"Sat, Apr 18, 2009",7:30p ET,,Box Score,@,Portland Trail Blazers,W,,108,81,1,0,W 1,
2,"Tue, Apr 21, 2009",7:00p ET,,Box Score,@,Portland Trail Blazers,L,,103,107,1,1,L 1,
3,"Fri, Apr 24, 2009",8:30p ET,,Box Score,,Portland Trail Blazers,W,,86,83,2,1,W 1,
4,"Sun, Apr 26, 2009",8:00p ET,,Box Score,,Portland Trail Blazers,W,,89,88,3,1,W 2,
5,"Tue, Apr 28, 2009",7:00p ET,,Box Score,@,Portland Trail Blazers,L,,77,88,3,2,L 1,
6,"Thu, Apr 30, 2009",8:30p ET,,Box Score,,Portland Trail Blazers,W,,92,76,4,2,W 1,
7,"Mon, May 4, 2009",7:30p ET,,Box Score,@,Los Angeles Lakers,W,,100,92,5,2,W 2,
8,"Wed, May 6, 2009",7:30p ET,,Box Score,@,Los Angeles Lakers,L,,98,111,5,3,L 1,
9,"Fri, May 8, 2009",8:30p ET,,Box Score,,Los Angeles Lakers,L,,94,108,5,4,L 2,
10,"Sun, May 10, 2009",2:30p ET,,Box Score,,Los Angeles Lakers,W,,99,87,6,4,W 1,
11,"Tue, May 12, 2009",7:30p ET,,Box Score,@,Los Angeles Lakers,L,,78,118,6,5,L 1,
12,"Thu, May 14, 2009",8:30p ET,,Box Score,,Los Angeles Lakers,W,,95,80,7,5,W 1,
13,"Sun, May 17, 2009",12:30p ET,,Box Score,@,Los Angeles Lakers,L,,70,89,7,6,L 1,
