G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,"Wed, Oct 28, 2015",8:00p ET,,Box Score,,Denver Nuggets,L,,85,105,0,1,L 1,
2,"Fri, Oct 30, 2015",9:30p ET,,Box Score,,Golden State Warriors,L,,92,112,0,2,L 2,
3,"Sun, Nov 1, 2015",6:00p ET,,Box Score,@,Miami Heat,L,,89,109,0,3,L 3,
4,"Mon, Nov 2, 2015",8:00p ET,,Box Score,,Oklahoma City Thunder,W,,110,105,1,3,W 1,
5,"Wed, Nov 4, 2015",8:00p ET,,Box Score,,Orlando Magic,W,OT,119,114,2,3,W 2,
6,"Fri, Nov 6, 2015",10:30p ET,,Box Score,@,Sacramento Kings,W,,116,110,3,3,W 3,
7,"Sat, Nov 7, 2015",10:30p ET,,Box Score,@,Los Angeles Clippers,W,,109,105,4,3,W 4,
8,"Wed, Nov 11, 2015",8:00p ET,,Box Score,,Brooklyn Nets,L,,98,106,4,4,L 1,
9,"Fri, Nov 13, 2015",9:00p ET,,Box Score,@,Denver Nuggets,L,,98,107,4,5,L 2,
10,"Sat, Nov 14, 2015",8:00p ET,,Box Score,,Dallas Mavericks,L,,98,110,4,6,L 3,
11,"Mon, Nov 16, 2015",8:00p ET,,Box Score,,Boston Celtics,L,,95,111,4,7,L 4,
12,"Wed, Nov 18, 2015",8:00p ET,,Box Score,,Portland Trail Blazers,W,OT,108,103,5,7,W 1,
13,"Fri, Nov 20, 2015",8:00p ET,,Box Score,@,Memphis Grizzlies,L,,84,96,5,8,L 1,
14,"Sat, Nov 21, 2015",8:00p ET,,Box Score,,New York Knicks,L,,102,107,5,9,L 2,
15,"Wed, Nov 25, 2015",8:00p ET,,Box Score,,Memphis Grizzlies,L,,93,102,5,10,L 3,
16,"Fri, Nov 27, 2015",8:00p ET,,Box Score,,Philadelphia 76ers,W,,116,114,6,10,W 1,
17,"Sun, Nov 29, 2015",7:30p ET,,Box Score,@,New York Knicks,W,OT,116,111,7,10,W 2,
18,"Mon, Nov 30, 2015",7:30p ET,,Box Score,@,Detroit Pistons,L,,105,116,7,11,L 1,
19,"Wed, Dec 2, 2015",8:00p ET,,Box Score,,New Orleans Pelicans,W,,108,101,8,11,W 1,
20,"Fri, Dec 4, 2015",8:30p ET,,Box Score,@,Dallas Mavericks,W,,100,96,9,11,W 2,
21,"Sat, Dec 5, 2015",8:00p ET,,Box Score,,Sacramento Kings,W,,120,113,10,11,W 3,
22,"Tue, Dec 8, 2015",7:30p ET,,Box Score,@,Brooklyn Nets,L,,105,110,10,12,L 1,
23,"Wed, Dec 9, 2015",7:00p ET,,Box Score,@,Washington Wizards,W,,109,103,11,12,W 1,
