YEAR,DATE,OPPONENT,RESULT/TIME,RECORD/TICKETS
2011,"Sat, Sept 10",vsPV A&M, L37-34, 0-1 
2011,"Sat, Sept 17",vsTexas College ,W49-6 ,1-1 (0-1)
2011,"Sat, Sept 24",vsAlcorn State,W14-7,2-1 (1-1)
2011,"Thu, Sept 29",@Jackson State,L58-13,2-2 (1-2)
2011,"Sat, Oct 8",vsAlabama State,L43-29,2-3 (1-3)
2011,"Thu, Oct 13",@Alabama A&M,L24-21,2-4 (1-4)
2011,"Sat, Oct 22",vsCentral St,W42-11,3-4 (1-4)
2011,"Sat, Oct 29",@Miss Valley St,L12-9,3-5 (1-5)
2011,"Sat, Nov 5",vsSouthern,W29-15,4-5 (2-5)
2011,"Sat, Nov 12",@Grambling,L29-25,4-6 (2-6)
2011,"Sat, Nov 19",@AR-Pine Bluff,L42-6,4-7 (2-7)
2010,"Sun, Sept 5",vsPV A&M*,L16-14,0-1 (0-1)
2010,"Sat, Sept 11",@UConn,L62-3,0-2 (0-1)
2010,"Sat, Sept 18",vsAlabama A&M,W32-9,1-2 (1-1)
2010,"Sat, Sept 25",vsTuskegee*,L21-14,1-3 (1-1)
2010,"Sat, Oct 2",@Alabama State,W21-7,2-3 (2-1)
2010,"Sat, Oct 9",@Alcorn State,W30-20,3-3 (3-1)
2010,"Sat, Oct 23",vsJackson State,W21-18,4-3 (4-1)
2010,"Sat, Oct 30",vsMiss Valley St,W38-7,5-3 (5-1)
2010,"Sat, Nov 6",@Southern,W54-7,6-3 (6-1)
2010,"Thu, Nov 11",vsGrambling,W41-34 OT,7-3 (7-1)
2010,"Sat, Nov 20",vsAR-Pine Bluff,W20-13,8-3 (8-1)
2010,"Sat, Dec 11",vsAlabama State*,W11-6,9-3 (8-1)
2009,"Sat, Sept 5",@PV A&M,L17-7,0-1 (0-1)
2009,"Sat, Sept 12",@UL Monroe,L58-0,0-2 (0-1)
2009,"Sat, Sept 19",vsTexas College,W75-6,1-2 (0-1)
2009,"Sat, Sept 26",@Texas State,L52-18,1-3 (0-1)
2009,"Sat, Oct 10",@Rutgers,L42-0,1-4 (0-1)
2009,"Sat, Oct 17",@Jackson State,W19-17,2-4 (1-1)
2009,"Sat, Oct 31",vsAlcorn State,W51-21,3-4 (2-1)
2009,"Sat, Nov 7",@Miss Valley St,W30-7,4-4 (3-1)
2009,"Thu, Nov 12",@Grambling,L47-33,4-5 (3-2)
2009,"Sat, Nov 28",vsAR-Pine Bluff* ,W14-10,5-5 (4-2)
2009,"Sat, Dec 5",vsSouthern,W30-25,6-5 (5-2)
2008,"Sat, Aug 30",vsPV A&M*, L34-14,0-1 (0-1)
2008,"Sat, Sept 6",@Arkansas State,L83-10,0-2 (0-1)
2008,"Sat, Sept 13",@Shaw,W40-29,1-2 (0-1)
2008,"Sat, Sept 20",@Texas College,W28-13,2-2 (0-1)
2008,"Sat, Sept 27",vsConcordia Col.,W45-27,3-2 (0-1)
2008,"Sat, Oct 4",@Texas State,L63-39,3-3 (0-1)
2008,"Sat, Oct 11",@Southern,L45-14,3-4 (0-2)
2008,"Sat, Oct 18",vsJackson State,L30-14 ,3-5 (0-3)
2008,"Sat, Oct 25",@Alcorn State,W30-29 ,4-5 (1-3)
2008,"Sat, Nov 8",vsMiss Valley St,L58-44 ,4-6 (1-4)
2008,"Thu, Nov 20",vsGrambling*,L33-7 ,4-7 (1-5)
2008,"Sat, Nov 29",@AR-Pine Bluff,L28-7 ,4-8 (1-6)
