Date_Hour,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year
2010-01-01 01:00:00,10H40,2400-2499,SAN JACINTO,Theft,bar/night club,1,1,1,Friday,Jan,2010
2010-01-01 03:00:00,10H40,1400-1499,ALABAMA,Theft,other parking lot,1,3,1,Friday,Jan,2010
2010-01-01 05:00:00,10H40,2400-2499,SAN JACINTO,Theft,bar/night club,1,5,1,Friday,Jan,2010
2010-01-02 00:00:00,10H40,1200-1299,ANITA,Theft,road/street/sidewalk,1,0,2,Saturday,Jan,2010
2010-01-02 17:00:00,10H40,4200-4299,MAIN,Theft,other parking lot,1,17,2,Saturday,Jan,2010
2010-01-03 00:00:00,10H40,2600-2699,AUSTIN,Auto Theft,road/street/sidewalk,1,0,3,Sunday,Jan,2010
2010-01-03 00:00:00,10H40,1400-1499,DENNIS,Theft,road/street/sidewalk,1,0,3,Sunday,Jan,2010
2010-01-03 00:00:00,10H40,2300-2399,CAROLINE,Theft,road/street/sidewalk,1,0,3,Sunday,Jan,2010
2010-01-03 02:00:00,10H40,2600-2699,FANNIN,Auto Theft,road/street/sidewalk,1,2,3,Sunday,Jan,2010
2010-01-03 03:00:00,10H40,2100-2199,CHENEVERT,Theft,restaurant/cafeteria parking lot,1,3,3,Sunday,Jan,2010
2010-01-03 03:00:00,10H40,1700-1799,HADLEY,Theft,road/street/sidewalk,1,3,3,Sunday,Jan,2010
2010-01-05 11:00:00,10H40,3400-3499,FANNIN,Theft,commercial building,1,11,5,Tuesday,Jan,2010
2010-01-05 12:00:00,10H40,4200-4299,SAN JACINTO,Theft,grocery/supermarket,1,12,5,Tuesday,Jan,2010
2010-01-05 14:00:00,10H40,2300-2399,AUSTIN,Auto Theft,road/street/sidewalk,1,14,5,Tuesday,Jan,2010
2010-01-05 14:00:00,10H40,1000-1099,ALABAMA,Aggravated Assault,convenience store,1,14,5,Tuesday,Jan,2010
2010-01-05 15:00:00,10H40,1300-1399,MCGOWEN,Theft,other/unknown,1,15,5,Tuesday,Jan,2010
2010-01-05 15:00:00,10H40,4400-4499,SAN JACINTO,Aggravated Assault,grocery/supermarket,1,15,5,Tuesday,Jan,2010
2010-01-05 20:00:00,10H40,3500-3599,TRAVIS,Theft,other parking lot,1,20,5,Tuesday,Jan,2010
2010-01-06 06:00:00,10H40,1000-1099,ALABAMA,Theft,convenience store,1,6,6,Wednesday,Jan,2010
2010-01-07 00:00:00,10H40,200-299,MAIN,Theft,hotel/motel/etc.,1,0,7,Thursday,Jan,2010
2010-01-07 07:00:00,10H40,1500-1599,ANITA,Burglary,condominium,1,7,7,Thursday,Jan,2010
2010-01-07 15:00:00,10H40,2300-2399,MAIN,Theft,commercial or training school,1,15,7,Thursday,Jan,2010
2010-01-07 16:00:00,10H40,1700-1799,GRAY,Theft,"vacant other residential (apartment,inn,dorms,boarding house)",1,16,7,Thursday,Jan,2010
2010-01-08 07:00:00,10H40,1000-1099,MCILHENNY,Theft,road/street/sidewalk,1,7,8,Friday,Jan,2010
2010-01-08 07:00:00,10H40,3500-3599,JACKSON,Theft,driveway,1,7,8,Friday,Jan,2010
2010-01-08 11:00:00,10H40,2100-2199,FANNIN,Theft,office building,1,11,8,Friday,Jan,2010
2010-01-08 14:00:00,10H40,3800-3899,SOUTHWEST FREEWAY TRAVIS,Theft,restaurant/cafeteria parking lot,1,14,8,Friday,Jan,2010
2010-01-08 18:00:00,10H40,1300-1399,ROSALIE,Theft,residence/house,1,18,8,Friday,Jan,2010
2010-01-08 19:00:00,10H40,4200-4299,SAN JACINTO,Theft,grocery/supermarket,1,19,8,Friday,Jan,2010
2010-01-09 00:00:00,10H40,1000-1099,WEBSTER,Theft,road/street/sidewalk,1,0,9,Saturday,Jan,2010
2010-01-10 05:00:00,10H40,2100-2199,CRAWFORD,Theft,church/synagogue/temple,1,5,10,Sunday,Jan,2010
2010-01-10 16:00:00,10H40,1000-1099,ELGIN,Theft,drug store/medical supply,1,16,10,Sunday,Jan,2010
2010-01-10 20:00:00,10H40,4200-4299,SAN JACINTO,Aggravated Assault,road/street/sidewalk,1,20,10,Sunday,Jan,2010
2010-01-11 11:00:00,10H40,4200-4299,SAN JACINTO,Theft,grocery/supermarket,1,11,11,Monday,Jan,2010
2010-01-11 14:00:00,10H40,4200-4299,MAIN,Rape,road/street/sidewalk,1,14,11,Monday,Jan,2010
2010-01-11 19:00:00,10H40,1500-1599,GRAY,Theft,strip business center parking lot,1,19,11,Monday,Jan,2010
2010-01-12 18:00:00,10H40,1700-1799,GRAY,Theft,church/synagogue/temple,1,18,12,Tuesday,Jan,2010
2010-01-13 10:00:00,10H40,1500-1599,HOLMAN,Aggravated Assault,road/street/sidewalk,1,10,13,Wednesday,Jan,2010
2010-01-13 16:00:00,10H40,1900-1999,ALABAMA,Theft,other parking lot,1,16,13,Wednesday,Jan,2010
2010-01-13 18:00:00,10H40,700-799,ELGIN,Theft,"gym,recreat,club hse,indr pool,spa",1,18,13,Wednesday,Jan,2010
2010-01-13 21:00:00,10H40,1800-1899,ALABAMA,Theft,driveway,1,21,13,Wednesday,Jan,2010
2010-01-14 01:00:00,10H40,2400-2499,SAN JACINTO,Theft,commercial building,1,1,14,Thursday,Jan,2010
2010-01-14 22:00:00,10H40,2700-2799,MILAM,Aggravated Assault,bar/night club,2,22,14,Thursday,Jan,2010
2010-01-15 08:00:00,10H40,3700-3799,TRAVIS,Theft,restaurant/cafeteria parking lot,1,8,15,Friday,Jan,2010
2010-01-15 12:00:00,10H40,2400-2499,MILAM,Burglary,apartment,1,12,15,Friday,Jan,2010
2010-01-15 19:00:00,10H40,3200-3299,MAIN,Theft,commercial building,1,19,15,Friday,Jan,2010
2010-01-15 22:00:00,10H40,1500-1599,ISABELLA,Auto Theft,road/street/sidewalk,1,22,15,Friday,Jan,2010
2010-01-16 00:00:00,10H40,1300-1399,HADLEY,Theft,bar/night club,1,0,16,Saturday,Jan,2010
2010-01-16 16:00:00,10H40,3700-3799,SOUTHWEST FREEWAY SMITH,Theft,"electronics store, electrical sup.",1,16,16,Saturday,Jan,2010
2010-01-16 17:00:00,10H40,4200-4299,FANNIN,Theft,department/discount store,1,17,16,Saturday,Jan,2010
2010-01-16 23:00:00,10H40,2300-2399,AUSTIN,Theft,road/street/sidewalk,1,23,16,Saturday,Jan,2010
2010-01-17 00:00:00,10H40,2300-2399,AUSTIN,Robbery,road/street/sidewalk,1,0,17,Sunday,Jan,2010
2010-01-17 03:00:00,10H40,2400-2499,CAROLINE,Theft,road/street/sidewalk,1,3,17,Sunday,Jan,2010
2010-01-17 05:00:00,10H40,1100-1199,MCGOWEN,Theft,bus station,1,5,17,Sunday,Jan,2010
2010-01-17 06:00:00,10H40,1000-1099,GRAY,Robbery,road/street/sidewalk,1,6,17,Sunday,Jan,2010
2010-01-17 13:00:00,10H40,1700-1799,ALABAMA,Burglary,commercial building,1,13,17,Sunday,Jan,2010
2010-01-18 11:00:00,10H40,4200-4299,MAIN,Theft,department/discount store,1,11,18,Monday,Jan,2010
2010-01-18 14:00:00,10H40,4300-4399,GARROTT,Murder,road/street/sidewalk,1,14,18,Monday,Jan,2010
2010-01-18 17:00:00,10H40,1100-1199,FRANCIS,Auto Theft,road/street/sidewalk,1,17,18,Monday,Jan,2010
2010-01-19 04:00:00,10H40,1800-1899,MCGOWEN,Robbery,road/street/sidewalk,1,4,19,Tuesday,Jan,2010
2010-01-19 10:00:00,10H40,1600-1699,GRAY,Theft,road/street/sidewalk,1,10,19,Tuesday,Jan,2010
2010-01-19 11:00:00,10H40,1600-1699,HOLMAN,Aggravated Assault,condominium,1,11,19,Tuesday,Jan,2010
2010-01-19 20:00:00,10H40,1700-1799,DENNIS,Theft,driveway,1,20,19,Tuesday,Jan,2010
