Date_Hour,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat_lon,full_address
2010-01-03 16:00:00,10H80,Theft,"gym,recreat,club hse,indr pool,spa",1,16,3,Sunday,Jan,2010,"(29.781236, -95.3678655)","2450 South St, Houston, TX 77009, USA"
2010-01-03 17:00:00,10H80,Burglary,"garden supply, nursery, florist",1,17,3,Sunday,Jan,2010,"(29.7193942, -95.4151567)","5150 Morningside Dr, Houston, TX 77005, USA"
2010-01-03 22:00:00,10H80,Theft,driveway,1,22,3,Sunday,Jan,2010,"(29.7289452, -95.4056083)","1850 Milford St, Houston, TX 77098, USA"
2010-01-03 22:00:00,10H80,Theft,driveway,1,22,3,Sunday,Jan,2010,"(29.7303426, -95.406391)","1950 Vassar St, Houston, TX 77098, USA"
2010-01-03 22:00:00,10H80,Theft,driveway,1,22,3,Sunday,Jan,2010,"(29.7289452, -95.4056083)","1850 Milford St, Houston, TX 77098, USA"
2010-01-03 22:00:00,10H80,Theft,driveway,1,22,3,Sunday,Jan,2010,"(29.7303426, -95.406391)","1950 Vassar St, Houston, TX 77098, USA"
2010-01-04 17:00:00,10H80,Theft,clothing store,1,17,4,Monday,Jan,2010,"(29.725768, -95.41684599999999)","2450 Bissonnet St, Houston, TX 77005, USA"
2010-01-04 18:00:00,10H80,Theft,garage/carport,1,18,4,Monday,Jan,2010,"(29.7089181, -95.4146595)","2350 Wordsworth St, Houston, TX 77030, USA"
2010-01-05 13:00:00,10H80,Theft,driveway,1,13,5,Tuesday,Jan,2010,"(29.7306172, -95.3872494)","850 Rosedale St, Houston, TX 77006, USA"
2010-01-05 15:00:00,10H80,Theft,condominium,1,15,5,Tuesday,Jan,2010,"(29.7209982, -95.41804189999999)","2550 Robinhood St, Houston, TX 77005, USA"
2010-01-05 20:00:00,10H80,Burglary,garage/carport,1,20,5,Tuesday,Jan,2010,"(29.7128435, -95.41472949999999)","2350 Swift Blvd, Houston, TX 77030, USA"
2010-01-06 00:00:00,10H80,Theft,other/unknown,1,0,6,Wednesday,Jan,2010,"(29.7072895, -95.41463999999999)","2350 Sheridan St, Houston, TX 77030, USA"
2010-01-06 10:00:00,10H80,Theft,strip business center parking lot,1,10,6,Wednesday,Jan,2010,"(29.7168486, -95.41798539999999)","2550 Times Blvd, Houston, TX 77005, USA"
2010-01-06 22:00:00,10H80,Robbery,hotel/motel/etc.,1,22,6,Wednesday,Jan,2010,"(29.7071392, -95.4051381)","6950 S Main St, Houston, TX 77030, USA"
