Date_Hour,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,block,address,tup_add
2013-12-15 06:00:00,1.5000000000000001e+41,2100-2199,HOLLY HALL,Theft,apartment parking lot,1,6,15,Sunday,Dec,2013,2150,2150 HOLLY HALL,"((29.6851906, -95.3985319), '2150 Holly Hall St, Houston, TX 77054, USA')"
2013-12-15 09:00:00,1.5000000000000001e+41,2500-2599,HOLLY HALL,Theft,residence/house,1,9,15,Sunday,Dec,2013,2550,2550 HOLLY HALL,"((29.6849626, -95.38957889999999), '2550 Holly Hall St, Houston, TX 77054, USA')"
2013-12-15 18:00:00,1.5000000000000001e+41,7900-7999,KIRBY,Theft,other parking lot,1,18,15,Sunday,Dec,2013,7950,7950 KIRBY,"((29.6931267, -95.4135673), '7950 Kirby Dr, Houston, TX 77054, USA')"
2013-12-16 08:00:00,1.5000000000000001e+41,1600-1699,SOUTH LP W,Theft,service/gas station,1,8,16,Monday,Dec,2013,1650,1650 SOUTH LP W,"((29.6792911, -95.403154), '1650 S Loop W, Houston, TX 77054, USA')"
2013-12-16 08:00:00,1.5000000000000001e+41,2500-2599,BELLFORT,Theft,commercial parking lot/garage,1,8,16,Monday,Dec,2013,2550,2550 BELLFORT,"((29.673111, -95.41780089999999), '2550 W Bellfort Blvd, Houston, TX 77054, USA')"
2013-12-16 13:00:00,1.5000000000000001e+41,7600-7699,FANNIN,Theft,hospital,1,13,16,Monday,Dec,2013,7650,7650 FANNIN,"((29.6922799, -95.4018356), '7650 Fannin St, Houston, TX 77054, USA')"
2013-12-16 23:00:00,1.5000000000000001e+41,2300-2399,SOUTH LP W,Auto Theft,hotel/motel parking lot,1,23,16,Monday,Dec,2013,2350,2350 SOUTH LP W,"((29.6783768, -95.4144804), '2350 S Loop W, Houston, TX 77054, USA')"
2013-12-17 08:00:00,1.5000000000000001e+41,2400-2499,SOUTH LP W,Burglary,apartment,1,8,17,Tuesday,Dec,2013,2450,2450 SOUTH LP W,"((29.6788017, -95.4159768), '2450 S Loop W, Houston, TX 77054, USA')"
2013-12-17 16:00:00,1.5000000000000001e+41,1900-1999,HOLLY HALL,Robbery,road/street/sidewalk,1,16,17,Tuesday,Dec,2013,1950,1950 HOLLY HALL,"((29.6852261, -95.4029135), '1950 Holly Hall St, Houston, TX 77054, USA')"
2013-12-17 20:00:00,1.5000000000000001e+41,9300-9399,MAIN,Theft,service/gas station,1,20,17,Tuesday,Dec,2013,9350,9350 MAIN,"((29.6839264, -95.42336139999999), '9350 S Main St, Houston, TX 77025, USA')"
2013-12-17 22:00:00,1.5000000000000001e+41,2600-2699,SOUTH LP W,Auto Theft,restaurant/cafeteria parking lot,1,22,17,Tuesday,Dec,2013,2650,2650 SOUTH LP W,"((29.67808119999999, -95.41922129999999), '2650 S Loop W, Houston, TX 77054, USA')"
2013-12-18 08:00:00,1.5000000000000001e+41,8200-8299,KIRBY,Robbery,restaurant/cafeteria,1,8,18,Wednesday,Dec,2013,8250,8250 KIRBY,"((29.6911113, -95.4126675), '8250 Kirby Dr, Houston, TX 77054, USA')"
2013-12-18 08:00:00,1.5000000000000001e+41,2800-2899,BARTELL,Auto Theft,apartment parking lot,1,8,18,Wednesday,Dec,2013,2850,2850 BARTELL,"((29.680448, -95.42042839999999), '2850 S Bartell Dr, Houston, TX 77054, USA')"
2013-12-18 16:00:00,1.5000000000000001e+41,8500-8599,ALMEDA,Theft,service/gas station,1,16,18,Wednesday,Dec,2013,8550,8550 ALMEDA,"((29.6813553, -95.39340299999999), '8550 Almeda Rd, Houston, TX 77054, USA')"
2013-12-18 20:00:00,1.5000000000000001e+41,2400-2499,HOLLY HALL,Theft,apartment parking lot,1,20,18,Wednesday,Dec,2013,2450,2450 HOLLY HALL,"((29.685277, -95.3926649), '2450 Holly Hall St, Houston, TX 77054, USA')"
2013-12-18 22:00:00,1.5000000000000001e+41,2100-2199,HOLLY HALL,Theft,apartment parking lot,1,22,18,Wednesday,Dec,2013,2150,2150 HOLLY HALL,"((29.6851906, -95.3985319), '2150 Holly Hall St, Houston, TX 77054, USA')"
2013-12-19 11:00:00,1.5000000000000001e+41,2700-2799,MAGNET,Theft,other/unknown,1,11,19,Thursday,Dec,2013,2750,2750 MAGNET,"((29.6770022, -95.3883345), '2750 Magnet St, Houston, TX 77054, USA')"
2013-12-19 12:00:00,1.5000000000000001e+41,7600-7699,FANNIN,Theft,hospital,1,12,19,Thursday,Dec,2013,7650,7650 FANNIN,"((29.6922799, -95.4018356), '7650 Fannin St, Houston, TX 77054, USA')"
2013-12-19 16:00:00,1.5000000000000001e+41,7900-7999,FANNIN,Theft,commercial building,1,16,19,Thursday,Dec,2013,7950,7950 FANNIN,"((29.6895882, -95.40336339999999), '7950 Fannin St, Houston, TX 77054, USA')"
2013-12-19 17:00:00,1.5000000000000001e+41,8800-8899,INTERCHANGE,Theft,commercial building,1,17,19,Thursday,Dec,2013,8850,8850 INTERCHANGE,"((29.6744249, -95.41474649999999), '8850 Interchange Dr, Houston, TX 77054, USA')"
2013-12-19 18:00:00,1.5000000000000001e+41,1500-1599,OLD SPANISH,Theft,road/street/sidewalk,1,18,19,Thursday,Dec,2013,1550,1550 OLD SPANISH,"((29.6946995, -95.4048095), '1550 Old Spanish Trail, Houston, TX 77054, USA')"
2013-12-19 18:00:00,1.5000000000000001e+41,1000-1099,OLD SPANISH,Theft,restaurant/cafeteria parking lot,1,18,19,Thursday,Dec,2013,1050,1050 OLD SPANISH,"((29.6921817, -95.41480639999999), '1050 Old Spanish Trail, Houston, TX 77054, USA')"
2013-12-19 19:00:00,1.5000000000000001e+41,8800-8899,LAKES AT 610,Theft,apartment parking lot,1,19,19,Thursday,Dec,2013,8850,8850 LAKES AT 610,"((29.676859, -95.4181653), '8850 Lakes at 610 Dr, Houston, TX 77054, USA')"
