,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat,lon,add,dist_stadium,game
2010-01-01,1A10,Auto Theft,bar/night club parking lot,1.0,0.0,1.0,Friday,Jan,2010.0,29.7572118,-95.3532941,"350 Hamilton St, Houston, TX 77002, USA",0.34935990122194854,No Game
2010-01-01,1A10,Theft,bar/night club,1.0,0.0,1.0,Friday,Jan,2010.0,29.753511600000003,-95.36381070000002,"1250 Caroline St, Houston, TX 77002, USA",0.6917281749926582,No Game
2010-01-01,1A10,Burglary,office building,1.0,0.0,1.0,Friday,Jan,2010.0,29.7609537,-95.36208859999999,"450 S Main St, Houston, TX 77002, USA",0.8382028382700564,No Game
2010-01-01,1A10,Theft,other/unknown,1.0,0.0,1.0,Friday,Jan,2010.0,29.7555945,-95.3676767,"1250 Travis St, Houston, TX 77002, USA",0.9474493760851809,No Game
2010-01-01,1A10,Theft,convention center/exhibit halls,1.0,0.0,1.0,Friday,Jan,2010.0,29.7520152,-95.359181,"1050 Avenida De Las Americas, Houston, TX 77010, USA",0.4077520139690961,No Game
2010-01-01,1A10,Burglary,restaurant/cafeteria,1.0,1.0,1.0,Friday,Jan,2010.0,29.753827,-95.3651898,"1250 San Jacinto St, Houston, TX 77002, USA",0.7768145101058841,No Game
2010-01-01,1A10,Theft,bar/night club parking lot,1.0,2.0,1.0,Friday,Jan,2010.0,29.7586824,-95.3638659,"750 S Main St, Houston, TX 77002, USA",0.8211095698849666,No Game
2010-01-01,1A10,Theft,road/street/sidewalk,1.0,2.0,1.0,Friday,Jan,2010.0,29.7594006,-95.3593982,"450 Caroline St, Houston, TX 77002, USA",0.6502896762473972,No Game
2010-01-01,1A10,Auto Theft,auto repair,1.0,6.0,1.0,Friday,Jan,2010.0,29.7555945,-95.3676767,"1250 Travis St, Houston, TX 77002, USA",0.9474493760851809,No Game
2010-01-01,1A10,Theft,bar/night club,1.0,23.0,1.0,Friday,Jan,2010.0,29.7586824,-95.3638659,"750 S Main St, Houston, TX 77002, USA",0.8211095698849666,No Game
2010-01-01,1A10,Burglary,"theatres,dinner theaters,auditor.",1.0,23.0,1.0,Friday,Jan,2010.0,29.7615742,-95.3657007,"650 Texas St, Houston, TX 77002, USA",1.0275602628397278,No Game
2010-01-01,10H10,Burglary,misc. business (non-specific),1.0,0.0,1.0,Friday,Jan,2010.0,29.74371559999999,-95.3327315,"550 Eastwood St, Houston, TX 77011, USA",1.3187242775510497,No Game
2010-01-01,10H10,Rape,residence/house,1.0,6.0,1.0,Friday,Jan,2010.0,29.7550548,-95.3481436,"2350 Sperber Ln, Houston, TX 77003, USA",0.32265447956892446,No Game
2010-01-01,10H10,Burglary,apartment,1.0,17.0,1.0,Friday,Jan,2010.0,29.7628744,-95.3512092,"1950 Runnels St, Houston, TX 77002, USA",0.7387059537368563,No Game
2010-01-01,10H10,Theft,road/street/sidewalk,1.0,20.0,1.0,Friday,Jan,2010.0,29.7628744,-95.3512092,"1950 Runnels St, Houston, TX 77002, USA",0.7387059537368563,No Game
2010-01-01,10H30,Theft,residence/house,1.0,0.0,1.0,Friday,Jan,2010.0,29.7390659,-95.34897509999999,"1750 Sampson St, Houston, TX 77003, USA",0.9277750153721451,No Game
2010-01-01,10H30,Theft,apartment parking lot,1.0,19.0,1.0,Friday,Jan,2010.0,29.7536483,-95.3510778,"550 Bastrop St, Houston, TX 77003, USA",0.12753890588866418,No Game
2010-01-01,10H30,Theft,residence/house,1.0,20.0,1.0,Friday,Jan,2010.0,29.7452984,-95.3593236,"1750 Hutchins St, Houston, TX 77003, USA",0.6317792489995684,No Game
2010-01-02,1A10,Theft,commercial building,1.0,0.0,2.0,Saturday,Jan,2010.0,29.758122,-95.3683099,"1050 Louisiana St, Houston, TX 77002, USA",1.0395580891016332,No Game
2010-01-02,1A10,Theft,bar/night club,1.0,0.0,2.0,Saturday,Jan,2010.0,29.7638588,-95.36135,"150 Travis St, Houston, TX 77002, USA",0.9665315657978255,No Game
2010-01-02,1A10,Theft,other/unknown,1.0,1.0,2.0,Saturday,Jan,2010.0,29.7555945,-95.3676767,"1250 Travis St, Houston, TX 77002, USA",0.9474493760851809,No Game
2010-01-02,1A10,Theft,apartment,1.0,3.0,2.0,Saturday,Jan,2010.0,29.7617268,-95.3614684,"350 S Main St, Houston, TX 77002, USA",0.8530013526503847,No Game
2010-01-02,1A10,Theft,highway/freeway,1.0,14.0,2.0,Saturday,Jan,2010.0,29.7555945,-95.3676767,"1250 Travis St, Houston, TX 77002, USA",0.9474493760851809,No Game
2010-01-02,1A10,Theft,convention center/exhibit halls,1.0,14.0,2.0,Saturday,Jan,2010.0,29.7520152,-95.359181,"1050 Avenida De Las Americas, Houston, TX 77010, USA",0.4077520139690961,No Game
2010-01-02,1A10,Auto Theft,road/street/sidewalk,1.0,14.0,2.0,Saturday,Jan,2010.0,29.753138300000003,-95.3622353,"1450 Dallas St, Houston, TX 77002, USA",0.5946427284008603,No Game
