,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat,lon,full_address,dist_stadium,game
2010-01-01,15E40x,Aggravated Assault,apartment,1.0,23.0,1.0,Friday,Jan,2010.0,29.6823316,-95.4169951,"2550 Westridge St, Houston, TX 77054, USA",0.4055340434637791,No Game
2010-01-01,15E40x,Aggravated Assault,apartment,1.0,23.0,1.0,Friday,Jan,2010.0,29.6845315,-95.4003129,"8350 Knight Rd, Houston, TX 77054, USA",0.6328406843075778,No Game
2010-01-01,15E40x,Theft,convenience store,1.0,23.0,1.0,Friday,Jan,2010.0,29.6823316,-95.4169951,"2550 Westridge St, Houston, TX 77054, USA",0.4055340434637791,No Game
2010-01-01,15E40x,Theft,convenience store,1.0,23.0,1.0,Friday,Jan,2010.0,29.6845315,-95.4003129,"8350 Knight Rd, Houston, TX 77054, USA",0.6328406843075778,No Game
2010-01-02,15E40x,Theft,other/unknown,1.0,0.0,2.0,Saturday,Jan,2010.0,29.6856544,-95.4256395,"3050 Murworth Dr, Houston, TX 77025, USA",0.892807079677978,No Game
2010-01-02,15E40x,Theft,hotel/motel/etc.,1.0,12.0,2.0,Saturday,Jan,2010.0,29.679291100000004,-95.403154,"1650 S Loop W, Houston, TX 77054, USA",0.5943285051269078,No Game
2010-01-03,15E40x,Auto Theft,apartment parking lot,1.0,0.0,3.0,Sunday,Jan,2010.0,29.68490329999999,-95.3970744,"2250 Holly Hall St, Houston, TX 77054, USA",0.8275686830771158,Won Game
2010-01-03,15E40x,Burglary,apartment,1.0,1.0,3.0,Sunday,Jan,2010.0,29.687567699999995,-95.3964961,"8250 Cambridge St, Houston, TX 77054, USA",0.8842404940017518,Won Game
2010-01-03,15E40x,Auto Theft,apartment parking lot,1.0,17.0,3.0,Sunday,Jan,2010.0,29.68943239999999,-95.4192344,"8850 S Main St, Houston, TX 77025, USA",0.6004641895020073,Won Game
2010-01-03,15E40x,Theft,other parking lot,1.0,21.0,3.0,Sunday,Jan,2010.0,29.6663441,-95.3986119,"10750 Almeda Rd, Houston, TX 77045, USA",1.4637708392154807,Won Game
2010-01-03,15E40x,Theft,hotel/motel parking lot,1.0,22.0,3.0,Sunday,Jan,2010.0,29.6783768,-95.4144804,"2350 S Loop W, Houston, TX 77054, USA",0.4890060163205061,Won Game
2010-01-04,15E40x,Robbery,apartment,1.0,9.0,4.0,Monday,Jan,2010.0,29.6826402,-95.4202601,"2650 Westridge St, Houston, TX 77054, USA",0.5848248317100726,No Game
2010-01-04,15E40x,Theft,apartment parking lot,1.0,18.0,4.0,Monday,Jan,2010.0,29.6820484,-95.3872539,"8350 El Mundo St, Houston, TX 77054, USA",1.4300288082143584,No Game
2010-01-05,15E40x,Theft,drug store/medical supply,1.0,10.0,5.0,Tuesday,Jan,2010.0,29.6922457,-95.40187879999999,"7750 Fannin St, Houston, TX 77054, USA",0.7473508771398538,No Game
2010-01-05,15E40x,Auto Theft,other parking lot,1.0,12.0,5.0,Tuesday,Jan,2010.0,29.67808119999999,-95.4192213,"2650 S Loop W, Houston, TX 77054, USA",0.6809873874104293,No Game
2010-01-05,15E40x,Burglary,apartment,1.0,18.0,5.0,Tuesday,Jan,2010.0,29.6694014,-95.4201861,"9150 Lakes at 610 Dr, Houston, TX 77054, USA",1.1958277615639732,No Game
2010-01-05,15E40x,Burglary,factory/manufacturing/industrial,1.0,19.0,5.0,Tuesday,Jan,2010.0,29.67080109999999,-95.3940997,"2350 Holmes Rd, Houston, TX 77051, USA",1.390072131165481,No Game
2010-01-06,15E40x,Theft,commercial parking lot/garage,1.0,9.0,6.0,Wednesday,Jan,2010.0,29.6919222,-95.4167746,"8250 Braesmain Dr, Houston, TX 77025, USA",0.6112535284678793,No Game
2010-01-06,15E40x,Theft,apartment parking lot,1.0,11.0,6.0,Wednesday,Jan,2010.0,29.687567699999995,-95.3964961,"8250 Cambridge St, Houston, TX 77054, USA",0.8842404940017518,No Game
2010-01-06,15E40x,Theft,office building,1.0,12.0,6.0,Wednesday,Jan,2010.0,29.674078,-95.3848604,"2850 Holmes Rd, Houston, TX 77051, USA",1.7256154577530745,No Game
2010-01-06,15E40x,Theft,apartment,1.0,13.0,6.0,Wednesday,Jan,2010.0,29.683528000000006,-95.39602,"8450 Cambridge St, Houston, TX 77054, USA",0.8946823661119043,No Game
2010-01-06,15E40x,Theft,apartment laundry,1.0,17.0,6.0,Wednesday,Jan,2010.0,29.687567699999995,-95.3964961,"8250 Cambridge St, Houston, TX 77054, USA",0.8842404940017518,No Game
2010-01-06,15E40x,Burglary,residence/house,1.0,19.0,6.0,Wednesday,Jan,2010.0,29.6821078,-95.3960597,"2250 Naomi St, Houston, TX 77054, USA",0.9065742487090737,No Game
2010-01-07,15E40x,Theft,hotel/motel parking lot,1.0,6.0,7.0,Thursday,Jan,2010.0,29.6899253,-95.4143501,"8150 Kirby Dr, Houston, TX 77054, USA",0.4161537803516811,No Game
2010-01-07,15E40x,Burglary,apartment,1.0,11.0,7.0,Thursday,Jan,2010.0,29.6974303,-95.4049427,"7750 Greenbriar Dr, Houston, TX 77030, USA",0.9442750508272854,No Game
2010-01-07,15E40x,Auto Theft,commercial parking lot/garage,1.0,16.0,7.0,Thursday,Jan,2010.0,29.6733752,-95.3997759,"8950 Knight Rd, Houston, TX 77045, USA",1.0261934257818734,No Game
2010-01-08,15E40x,Theft,strip business center parking lot,1.0,9.0,8.0,Friday,Jan,2010.0,29.6927966,-95.4082459,"8050 N Stadium Dr, Houston, TX 77054, USA",0.5775098155852604,No Game
2010-01-08,15E40x,Theft,"electronics store, electrical sup.",1.0,13.0,8.0,Friday,Jan,2010.0,29.695383000000003,-95.4142729,"7850 S Main St, Houston, TX 77030, USA",0.7628852332918156,No Game
2010-01-08,15E40x,Theft,garage/carport,1.0,18.0,8.0,Friday,Jan,2010.0,29.679291100000004,-95.403154,"1650 S Loop W, Houston, TX 77054, USA",0.5943285051269078,No Game
2010-01-08,15E40x,Robbery,department/discount store,1.0,20.0,8.0,Friday,Jan,2010.0,29.6834862,-95.4243652,"9450 S Main St, Houston, TX 77025, USA",0.8183029236642225,No Game
2010-01-08,15E40x,Robbery,department/discount store,1.0,20.0,8.0,Friday,Jan,2010.0,29.6952081,-95.39316180000002,"7550 Cambridge St, Houston, TX 77054, USA",1.284932959261379,No Game
2010-01-08,15E40x,Auto Theft,other/unknown,1.0,20.0,8.0,Friday,Jan,2010.0,29.6834862,-95.4243652,"9450 S Main St, Houston, TX 77025, USA",0.8183029236642225,No Game
2010-01-08,15E40x,Auto Theft,other/unknown,1.0,20.0,8.0,Friday,Jan,2010.0,29.6952081,-95.39316180000002,"7550 Cambridge St, Houston, TX 77054, USA",1.284932959261379,No Game
2010-01-08,15E40x,Aggravated Assault,apartment,1.0,23.0,8.0,Friday,Jan,2010.0,29.6826402,-95.4202601,"2650 Westridge St, Houston, TX 77054, USA",0.5848248317100726,No Game
2010-01-09,15E40x,Theft,nursing home,1.0,8.0,9.0,Saturday,Jan,2010.0,29.6846066,-95.4008471,"2050 Holly Hall St, Houston, TX 77054, USA",0.6006289175336859,No Game
2010-01-09,15E40x,Theft,hotel/motel parking lot,1.0,17.0,9.0,Saturday,Jan,2010.0,29.6899253,-95.4143501,"8150 Kirby Dr, Houston, TX 77054, USA",0.4161537803516811,No Game
2010-01-09,15E40x,Theft,other parking lot,1.0,18.0,9.0,Saturday,Jan,2010.0,29.68949839999999,-95.4136259,"8450 Kirby Dr, Houston, TX 77054, USA",0.36938391941079624,No Game
2010-01-09,15E40x,Auto Theft,apartment/rental office,1.0,19.0,9.0,Saturday,Jan,2010.0,29.6931889,-95.4110869,"1350 Old Spanish Trail, Houston, TX 77054, USA",0.583376805081283,No Game
2010-01-09,15E40x,Theft,other/unknown,1.0,21.0,9.0,Saturday,Jan,2010.0,29.68949839999999,-95.4136259,"8450 Kirby Dr, Houston, TX 77054, USA",0.36938391941079624,No Game
2010-01-10,15E40x,Theft,restaurant/cafeteria,1.0,3.0,10.0,Sunday,Jan,2010.0,29.6839264,-95.4233614,"9350 S Main St, Houston, TX 77025, USA",0.7554810247162898,No Game
2010-01-10,15E40x,Robbery,restaurant/cafeteria parking lot,1.0,9.0,10.0,Sunday,Jan,2010.0,29.6778947,-95.4254324,"3050 S Loop W, Houston, TX 77025, USA",0.9960632846231989,No Game
2010-01-10,15E40x,Theft,department/discount store,1.0,10.0,10.0,Sunday,Jan,2010.0,29.690411600000004,-95.4176631,"8550 S Main St, Houston, TX 77025, USA",0.5677170391579041,No Game
2010-01-10,15E40x,Auto Theft,grocery/supermarket parking lot,1.0,12.0,10.0,Sunday,Jan,2010.0,29.690411600000004,-95.4176631,"8550 S Main St, Houston, TX 77025, USA",0.5677170391579041,No Game
2010-01-10,15E40x,Theft,restaurant/cafeteria parking lot,1.0,14.0,10.0,Sunday,Jan,2010.0,29.6781263,-95.4180171,"2550 S Loop W, Houston, TX 77054, USA",0.6269594842347209,No Game
2010-01-10,15E40x,Theft,restaurant/cafeteria parking lot,1.0,14.0,10.0,Sunday,Jan,2010.0,29.6781263,-95.4180171,"2550 S Loop W, Houston, TX 77054, USA",0.6269594842347209,No Game
2010-01-10,15E40x,Theft,restaurant/cafeteria parking lot,1.0,14.0,10.0,Sunday,Jan,2010.0,29.6834472,-95.3844529,"8150 El Mundo St, Houston, TX 77054, USA",1.5890003013360146,No Game
2010-01-10,15E40x,Theft,restaurant/cafeteria parking lot,1.0,14.0,10.0,Sunday,Jan,2010.0,29.6781263,-95.4180171,"2550 S Loop W, Houston, TX 77054, USA",0.6269594842347209,No Game
