,date,team,team_score,home_away,opposing,opp_score,season,beat
3,2015-10-11,Houston,4,HOME,Kansas City,2,plo,1A10
4,2015-10-12,Houston,6,HOME,Kansas City,9,plo,1A10
7,2017-10-06,Houston,8,HOME,Boston,2,plo,1A10
10,2017-10-13,Houston,2,HOME,New York,1,plo,1A10
11,2017-10-14,Houston,2,HOME,New York,1,plo,1A10
15,2017-10-20,Houston,7,HOME,New York,1,plo,1A10
16,2017-10-21,Houston,4,HOME,New York,0,plo,1A10
19,2017-10-27,Houston,5,HOME,Los Angeles,3,plo,1A10
20,2017-10-28,Houston,2,HOME,Los Angeles,6,plo,1A10
21,2017-10-29,Houston,13,HOME,Los Angeles,12,plo,1A10
0,2010-04-05,HOU,2,HOME,SFG,5,reg,1A10
1,2010-04-06,HOU,0,HOME,SFG,3,reg,1A10
2,2010-04-07,HOU,4,HOME,SFG,10,reg,1A10
3,2010-04-09,HOU,0,HOME,PHI,8,reg,1A10
4,2010-04-10,HOU,6,HOME,PHI,9,reg,1A10
5,2010-04-11,HOU,1,HOME,PHI,2,reg,1A10
12,2010-04-20,HOU,7,HOME,FLA,5,reg,1A10
13,2010-04-21,HOU,5,HOME,FLA,4,reg,1A10
14,2010-04-22,HOU,1,HOME,FLA,5,reg,1A10
15,2010-04-23,HOU,4,HOME,PIT,3,reg,1A10
16,2010-04-24,HOU,5,HOME,PIT,2,reg,1A10
17,2010-04-25,HOU,10,HOME,PIT,3,reg,1A10
18,2010-04-27,HOU,2,HOME,CIN,6,reg,1A10
19,2010-04-28,HOU,4,HOME,CIN,6,reg,1A10
20,2010-04-29,HOU,2,HOME,CIN,4,reg,1A10
24,2010-05-03,HOU,1,HOME,ARI,9,reg,1A10
25,2010-05-04,HOU,0,HOME,ARI,1,reg,1A10
26,2010-05-05,HOU,4,HOME,ARI,2,reg,1A10
27,2010-05-06,HOU,3,HOME,ARI,6,reg,1A10
28,2010-05-07,HOU,0,HOME,SDP,7,reg,1A10
29,2010-05-08,HOU,1,HOME,SDP,2,reg,1A10
30,2010-05-09,HOU,4,HOME,SDP,3,reg,1A10
39,2010-05-19,HOU,7,HOME,COL,3,reg,1A10
40,2010-05-20,HOU,0,HOME,COL,4,reg,1A10
41,2010-05-21,HOU,2,HOME,TBR,1,reg,1A10
42,2010-05-22,HOU,2,HOME,TBR,4,reg,1A10
43,2010-05-23,HOU,6,HOME,TBR,10,reg,1A10
50,2010-05-31,HOU,4,HOME,WSN,14,reg,1A10
51,2010-06-01,HOU,8,HOME,WSN,7,reg,1A10
52,2010-06-02,HOU,5,HOME,WSN,1,reg,1A10
53,2010-06-03,HOU,6,HOME,WSN,4,reg,1A10
54,2010-06-04,HOU,3,HOME,CHC,1,reg,1A10
55,2010-06-05,HOU,5,HOME,CHC,8,reg,1A10
56,2010-06-06,HOU,6,HOME,CHC,3,reg,1A10
67,2010-06-18,HOU,3,HOME,TEX,9,reg,1A10
68,2010-06-19,HOU,1,HOME,TEX,5,reg,1A10
69,2010-06-20,HOU,4,HOME,TEX,5,reg,1A10
70,2010-06-22,HOU,1,HOME,SFG,3,reg,1A10
71,2010-06-23,HOU,6,HOME,SFG,3,reg,1A10
72,2010-06-24,HOU,7,HOME,SFG,5,reg,1A10
83,2010-07-06,HOU,6,HOME,PIT,2,reg,1A10
84,2010-07-07,HOU,6,HOME,PIT,3,reg,1A10
85,2010-07-08,HOU,2,HOME,PIT,0,reg,1A10
86,2010-07-09,HOU,0,HOME,STL,8,reg,1A10
87,2010-07-10,HOU,4,HOME,STL,1,reg,1A10
88,2010-07-11,HOU,2,HOME,STL,4,reg,1A10
95,2010-07-23,HOU,4,HOME,CIN,6,reg,1A10
96,2010-07-24,HOU,0,HOME,CIN,7,reg,1A10
97,2010-07-25,HOU,4,HOME,CIN,0,reg,1A10
98,2010-07-26,HOU,2,HOME,CHC,5,reg,1A10
99,2010-07-27,HOU,6,HOME,CHC,1,reg,1A10
100,2010-07-28,HOU,8,HOME,CHC,1,reg,1A10
101,2010-07-30,HOU,5,HOME,MIL,0,reg,1A10
102,2010-07-31,HOU,6,HOME,MIL,0,reg,1A10
103,2010-08-01,HOU,5,HOME,MIL,2,reg,1A10
110,2010-08-09,HOU,10,HOME,ATL,4,reg,1A10
111,2010-08-10,HOU,2,HOME,ATL,4,reg,1A10
112,2010-08-11,HOU,2,HOME,ATL,8,reg,1A10
113,2010-08-13,HOU,4,HOME,PIT,1,reg,1A10
114,2010-08-14,HOU,3,HOME,PIT,2,reg,1A10
115,2010-08-15,HOU,8,HOME,PIT,2,reg,1A10
116,2010-08-16,HOU,1,HOME,NYM,3,reg,1A10
117,2010-08-17,HOU,4,HOME,NYM,3,reg,1A10
118,2010-08-18,HOU,2,HOME,NYM,3,reg,1A10
119,2010-08-19,HOU,3,HOME,NYM,2,reg,1A10
130,2010-08-30,HOU,3,HOME,STL,0,reg,1A10
131,2010-08-31,HOU,3,HOME,STL,0,reg,1A10
132,2010-09-01,HOU,5,HOME,STL,2,reg,1A10
139,2010-09-09,HOU,3,HOME,LAD,2,reg,1A10
140,2010-09-10,HOU,2,HOME,LAD,4,reg,1A10
141,2010-09-11,HOU,3,HOME,LAD,6,reg,1A10
142,2010-09-12,HOU,7,HOME,LAD,4,reg,1A10
143,2010-09-13,HOU,4,HOME,MIL,2,reg,1A10
144,2010-09-14,HOU,3,HOME,MIL,2,reg,1A10
145,2010-09-15,HOU,6,HOME,MIL,8,reg,1A10
146,2010-09-17,HOU,5,HOME,CIN,3,reg,1A10
147,2010-09-18,HOU,1,HOME,CIN,11,reg,1A10
148,2010-09-19,HOU,4,HOME,CIN,3,reg,1A10
159,2010-10-01,HOU,0,HOME,CHC,2,reg,1A10
160,2010-10-02,HOU,3,HOME,CHC,8,reg,1A10
161,2010-10-03,HOU,4,HOME,CHC,0,reg,1A10
168,2011-04-08,HOU,3,HOME,FLA,4,reg,1A10
