,Date,Team,Team_score,Location,Opponent,season,beat
2,2009-10-31,Houston Rockets,111,home,Portland Trail Blazers,reg,1A10
4,2009-11-04,Houston Rockets,102,home,Los Angeles Lakers,reg,1A10
5,2009-11-06,Houston Rockets,105,home,Oklahoma City Thunder,reg,1A10
7,2009-11-11,Houston Rockets,104,home,Memphis Grizzlies,reg,1A10
10,2009-11-17,Houston Rockets,105,home,Phoenix Suns,reg,1A10
13,2009-11-21,Houston Rockets,113,home,Sacramento Kings,reg,1A10
14,2009-11-25,Houston Rockets,99,home,Dallas Mavericks,reg,1A10
15,2009-11-27,Houston Rockets,84,home,San Antonio Spurs,reg,1A10
20,2009-12-09,Houston Rockets,95,home,Cleveland Cavaliers,reg,1A10
23,2009-12-15,Houston Rockets,107,home,Detroit Pistons,reg,1A10
26,2009-12-19,Houston Rockets,95,home,Oklahoma City Thunder,reg,1A10
27,2009-12-22,Houston Rockets,108,home,Los Angeles Clippers,reg,1A10
31,2009-12-29,Houston Rockets,108,home,New Orleans Hornets,reg,1A10
32,2009-12-31,Houston Rockets,97,home,Dallas Mavericks,reg,1A10
36,2010-01-09,Houston Rockets,105,home,New York Knicks,reg,1A10
38,2010-01-13,Houston Rockets,120,home,Minnesota Timberwolves,reg,1A10
39,2010-01-15,Houston Rockets,106,home,Miami Heat,reg,1A10
40,2010-01-18,Houston Rockets,101,home,Milwaukee Bucks,reg,1A10
42,2010-01-23,Houston Rockets,97,home,Chicago Bulls,reg,1A10
43,2010-01-25,Houston Rockets,95,home,Atlanta Hawks,reg,1A10
44,2010-01-27,Houston Rockets,92,home,Denver Nuggets,reg,1A10
45,2010-01-29,Houston Rockets,104,home,Portland Trail Blazers,reg,1A10
46,2010-01-31,Houston Rockets,111,home,Phoenix Suns,reg,1A10
47,2010-02-02,Houston Rockets,119,home,Golden State Warriors,reg,1A10
49,2010-02-06,Houston Rockets,95,home,Philadelphia 76ers,reg,1A10
51,2010-02-16,Houston Rockets,95,home,Utah Jazz,reg,1A10
53,2010-02-20,Houston Rockets,115,home,Indiana Pacers,reg,1A10
