scheduled,home.alias,scoring.home_points,away.alias,scoring.away_points,winner
2000-12-30 17:32:48,MIA,23,IND,17,MIA
2000-12-30 21:05:14,NO,31,STL,28,NO
2000-12-31 17:35:38,BAL,21,DEN,3,BAL
2000-12-31 21:17:49,PHI,21,TB,3,PHI
2001-01-06 00:00:00,OAK,27,MIA,0,OAK
2001-01-06 18:37:24,MIN,34,NO,16,MIN
2001-01-07 17:36:34,TEN,10,BAL,24,BAL
2001-01-07 21:18:16,NYG,20,PHI,10,NYG
2001-01-14 00:00:00,OAK,3,BAL,16,BAL
2001-01-14 17:36:57,NYG,41,MIN,0,NYG
2001-01-28 23:26:02,NYG,7,BAL,34,BAL
2002-01-12 21:38:33,PHI,31,TB,9,PHI
2002-01-13 02:06:00,OAK,38,NYJ,24,OAK
2002-01-13 17:35:59,GB,25,SF,15,GB
2002-01-13 21:05:35,MIA,3,BAL,20,BAL
2002-01-19 21:36:45,CHI,19,PHI,33,PHI
2002-01-20 01:05:38,NE,16,OAK,13,NE
2002-01-20 17:42:12,PIT,27,BAL,10,PIT
2002-01-20 21:16:37,STL,45,GB,17,STL
2002-01-27 17:42:54,PIT,17,NE,24,NE
2002-01-27 21:27:06,STL,29,PHI,24,STL
2002-02-03 23:40:04,NE,20,STL,17,NE
2003-01-04 21:41:17,NYJ,41,IND,0,NYJ
2003-01-05 01:09:01,GB,7,ATL,27,ATL
2003-01-05 18:14:12,PIT,36,CLE,33,PIT
2003-01-05 21:47:11,SF,39,NYG,38,SF
2003-01-11 21:37:23,TEN,34,PIT,31,TEN
2003-01-12 01:21:45,PHI,20,ATL,6,PHI
2003-01-12 18:07:22,TB,31,SF,6,TB
2003-01-12 21:45:24,OAK,30,NYJ,10,OAK
2003-01-19 20:08:15,PHI,10,TB,27,TB
2003-01-20 00:46:26,OAK,41,TEN,24,OAK
2003-01-26 23:26:53,TB,48,OAK,21,TB
2004-01-03 21:38:13,BAL,17,TEN,20,TEN
2004-01-04 01:09:19,CAR,29,DAL,10,CAR
2004-01-04 18:04:57,GB,33,SEA,27,GB
2004-01-04 21:41:51,IND,41,DEN,10,IND
2004-01-10 21:36:07,STL,23,CAR,29,CAR
2004-01-11 01:15:51,NE,17,TEN,14,NE
2004-01-11 18:06:41,KC,31,IND,38,IND
2004-01-11 21:46:37,PHI,20,GB,17,PHI
2004-01-18 20:06:04,NE,24,IND,14,NE
2004-01-18 23:50:32,PHI,3,CAR,14,CAR
2004-02-01 23:28:08,NE,32,CAR,29,NE
2005-01-08 21:37:26,SEA,20,STL,27,STL
2005-01-09 01:14:47,SD,17,NYJ,20,NYJ
2005-01-09 18:07:25,IND,49,DEN,24,IND
2005-01-09 21:40:08,GB,17,MIN,31,MIN
2005-01-15 21:37:06,PIT,20,NYJ,17,PIT
2005-01-16 01:23:45,ATL,47,STL,17,ATL
2005-01-16 18:05:52,PHI,27,MIN,14,PHI
2005-01-16 21:46:32,NE,20,IND,3,NE
2005-01-23 20:08:29,PHI,27,ATL,10,PHI
2005-01-23 23:37:57,PIT,27,NE,41,NE
2005-02-06 23:38:39,PHI,21,NE,24,NE
2006-01-07 21:34:58,TB,10,WAS,17,WAS
2006-01-08 01:08:16,NE,28,JAC,3,NE
2006-01-08 18:05:03,NYG,0,CAR,23,CAR
2006-01-08 21:36:40,CIN,17,PIT,31,PIT
2006-01-14 21:35:22,SEA,20,WAS,10,SEA
2006-01-15 01:16:34,DEN,27,NE,13,DEN
2006-01-15 18:06:36,IND,18,PIT,21,PIT
2006-01-15 21:41:40,CHI,21,CAR,29,CAR
2006-01-22 20:08:15,DEN,17,PIT,34,PIT
2006-01-22 23:47:03,SEA,34,CAR,14,SEA
2006-02-05 23:27:23,PIT,21,SEA,10,PIT
2007-01-06 21:35:51,IND,23,KC,8,IND
2007-01-07 01:08:37,SEA,21,DAL,20,SEA
2007-01-07 18:06:11,NE,37,NYJ,16,NE
2007-01-07 21:41:25,PHI,23,NYG,20,PHI
2007-01-13 21:36:07,BAL,6,IND,15,IND
2007-01-14 01:11:03,NO,27,PHI,24,NO
2007-01-14 18:06:16,CHI,27,SEA,24,CHI
2007-01-14 21:46:31,SD,21,NE,24,NE
2007-01-21 20:06:20,CHI,39,NO,14,CHI
2007-01-21 23:44:04,IND,38,NE,34,IND
2007-02-04 23:27:17,CHI,17,IND,29,IND
2008-01-05 21:35:18,SEA,35,WAS,14,SEA
2008-01-06 01:14:07,PIT,29,JAC,31,JAC
2008-01-06 18:03:50,TB,14,NYG,24,NYG
2008-01-06 21:34:09,SD,17,TEN,6,SD
2008-01-12 21:34:35,GB,42,SEA,20,GB
2008-01-13 01:16:13,NE,31,JAC,20,NE
2008-01-13 18:05:47,IND,24,SD,28,SD
2008-01-13 21:46:53,DAL,17,NYG,21,NYG
2008-01-20 20:05:17,NE,21,SD,12,NE
2008-01-20 23:44:27,GB,20,NYG,23,NYG
2008-02-03 23:30:36,NE,14,NYG,17,NYG
2009-01-03 21:36:30,ARI,30,ATL,24,ARI
2009-01-04 01:09:15,SD,23,IND,17,SD
2009-01-04 18:03:52,MIA,9,BAL,27,BAL
2009-01-04 21:40:55,MIN,14,PHI,26,PHI
2009-01-10 21:33:53,TEN,10,BAL,13,BAL
2009-01-11 01:16:52,CAR,13,ARI,33,ARI
2009-01-11 18:06:27,NYG,11,PHI,23,PHI
2009-01-11 21:45:44,PIT,35,SD,24,PIT
2009-01-18 20:06:47,ARI,32,PHI,25,ARI
2009-01-18 23:43:38,PIT,23,BAL,14,PIT
2009-02-01 23:31:55,ARI,23,PIT,27,PIT
2010-01-09 21:36:41,CIN,14,NYJ,24,NYJ
2010-01-10 01:05:59,DAL,34,PHI,14,DAL
2010-01-10 18:03:58,NE,14,BAL,33,BAL
2010-01-10 21:40:46,ARI,51,GB,45,ARI
2010-01-16 21:34:47,NO,45,ARI,14,NO
2010-01-17 01:15:35,IND,20,BAL,3,IND
2010-01-17 18:06:05,MIN,34,DAL,3,MIN
2010-01-17 21:41:02,SD,14,NYJ,17,NYJ
2010-01-24 20:05:37,IND,30,NYJ,17,IND
2010-01-24 23:45:36,NO,31,MIN,28,NO
2010-02-07 23:31:08,IND,17,NO,31,NO
2011-01-08 21:35:26,SEA,41,NO,36,SEA
2011-01-09 01:15:30,IND,16,NYJ,17,NYJ
2011-01-09 18:05:55,KC,7,BAL,30,BAL
2011-01-09 21:40:54,PHI,16,GB,21,GB
2011-01-15 21:35:45,PIT,31,BAL,24,PIT
2011-01-16 01:15:52,ATL,21,GB,48,GB
2011-01-16 18:05:34,CHI,35,SEA,24,CHI
2011-01-16 21:41:10,NE,21,NYJ,28,NYJ
2011-01-23 20:06:00,CHI,14,GB,21,GB
2011-01-23 23:41:49,PIT,24,NYJ,19,PIT
2011-02-06 23:34:08,GB,31,PIT,25,GB
2012-01-07 21:37:15,HOU,31,CIN,10,HOU
2012-01-08 01:09:19,NO,45,DET,28,NO
2012-01-08 18:06:22,NYG,24,ATL,2,NYG
2012-01-08 21:40:42,DEN,29,PIT,23,DEN
2012-01-14 21:35:36,SF,36,NO,32,SF
2012-01-15 01:16:26,NE,45,DEN,10,NE
2012-01-15 18:05:30,BAL,20,HOU,13,BAL
2012-01-15 21:41:07,GB,20,NYG,37,NYG
2012-01-22 20:06:40,NE,23,BAL,20,NE
2012-01-22 23:41:49,SF,17,NYG,20,NYG
2012-02-05 23:30:31,NE,17,NYG,21,NYG
2013-01-05 21:35:54,HOU,19,CIN,13,HOU
2013-01-06 01:09:30,GB,24,MIN,10,GB
