,attendance,away.alias,away.game_number,away.id,away.name,broadcast.internet,broadcast.network,broadcast.satellite,entry_mode,home.alias,home.game_number,home.id,home.name,id,number,reference,scheduled,scoring.away_points,scoring.home_points,scoring.periods,status,utc_offset,venue.address,venue.capacity,venue.city,venue.country,venue.id,venue.name,venue.roof_type,venue.state,venue.surface,venue.zip,weather
0,73193,IND,1.0,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Indianapolis Colts,,,,INGEST,MIA,1.0,4809ecb0-abd3-451d-9c4a-92a90b83ca06,Miami Dolphins,636b86c5-4cce-4924-844d-8a25c70fd6a1,,,2000-12-30T17:32:48+00:00,17,23,"[{'period_type': 'quarter', 'id': '2f20927b-b9b8-4298-b817-074715e3c21d', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 3}, {'period_type': 'quarter', 'id': '7ac83151-f6e3-4323-9ffa-3621d4c6d58e', 'number': 2, 'sequence': 2, 'home_points': 0, 'away_points': 11}, {'period_type': 'quarter', 'id': '29bda3ed-863c-4ca4-90b0-b6084153e567', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': 'e69e9ff2-d06d-4ba9-9f71-7bb709a8351f', 'number': 4, 'sequence': 4, 'home_points': 10, 'away_points': 3}, {'period_type': 'overtime', 'id': '42f42df4-126f-4de7-9cd2-527c21edba83', 'number': 1, 'sequence': 5, 'home_points': 6, 'away_points': 0}]",closed,-5,2269 Northwest 199th Street,76100,Miami Gardens,USA,50a5c833-1570-4c38-abc7-7914cf87dbde,Hard Rock Stadium,outdoor,FL,turf,33056,"Mostly sunny. Temp: 59 F, Humidity: 58%, Wind: NW 12-18 mph"
1,69638,DEN,1.0,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,Denver Broncos,,,,INGEST,BAL,1.0,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Baltimore Ravens,9e54da5c-efd3-44ed-8220-5748274b3fab,,,2000-12-31T17:35:38+00:00,3,21,"[{'period_type': 'quarter', 'id': '5731df7b-ad10-42ab-b815-331c3d37370e', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 0}, {'period_type': 'quarter', 'id': '0f400e28-0521-443b-ae1c-66c091132fa1', 'number': 2, 'sequence': 2, 'home_points': 14, 'away_points': 3}, {'period_type': 'quarter', 'id': 'de0298b0-183a-4535-a158-7831da27e4d0', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': '3f61f071-7ae9-4b30-aee1-efa2c875c408', 'number': 4, 'sequence': 4, 'home_points': 0, 'away_points': 0}]",closed,-5,1101 Russell Street,71008,Baltimore,USA,d54faae0-0314-484f-8604-9d8dd08e1149,M&T Bank Stadium,outdoor,MD,turf,21230,"Mostly sunny and blustery Temp: 22 F, Humidity: 49%, Wind: NNW 20-25 MPH mph"
2,64900,STL,1.0,39f349de-6463-4803-ad70-f1e0f144f5ed,St. Louis Rams,,,,INGEST,NO,1.0,0d855753-ea21-4953-89f9-0e20aff9eb73,New Orleans Saints,b36d523e-30e5-4bc0-83f5-6ffbb0cd14a3,,,2000-12-30T21:05:14+00:00,28,31,"[{'period_type': 'quarter', 'id': '0ff16215-6b71-4767-89c1-bd13b06a4760', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 7}, {'period_type': 'quarter', 'id': 'b4b1bcf2-9ebd-460e-a9da-d8f14dbd4a33', 'number': 2, 'sequence': 2, 'home_points': 10, 'away_points': 0}, {'period_type': 'quarter', 'id': '07320112-195e-41f1-ad4c-dc3b914d195e', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': '1594da0d-af53-4376-9cbb-1e5c16e7c563', 'number': 4, 'sequence': 4, 'home_points': 14, 'away_points': 21}]",closed,-6,1500 Sugar Bowl Drive,76468,New Orleans,USA,3c85d89a-ec66-4983-acd5-1381d6c8673a,Mercedes-Benz Superdome,dome,LA,artificial,70112,"Temp: 37 F, Humidity: 26%, Wind: NW 10-15 mph"
3,65813,TB,1.0,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,Tampa Bay Buccaneers,,,,INGEST,PHI,1.0,386bdbf9-9eea-4869-bb9a-274b0bc66e80,Philadelphia Eagles,b52f784d-ec46-4878-84b3-dbf0eb8fd016,,,2000-12-31T21:17:49+00:00,3,21,"[{'period_type': 'quarter', 'id': '94390666-e975-4228-9ad4-ad7ca7a0e6ce', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 0}, {'period_type': 'quarter', 'id': 'c2304fa8-cb70-4241-85eb-72c58c894ee2', 'number': 2, 'sequence': 2, 'home_points': 14, 'away_points': 3}, {'period_type': 'quarter', 'id': 'd5375bd1-0235-4716-9025-083b1c7fbb94', 'number': 3, 'sequence': 3, 'home_points': 0, 'away_points': 0}, {'period_type': 'quarter', 'id': '6ed7e008-abc8-4f18-839b-3ca3eab2c7ca', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 0}]",closed,-5,3501 South Broad Street,65352,Philadelphia,,905f3091-107b-4e7d-af70-2e3822c09aee,Veterans Stadium,outdoor,PA,artificial,19148,"Partly cloudy Temp: 34 F, Humidity: 44%, Wind: West 18, gusting to 31 mph"
0,68527,BAL,2.0,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Baltimore Ravens,,,,INGEST,TEN,1.0,d26a1ca5-722d-4274-8f97-c92e49c96315,Tennessee Titans,2d770ead-a55a-42eb-b627-e2a64d84c31e,,,2001-01-07T17:36:34+00:00,24,10,"[{'period_type': 'quarter', 'id': '8991b08f-d79a-4bbd-abd3-990f0543437f', 'number': 1, 'sequence': 1, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': '48e957ef-8c3c-49ff-8488-8b6924fe2865', 'number': 2, 'sequence': 2, 'home_points': 0, 'away_points': 7}, {'period_type': 'quarter', 'id': '7820f89d-2f16-42d4-8346-0c36d54ee552', 'number': 3, 'sequence': 3, 'home_points': 3, 'away_points': 3}, {'period_type': 'quarter', 'id': '72b2e64f-8161-47ae-ad81-8c0e66d526d7', 'number': 4, 'sequence': 4, 'home_points': 0, 'away_points': 14}]",closed,-6,One Titans Way,69143,Nashville,USA,5295c1b7-c85c-49cb-9569-1707c65324e5,Nissan Stadium,outdoor,TN,turf,37213,"Chilly & Increasingly Cloudy Temp: 48 F, Humidity: 42%, Wind: South 6 mph"
1,78765,PHI,2.0,386bdbf9-9eea-4869-bb9a-274b0bc66e80,Philadelphia Eagles,,,,INGEST,NYG,1.0,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,New York Giants,57f36e02-877f-46e8-98e6-a14b3bd39f21,,,2001-01-07T21:18:16+00:00,10,20,"[{'period_type': 'quarter', 'id': 'c361a5eb-2b2b-44b1-ba64-ad859d8e525f', 'number': 1, 'sequence': 1, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': '1750804f-c16e-43ac-85ec-8bb08499bfcc', 'number': 2, 'sequence': 2, 'home_points': 10, 'away_points': 3}, {'period_type': 'quarter', 'id': '82a25cf4-a7e2-439f-856d-701da46733d5', 'number': 3, 'sequence': 3, 'home_points': 0, 'away_points': 0}, {'period_type': 'quarter', 'id': 'f8a48a32-82bb-4937-ae50-bcf01d3ff8d0', 'number': 4, 'sequence': 4, 'home_points': 3, 'away_points': 7}]",closed,-5,50 Route 120,80242,East Rutherford,,41397549-49d0-4e0f-aad3-6c82cf0214a7,Giants Stadium,outdoor,NJ,artificial,07073,"Fair Temp: 39 F, Humidity: 62%, Wind: W 5 mph"
2,61998,MIA,2.0,4809ecb0-abd3-451d-9c4a-92a90b83ca06,Miami Dolphins,,,,INGEST,OAK,1.0,1c1cec48-6352-4556-b789-35304c1a6ae1,Oakland Raiders,90f7902c-2026-4528-9fb5-bce0bb256802,,,2001-01-06T00:00:00+00:00,0,27,"[{'period_type': 'quarter', 'id': '50f1d74b-f159-48ce-ba24-6786234e02ef', 'number': 1, 'sequence': 1, 'home_points': 10, 'away_points': 0}, {'period_type': 'quarter', 'id': '1ab5bea6-f1da-4cda-84e7-f87678fa0286', 'number': 2, 'sequence': 2, 'home_points': 10, 'away_points': 0}, {'period_type': 'quarter', 'id': '564b1ca0-f34d-4501-9520-8298334ab1b8', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': 'c9c725c2-a444-4d0c-bc80-4aee37c063ce', 'number': 4, 'sequence': 4, 'home_points': 0, 'away_points': 0}]",closed,-8,7000 Coliseum Way,53200,Oakland,USA,ba1ad00f-9130-462c-93f9-5612a0015117,Oakland Alameda Coliseum,outdoor,CA,turf,94621,"Mostly clear skies Temp: 58 F, Humidity: 57%, Wind: West 6 mph"
3,63881,NO,2.0,0d855753-ea21-4953-89f9-0e20aff9eb73,New Orleans Saints,,,,INGEST,MIN,1.0,33405046-04ee-4058-a950-d606f8c30852,Minnesota Vikings,ebd43fe6-0dd2-4d73-8421-c889ffd1b097,,,2001-01-06T18:37:24+00:00,16,34,"[{'period_type': 'quarter', 'id': 'fed3dca5-bfb9-413b-92fc-ba37bf628294', 'number': 1, 'sequence': 1, 'home_points': 10, 'away_points': 3}, {'period_type': 'quarter', 'id': 'bb9b92ba-1dab-4148-a064-c06d02c473ed', 'number': 2, 'sequence': 2, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': '61036950-d81b-471e-b407-9fbeb73665b2', 'number': 3, 'sequence': 3, 'home_points': 10, 'away_points': 7}, {'period_type': 'quarter', 'id': '00b71084-3253-4248-b225-037bcf4b1cda', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 6}]",closed,-6,900 South 5th Street,64111,Minneapolis,USA,1fede74c-50a2-4036-a1c0-b4d1e53ca98c,Mall of America Field,dome,MN,artificial,55415,"Temp: 62 F, Wind:   mph"
0,79310,MIN,2.0,33405046-04ee-4058-a950-d606f8c30852,Minnesota Vikings,,,,INGEST,NYG,2.0,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,New York Giants,86113f0c-874f-421b-98db-377b544e960d,,,2001-01-14T17:36:57+00:00,0,41,"[{'period_type': 'quarter', 'id': 'd256f258-4224-4737-aa22-1429b002e8c1', 'number': 1, 'sequence': 1, 'home_points': 14, 'away_points': 0}, {'period_type': 'quarter', 'id': 'c316c663-c4c2-493d-9cc6-e418b2cc4b87', 'number': 2, 'sequence': 2, 'home_points': 20, 'away_points': 0}, {'period_type': 'quarter', 'id': '261db795-4ba7-4aa1-8e52-50f5f1572668', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': '0abc748a-7970-482c-af8b-7bf6df53f86e', 'number': 4, 'sequence': 4, 'home_points': 0, 'away_points': 0}]",closed,-5,50 Route 120,80242,East Rutherford,,41397549-49d0-4e0f-aad3-6c82cf0214a7,Giants Stadium,outdoor,NJ,artificial,07073,"Mostly Cloudy Temp: 35 F, Humidity: 76%, Wind: E 5 mph"
1,62784,BAL,3.0,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Baltimore Ravens,,,,INGEST,OAK,2.0,1c1cec48-6352-4556-b789-35304c1a6ae1,Oakland Raiders,f3ce2ba8-afd7-4028-aea4-c1293ce7469c,,,2001-01-14T00:00:00+00:00,16,3,"[{'period_type': 'quarter', 'id': '8d46bb3e-f787-4be9-bb49-f1131c700da2', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 0}, {'period_type': 'quarter', 'id': '5e1ab000-cc6a-4981-a97a-504b679b909a', 'number': 2, 'sequence': 2, 'home_points': 0, 'away_points': 10}, {'period_type': 'quarter', 'id': '2199b94c-2a08-46f8-9da7-1861eeba35e8', 'number': 3, 'sequence': 3, 'home_points': 3, 'away_points': 3}, {'period_type': 'quarter', 'id': 'c48d4329-43ef-4ab1-917f-0da141e88070', 'number': 4, 'sequence': 4, 'home_points': 0, 'away_points': 3}]",closed,-8,7000 Coliseum Way,53200,Oakland,USA,ba1ad00f-9130-462c-93f9-5612a0015117,Oakland Alameda Coliseum,outdoor,CA,turf,94621,"Partly cloudy skies. Temp: 56 F, Humidity: 60%, Wind: NW 12 mph"
