Date_Hour,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year
2010-01-01 09:00:00,10H50,3400-3499,NAGLE,Theft,residence/house,1,9,1,Friday,Jan,2010
2010-01-01 12:00:00,10H50,2600-2699,TRUXILLO,Burglary,"vacant single occupancy residence (houses,townhouses,duplexes, etc.)",1,12,1,Friday,Jan,2010
2010-01-01 12:00:00,10H50,3400-3499,ROSALIE,Theft,residence/house,1,12,1,Friday,Jan,2010
2010-01-01 18:00:00,10H50,3100-3199,ENNIS,Aggravated Assault,road/street/sidewalk,1,18,1,Friday,Jan,2010
2010-01-01 21:00:00,10H50,3400-3499,ROSALIE,Aggravated Assault,"multi-plex hme(duplex,triplex etc)",1,21,1,Friday,Jan,2010
2010-01-03 07:00:00,10H50,3800-3899,BURKETT,Aggravated Assault,apartment,1,7,3,Sunday,Jan,2010
2010-01-04 06:00:00,10H50,3700-3799,BURKETT,Auto Theft,apartment parking lot,1,6,4,Monday,Jan,2010
2010-01-04 10:00:00,10H50,3100-3199,MILBY,Theft,road/street/sidewalk,1,10,4,Monday,Jan,2010
2010-01-04 13:00:00,10H50,3500-3599,HOLMAN,Burglary,residence/house,1,13,4,Monday,Jan,2010
2010-01-04 17:00:00,10H50,2600-2699,MCGOWEN,Aggravated Assault,road/street/sidewalk,1,17,4,Monday,Jan,2010
2010-01-04 17:00:00,10H50,3300-3399,ELGIN,Theft,convenience store,1,17,4,Monday,Jan,2010
2010-01-04 18:00:00,10H50,3900-3999,ANITA,Theft,driveway,1,18,4,Monday,Jan,2010
2010-01-05 06:00:00,10H50,3300-3399,ALABAMA,Theft,road/street/sidewalk,1,6,5,Tuesday,Jan,2010
2010-01-06 01:00:00,10H50,3500-3599,ELGIN,Robbery,restaurant/cafeteria,1,1,6,Wednesday,Jan,2010
2010-01-06 14:00:00,10H50,3000-3099,HOLMAN,Robbery,road/street/sidewalk,1,14,6,Wednesday,Jan,2010
2010-01-07 01:00:00,10H50,2700-2799,CANFIELD,Murder,road/street/sidewalk,1,1,7,Thursday,Jan,2010
2010-01-07 04:00:00,10H50,3300-3399,ADAIR,Robbery,road/street/sidewalk,1,4,7,Thursday,Jan,2010
2010-01-07 08:00:00,10H50,3300-3399,SAMPSON,Burglary,residence/house,1,8,7,Thursday,Jan,2010
2010-01-07 09:00:00,10H50,2900-2999,ALABAMA,Burglary,residence/house,1,9,7,Thursday,Jan,2010
2010-01-07 15:00:00,10H50,3300-3399,HOLMAN,Aggravated Assault,road/street/sidewalk,1,15,7,Thursday,Jan,2010
2010-01-08 14:00:00,10H50,4800-4899,CALHOUN,Theft,university/college,1,14,8,Friday,Jan,2010
2010-01-08 20:00:00,10H50,3200-3299,ANITA,Theft,driveway,1,20,8,Friday,Jan,2010
2010-01-09 00:00:00,10H50,3500-3599,COBB,Theft,apartment,1,0,9,Saturday,Jan,2010
2010-01-10 00:00:00,10H50,3300-3399,ALABAMA,Theft,other parking lot,1,0,10,Sunday,Jan,2010
2010-01-10 02:00:00,10H50,1200-1299,ST EMANUEL,Robbery,convenience store parking lot,1,2,10,Sunday,Jan,2010
2010-01-10 10:00:00,10H50,3100-3199,MCGOWEN,Auto Theft,road/street/sidewalk,1,10,10,Sunday,Jan,2010
2010-01-11 11:00:00,10H50,3300-3399,FRANCIS,Aggravated Assault,"vacant single occupancy residence (houses,townhouses,duplexes, etc.)",1,11,11,Monday,Jan,2010
2010-01-11 12:00:00,10H50,2400-2499,SAMPSON,Theft,apartment,1,12,11,Monday,Jan,2010
2010-01-11 18:00:00,10H50,3200-3299,ELGIN,Aggravated Assault,residence/house,1,18,11,Monday,Jan,2010
2010-01-11 18:00:00,10H50,3200-3299,ELGIN,Theft,other/unknown,1,18,11,Monday,Jan,2010
2010-01-11 21:00:00,10H50,2300-2399,MCGOWEN,Robbery,convenience store parking lot,1,21,11,Monday,Jan,2010
2010-01-12 09:00:00,10H50,3200-3299,ALABAMA,Burglary,apartment,1,9,12,Tuesday,Jan,2010
2010-01-12 13:00:00,10H50,2200-2299,TRUXILLO,Rape,residence/house,1,13,12,Tuesday,Jan,2010
2010-01-12 16:00:00,10H50,3700-3799,TIERWESTER,Theft,road/street/sidewalk,1,16,12,Tuesday,Jan,2010
2010-01-12 22:00:00,10H50,2800-2899,MCGOWEN,Robbery,road/street/sidewalk,1,22,12,Tuesday,Jan,2010
2010-01-13 04:00:00,10H50,2700-2799,BRAILSFORT,Robbery,residence/house,1,4,13,Wednesday,Jan,2010
2010-01-14 09:00:00,10H50,3000-3099,BEULAH,Burglary,residence/house,1,9,14,Thursday,Jan,2010
2010-01-14 12:00:00,10H50,3800-3899,SCOTT,Theft,bus station,1,12,14,Thursday,Jan,2010
2010-01-14 14:00:00,10H50,3600-3699,ADAIR,Burglary,"vacant single occupancy residence (houses,townhouses,duplexes, etc.)",1,14,14,Thursday,Jan,2010
2010-01-14 22:00:00,10H50,2900-2999,ST EMANUEL,Auto Theft,driveway,1,22,14,Thursday,Jan,2010
2010-01-15 10:00:00,10H50,3300-3399,REEVES,Burglary,residence/house,1,10,15,Friday,Jan,2010
2010-01-15 22:00:00,10H50,2800-2899,LUCINDA,Aggravated Assault,residence/house,1,22,15,Friday,Jan,2010
2010-01-16 16:00:00,10H50,2500-2599,TIERWESTER,Aggravated Assault,road/street/sidewalk,1,16,16,Saturday,Jan,2010
2010-01-16 16:00:00,10H50,3300-3399,ALABAMA,Burglary,apartment,1,16,16,Saturday,Jan,2010
2010-01-16 20:00:00,10H50,2400-2499,ALABAMA,Theft,commercial parking lot/garage,1,20,16,Saturday,Jan,2010
2010-01-16 21:00:00,10H50,2000-2099,TUAM,Theft,road/street/sidewalk,1,21,16,Saturday,Jan,2010
2010-01-17 18:00:00,10H50,2800-2899,MCGOWEN,Murder,convenience store parking lot,1,18,17,Sunday,Jan,2010
2010-01-17 22:00:00,10H50,4800-4899,CALHOUN,Theft,university/college,1,22,17,Sunday,Jan,2010
2010-01-18 02:00:00,10H50,2200-2299,FRANCIS,Theft,garage/carport,1,2,18,Monday,Jan,2010
2010-01-18 12:00:00,10H50,3500-3599,BEULAH,Burglary,residence/house,1,12,18,Monday,Jan,2010
2010-01-18 21:00:00,10H50,2000-2099,DOWLING,Aggravated Assault,other/unknown,1,21,18,Monday,Jan,2010
2010-01-18 21:00:00,10H50,3500-3599,NAGLE,Aggravated Assault,residence/house,2,21,18,Monday,Jan,2010
2010-01-19 07:00:00,10H50,3300-3399,SAMPSON,Burglary,residence/house,1,7,19,Tuesday,Jan,2010
2010-01-19 14:00:00,10H50,3200-3299,TRUXILLO,Burglary,apartment,1,14,19,Tuesday,Jan,2010
2010-01-19 14:00:00,10H50,3400-3499,BASTROP,Aggravated Assault,driveway,1,14,19,Tuesday,Jan,2010
2010-01-19 15:00:00,10H50,3700-3799,SAMPSON,Theft,high school,1,15,19,Tuesday,Jan,2010
2010-01-19 18:00:00,10H50,2900-2999,MCGOWEN,Burglary,apartment,1,18,19,Tuesday,Jan,2010
2010-01-20 00:00:00,10H50,3200-3299,HOLMAN,Rape,field/woods,1,0,20,Wednesday,Jan,2010
2010-01-20 10:00:00,10H50,3100-3199,CLEBURNE,Theft,university/college,1,10,20,Wednesday,Jan,2010
2010-01-20 16:00:00,10H50,3700-3799,TIERWESTER,Robbery,road/street/sidewalk,1,16,20,Wednesday,Jan,2010
2010-01-20 18:00:00,10H50,3700-3799,BURKETT,Robbery,road/street/sidewalk,1,18,20,Wednesday,Jan,2010
2010-01-21 00:00:00,10H50,2200-2299,ISABELLA,Theft,other/unknown,1,0,21,Thursday,Jan,2010
2010-01-21 10:00:00,10H50,3300-3399,NAPOLEON,Burglary,"multi-plex hme(duplex,triplex etc)",1,10,21,Thursday,Jan,2010
2010-01-21 12:00:00,10H50,3700-3799,SAMPSON,Theft,high school,1,12,21,Thursday,Jan,2010
2010-01-21 21:00:00,10H50,3200-3299,TRUXILLO,Robbery,road/street/sidewalk,1,21,21,Thursday,Jan,2010
2010-01-22 07:00:00,10H50,2500-2599,SAMPSON,Burglary,hotel/motel/etc.,1,7,22,Friday,Jan,2010
2010-01-22 09:00:00,10H50,3300-3399,HUTCHINS,Burglary,residence/house,1,9,22,Friday,Jan,2010
2010-01-23 00:00:00,10H50,3000-3099,NAGLE,Burglary,residence/house,1,0,23,Saturday,Jan,2010
2010-01-23 00:00:00,10H50,3300-3399,ALABAMA,Aggravated Assault,apartment,1,0,23,Saturday,Jan,2010
2010-01-23 04:00:00,10H50,3700-3799,DELANO,Theft,residence/house,1,4,23,Saturday,Jan,2010
2010-01-23 15:00:00,10H50,3200-3299,NETTLETON,Aggravated Assault,residence/house,1,15,23,Saturday,Jan,2010
2010-01-23 17:00:00,10H50,3000-3099,NAGLE,Burglary,residence/house,1,17,23,Saturday,Jan,2010
2010-01-23 22:00:00,10H50,3200-3299,TRUXILLO,Burglary,apartment,1,22,23,Saturday,Jan,2010
2010-01-26 14:00:00,10H50,2100-2199,ELGIN,Burglary,residence/house,1,14,26,Tuesday,Jan,2010
2010-01-27 03:00:00,10H50,3300-3399,BREMOND,Robbery,alley,1,3,27,Wednesday,Jan,2010
2010-01-27 07:00:00,10H50,2400-2499,TIERWESTER,Burglary,convenience store,1,7,27,Wednesday,Jan,2010
2010-01-27 11:00:00,10H50,3300-3399,SAMPSON,Burglary,residence/house,1,11,27,Wednesday,Jan,2010
2010-01-27 16:00:00,10H50,2800-2899,WINBERN,Burglary,apartment,1,16,27,Wednesday,Jan,2010
2010-01-27 18:00:00,10H50,2000-2099,CHARTRES,Aggravated Assault,road/street/sidewalk,1,18,27,Wednesday,Jan,2010
2010-01-27 23:00:00,10H50,2800-2899,CALLIE,Robbery,residence/house,1,23,27,Wednesday,Jan,2010
2010-01-28 01:00:00,10H50,3300-3399,DENNIS,Robbery,road/street/sidewalk,1,1,28,Thursday,Jan,2010
2010-01-28 16:00:00,10H50,1200-1299,DELANO,Theft,residence/house,1,16,28,Thursday,Jan,2010
2010-01-28 19:00:00,10H50,3100-3199,VELASCO,Robbery,road/street/sidewalk,1,19,28,Thursday,Jan,2010
2010-01-29 08:00:00,10H50,3300-3399,FRANCIS,Burglary,residence/house,1,8,29,Friday,Jan,2010
2010-01-31 03:00:00,10H50,2200-2299,SCOTT,Theft,laundry/dry cleaners/washaterias,1,3,31,Sunday,Jan,2010
2010-01-31 07:00:00,10H50,3300-3399,BREMOND,Burglary,residence/house,1,7,31,Sunday,Jan,2010
2010-02-02 13:00:00,10H50,4800-4899,CALHOUN,Aggravated Assault,restaurant/cafeteria parking lot,1,13,2,Tuesday,Feb,2010
2010-02-02 20:00:00,10H50,3400-3499,TUAM,Theft,grocery/supermarket parking lot,1,20,2,Tuesday,Feb,2010
2010-02-03 01:00:00,10H50,3700-3799,TIERWESTER,Auto Theft,driveway,1,1,3,Wednesday,Feb,2010
2010-02-03 10:00:00,10H50,3400-3499,BASTROP,Theft,residence/house,1,10,3,Wednesday,Feb,2010
2010-02-03 16:00:00,10H50,2400-2499,BRILEY,Theft,residence/house,1,16,3,Wednesday,Feb,2010
