,Hour,OffenseType_Aggravated Assault,OffenseType_Auto Theft,OffenseType_Burglary,OffenseType_Murder,OffenseType_Rape,OffenseType_Robbery,OffenseType_Theft,game
2010-01-01,9,0,0,0,0,0,0,1,No Game
2010-01-01,12,0,0,1,0,0,0,0,No Game
2010-01-01,12,0,0,0,0,0,0,1,No Game
2010-01-01,18,1,0,0,0,0,0,0,No Game
2010-01-01,21,1,0,0,0,0,0,0,No Game
2010-01-03,7,1,0,0,0,0,0,0,No Game
2010-01-04,6,0,1,0,0,0,0,0,No Game
2010-01-04,10,0,0,0,0,0,0,1,No Game
2010-01-04,13,0,0,1,0,0,0,0,No Game
2010-01-04,17,1,0,0,0,0,0,0,No Game
2010-01-04,17,0,0,0,0,0,0,1,No Game
2010-01-04,18,0,0,0,0,0,0,1,No Game
2010-01-05,6,0,0,0,0,0,0,1,No Game
2010-01-06,1,0,0,0,0,0,1,0,No Game
2010-01-06,14,0,0,0,0,0,1,0,No Game
2010-01-07,1,0,0,0,1,0,0,0,No Game
2010-01-07,4,0,0,0,0,0,1,0,No Game
2010-01-07,8,0,0,1,0,0,0,0,No Game
2010-01-07,9,0,0,1,0,0,0,0,No Game
2010-01-07,15,1,0,0,0,0,0,0,No Game
2010-01-08,14,0,0,0,0,0,0,1,No Game
2010-01-08,20,0,0,0,0,0,0,1,No Game
2010-01-09,0,0,0,0,0,0,0,1,No Game
2010-01-10,0,0,0,0,0,0,0,1,No Game
2010-01-10,2,0,0,0,0,0,1,0,No Game
2010-01-10,10,0,1,0,0,0,0,0,No Game
2010-01-11,11,1,0,0,0,0,0,0,No Game
2010-01-11,12,0,0,0,0,0,0,1,No Game
2010-01-11,18,1,0,0,0,0,0,0,No Game
2010-01-11,18,0,0,0,0,0,0,1,No Game
2010-01-11,21,0,0,0,0,0,1,0,No Game
2010-01-12,9,0,0,1,0,0,0,0,No Game
2010-01-12,13,0,0,0,0,1,0,0,No Game
2010-01-12,16,0,0,0,0,0,0,1,No Game
2010-01-12,22,0,0,0,0,0,1,0,No Game
2010-01-13,4,0,0,0,0,0,1,0,No Game
2010-01-14,9,0,0,1,0,0,0,0,No Game
2010-01-14,12,0,0,0,0,0,0,1,No Game
2010-01-14,14,0,0,1,0,0,0,0,No Game
2010-01-14,22,0,1,0,0,0,0,0,No Game
2010-01-15,10,0,0,1,0,0,0,0,No Game
2010-01-15,22,1,0,0,0,0,0,0,No Game
2010-01-16,16,1,0,0,0,0,0,0,No Game
2010-01-16,16,0,0,1,0,0,0,0,No Game
2010-01-16,20,0,0,0,0,0,0,1,No Game
2010-01-16,21,0,0,0,0,0,0,1,No Game
2010-01-17,18,0,0,0,1,0,0,0,No Game
2010-01-17,22,0,0,0,0,0,0,1,No Game
2010-01-18,2,0,0,0,0,0,0,1,No Game
2010-01-18,12,0,0,1,0,0,0,0,No Game
2010-01-18,21,1,0,0,0,0,0,0,No Game
2010-01-18,21,1,0,0,0,0,0,0,No Game
2010-01-19,7,0,0,1,0,0,0,0,No Game
2010-01-19,14,0,0,1,0,0,0,0,No Game
2010-01-19,14,1,0,0,0,0,0,0,No Game
2010-01-19,15,0,0,0,0,0,0,1,No Game
2010-01-19,18,0,0,1,0,0,0,0,No Game
2010-01-20,0,0,0,0,0,1,0,0,No Game
2010-01-20,10,0,0,0,0,0,0,1,No Game
2010-01-20,16,0,0,0,0,0,1,0,No Game
2010-01-20,18,0,0,0,0,0,1,0,No Game
2010-01-21,0,0,0,0,0,0,0,1,No Game
2010-01-21,10,0,0,1,0,0,0,0,No Game
2010-01-21,12,0,0,0,0,0,0,1,No Game
2010-01-21,21,0,0,0,0,0,1,0,No Game
2010-01-22,7,0,0,1,0,0,0,0,No Game
2010-01-22,9,0,0,1,0,0,0,0,No Game
2010-01-23,0,0,0,1,0,0,0,0,No Game
2010-01-23,0,1,0,0,0,0,0,0,No Game
2010-01-23,4,0,0,0,0,0,0,1,No Game
2010-01-23,15,1,0,0,0,0,0,0,No Game
2010-01-23,17,0,0,1,0,0,0,0,No Game
2010-01-23,22,0,0,1,0,0,0,0,No Game
2010-01-26,14,0,0,1,0,0,0,0,No Game
2010-01-27,3,0,0,0,0,0,1,0,No Game
2010-01-27,7,0,0,1,0,0,0,0,No Game
2010-01-27,11,0,0,1,0,0,0,0,No Game
2010-01-27,16,0,0,1,0,0,0,0,No Game
2010-01-27,18,1,0,0,0,0,0,0,No Game
2010-01-27,23,0,0,0,0,0,1,0,No Game
2010-01-28,1,0,0,0,0,0,1,0,No Game
2010-01-28,16,0,0,0,0,0,0,1,No Game
2010-01-28,19,0,0,0,0,0,1,0,No Game
2010-01-29,8,0,0,1,0,0,0,0,No Game
2010-01-31,3,0,0,0,0,0,0,1,No Game
2010-01-31,7,0,0,1,0,0,0,0,No Game
2010-02-02,13,1,0,0,0,0,0,0,No Game
2010-02-02,20,0,0,0,0,0,0,1,No Game
2010-02-03,1,0,1,0,0,0,0,0,No Game
2010-02-03,10,0,0,0,0,0,0,1,No Game
2010-02-03,16,0,0,0,0,0,0,1,No Game
2010-02-03,19,0,0,0,0,0,0,1,No Game
2010-02-04,7,0,1,0,0,0,0,0,No Game
2010-02-04,10,1,0,0,0,0,0,0,No Game
2010-02-05,0,0,0,0,0,0,0,1,No Game
2010-02-06,17,0,0,0,0,0,0,1,No Game
2010-02-06,17,0,0,0,0,1,0,0,No Game
2010-02-06,21,0,0,0,0,0,0,1,No Game
2010-02-06,23,0,0,0,0,0,0,1,No Game
2010-02-07,0,0,0,0,0,0,1,0,No Game
2010-02-08,8,0,0,1,0,0,0,0,No Game
2010-02-08,22,0,0,0,0,0,0,1,No Game
2010-02-08,22,0,0,0,0,0,0,1,No Game
2010-02-10,16,1,0,0,0,0,0,0,No Game
2010-02-10,17,0,0,0,0,0,0,1,No Game
2010-02-11,2,0,0,0,0,0,0,1,No Game
2010-02-11,11,0,0,0,0,0,0,1,No Game
2010-02-12,17,0,0,1,0,0,0,0,No Game
2010-02-12,20,0,0,0,0,0,0,1,No Game
2010-02-13,14,0,0,0,0,0,0,1,No Game
2010-02-13,15,0,0,0,0,0,0,1,No Game
2010-02-13,16,0,0,1,0,0,0,0,No Game
2010-02-13,18,0,0,1,0,0,0,0,No Game
2010-02-13,18,1,0,0,0,0,0,0,No Game
2010-02-13,21,0,0,0,0,0,0,1,No Game
2010-02-14,2,0,0,1,0,0,0,0,No Game
2010-02-14,20,0,0,0,0,0,1,0,No Game
2010-02-14,21,0,0,0,0,0,0,1,No Game
2010-02-14,23,0,0,0,0,0,1,0,No Game
2010-02-15,11,0,0,0,0,0,0,1,No Game
2010-02-17,1,0,0,0,0,0,0,1,No Game
2010-02-17,9,0,0,1,0,0,0,0,No Game
2010-02-17,14,0,0,0,0,0,0,1,No Game
2010-02-17,16,0,0,0,0,0,0,1,No Game
2010-02-17,18,0,0,0,0,0,1,0,No Game
2010-02-17,19,0,0,1,0,0,0,0,No Game
2010-02-18,14,0,0,1,0,0,0,0,No Game
2010-02-18,14,0,0,0,0,0,0,1,No Game
2010-02-19,0,0,0,0,0,0,0,1,No Game
2010-02-19,11,0,0,0,0,0,0,1,No Game
2010-02-20,0,0,0,1,0,0,0,0,No Game
2010-02-20,9,0,0,1,0,0,0,0,No Game
2010-02-20,13,0,0,0,0,0,0,1,No Game
2010-02-20,15,0,0,1,0,0,0,0,No Game
2010-02-20,18,0,0,0,0,0,0,1,No Game
2010-02-20,20,0,0,0,0,0,0,1,No Game
2010-02-20,23,0,0,0,0,0,1,0,No Game
2010-02-21,3,1,0,0,0,0,0,0,No Game
2010-02-21,7,0,0,1,0,0,0,0,No Game
