date,sum_crimes,weekday,month,mode_hr,game,seasons
2010-01-01,18,Friday,Jan,0,No Game,No game
2010-01-02,13,Saturday,Jan,14,No Game,No game
2010-01-03,12,Sunday,Jan,0,No Game,No game
2010-01-04,9,Monday,Jan,14,No Game,No game
2010-01-05,8,Tuesday,Jan,2,No Game,No game
2010-01-06,8,Wednesday,Jan,0,No Game,No game
2010-01-07,10,Thursday,Jan,17,No Game,No game
2010-01-08,11,Friday,Jan,23,No Game,No game
2010-01-09,15,Saturday,Jan,0,No Game,No game
2010-01-10,11,Sunday,Jan,22,No Game,No game
2010-01-11,10,Monday,Jan,17,No Game,No game
2010-01-12,6,Tuesday,Jan,12,No Game,No game
2010-01-13,10,Wednesday,Jan,22,No Game,No game
2010-01-14,4,Thursday,Jan,9,No Game,No game
2010-01-15,15,Friday,Jan,0,No Game,No game
2010-01-16,9,Saturday,Jan,20,No Game,No game
2010-01-17,9,Sunday,Jan,12,No Game,No game
2010-01-18,11,Monday,Jan,10,No Game,No game
2010-01-19,5,Tuesday,Jan,17,No Game,No game
2010-01-20,6,Wednesday,Jan,1,No Game,No game
2010-01-21,11,Thursday,Jan,14,No Game,No game
2010-01-22,11,Friday,Jan,19,No Game,No game
2010-01-23,12,Saturday,Jan,0,No Game,No game
2010-01-24,13,Sunday,Jan,21,No Game,No game
2010-01-25,9,Monday,Jan,0,No Game,No game
2010-01-26,13,Tuesday,Jan,17,No Game,No game
2010-01-27,10,Wednesday,Jan,18,No Game,No game
2010-01-28,8,Thursday,Jan,0,No Game,No game
2010-01-29,8,Friday,Jan,0,No Game,No game
2010-01-30,9,Saturday,Jan,1,No Game,No game
2010-01-31,10,Sunday,Jan,1,No Game,No game
2010-02-01,4,Monday,Feb,8,No Game,No game
2010-02-02,6,Tuesday,Feb,13,No Game,No game
2010-02-03,14,Wednesday,Feb,17,No Game,No game
2010-02-04,12,Thursday,Feb,18,No Game,No game
2010-02-05,10,Friday,Feb,0,No Game,No game
2010-02-06,11,Saturday,Feb,0,No Game,No game
2010-02-07,16,Sunday,Feb,16,No Game,No game
2010-02-08,5,Monday,Feb,17,No Game,No game
2010-02-09,8,Tuesday,Feb,0,No Game,No game
2010-02-10,5,Wednesday,Feb,8,No Game,No game
2010-02-11,4,Thursday,Feb,19,No Game,No game
2010-02-12,12,Friday,Feb,5,No Game,No game
2010-02-13,13,Saturday,Feb,13,No Game,No game
2010-02-14,13,Sunday,Feb,1,No Game,No game
2010-02-15,14,Monday,Feb,11,No Game,No game
2010-02-16,12,Tuesday,Feb,11,No Game,No game
2010-02-17,6,Wednesday,Feb,1,No Game,No game
2010-02-18,8,Thursday,Feb,0,No Game,No game
2010-02-19,6,Friday,Feb,23,No Game,No game
2010-02-20,9,Saturday,Feb,0,No Game,No game
2010-02-21,14,Sunday,Feb,2,No Game,No game
2010-02-22,16,Monday,Feb,19,No Game,No game
2010-02-23,15,Tuesday,Feb,17,No Game,No game
2010-02-24,8,Wednesday,Feb,9,No Game,No game
2010-02-25,6,Thursday,Feb,0,No Game,No game
2010-02-26,14,Friday,Feb,0,No Game,No game
2010-02-27,9,Saturday,Feb,22,No Game,No game
2010-02-28,10,Sunday,Feb,2,No Game,No game
2010-03-01,13,Monday,Mar,18,No Game,No game
2010-03-02,8,Tuesday,Mar,18,No Game,No game
2010-03-03,13,Wednesday,Mar,0,No Game,No game
2010-03-04,7,Thursday,Mar,11,No Game,No game
2010-03-05,12,Friday,Mar,0,No Game,No game
2010-03-06,12,Saturday,Mar,11,No Game,No game
2010-03-07,12,Sunday,Mar,0,No Game,No game
2010-03-08,11,Monday,Mar,10,No Game,No game
2010-03-09,10,Tuesday,Mar,13,No Game,No game
2010-03-10,10,Wednesday,Mar,20,No Game,No game
2010-03-11,7,Thursday,Mar,3,No Game,No game
2010-03-12,9,Friday,Mar,22,No Game,No game
2010-03-13,12,Saturday,Mar,18,No Game,No game
2010-03-14,17,Sunday,Mar,0,No Game,No game
2010-03-15,4,Monday,Mar,5,No Game,No game
2010-03-16,10,Tuesday,Mar,18,No Game,No game
2010-03-17,13,Wednesday,Mar,0,No Game,No game
2010-03-18,8,Thursday,Mar,19,No Game,No game
2010-03-19,7,Friday,Mar,13,No Game,No game
2010-03-20,10,Saturday,Mar,0,No Game,No game
2010-03-21,7,Sunday,Mar,18,No Game,No game
2010-03-22,8,Monday,Mar,7,No Game,No game
2010-03-23,16,Tuesday,Mar,10,No Game,No game
2010-03-24,5,Wednesday,Mar,12,No Game,No game
2010-03-25,11,Thursday,Mar,0,No Game,No game
2010-03-26,11,Friday,Mar,7,No Game,No game
2010-03-27,15,Saturday,Mar,13,No Game,No game
2010-03-28,13,Sunday,Mar,0,No Game,No game
2010-03-29,13,Monday,Mar,0,No Game,No game
2010-03-30,13,Tuesday,Mar,19,No Game,No game
2010-03-31,8,Wednesday,Mar,0,No Game,No game
2010-04-01,10,Thursday,Apr,0,No Game,No game
