Date,Beat,BlockRange,StreetName,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year
2010-01-01,10H40,2400-2499,san jacinto,Theft,bar/night club,1.0,5.0,1,Friday,Jan,2010
2010-01-01,10H40,2400-2499,san jacinto,Theft,bar/night club,1.0,1.0,1,Friday,Jan,2010
2010-01-01,10H40,1400-1499,alabama,Theft,other parking lot,1.0,3.0,1,Friday,Jan,2010
2010-01-02,10H40,1200-1299,anita,Theft,road/street/sidewalk,1.0,0.0,2,Saturday,Jan,2010
2010-01-02,10H40,4200-4299,main,Theft,other parking lot,1.0,17.0,2,Saturday,Jan,2010
2010-01-03,10H40,2600-2699,austin,Auto Theft,road/street/sidewalk,1.0,0.0,3,Sunday,Jan,2010
2010-01-03,10H40,2100-2199,chenevert,Theft,restaurant/cafeteria parking lot,1.0,3.0,3,Sunday,Jan,2010
2010-01-03,10H40,2600-2699,fannin,Auto Theft,road/street/sidewalk,1.0,2.0,3,Sunday,Jan,2010
2010-01-03,10H40,1400-1499,dennis,Theft,road/street/sidewalk,1.0,0.0,3,Sunday,Jan,2010
2010-01-03,10H40,2300-2399,caroline,Theft,road/street/sidewalk,1.0,0.0,3,Sunday,Jan,2010
2010-01-03,10H40,1700-1799,hadley,Theft,road/street/sidewalk,1.0,3.0,3,Sunday,Jan,2010
2010-01-05,10H40,4200-4299,san jacinto,Theft,grocery/supermarket,1.0,12.0,5,Tuesday,Jan,2010
2010-01-05,10H40,3500-3599,travis,Theft,other parking lot,1.0,20.0,5,Tuesday,Jan,2010
2010-01-05,10H40,2300-2399,austin,Auto Theft,road/street/sidewalk,1.0,14.0,5,Tuesday,Jan,2010
2010-01-05,10H40,3400-3499,fannin,Theft,commercial building,1.0,11.0,5,Tuesday,Jan,2010
2010-01-05,10H40,4400-4499,san jacinto,Aggravated Assault,grocery/supermarket,1.0,15.0,5,Tuesday,Jan,2010
2010-01-05,10H40,1000-1099,alabama,Aggravated Assault,convenience store,1.0,14.0,5,Tuesday,Jan,2010
2010-01-05,10H40,1300-1399,mcgowen,Theft,other/unknown,1.0,15.0,5,Tuesday,Jan,2010
2010-01-06,10H40,1000-1099,alabama,Theft,convenience store,1.0,6.0,6,Wednesday,Jan,2010
2010-01-07,10H40,1500-1599,anita,Burglary,condominium,1.0,7.0,7,Thursday,Jan,2010
2010-01-07,10H40,1700-1799,gray,Theft,"vacant other residential (apartment,inn,dorms,boarding house)",1.0,16.0,7,Thursday,Jan,2010
2010-01-07,10H40,2300-2399,main,Theft,commercial or training school,1.0,15.0,7,Thursday,Jan,2010
2010-01-07,10H40,200-299,main,Theft,hotel/motel/etc.,1.0,0.0,7,Thursday,Jan,2010
2010-01-08,10H40,3800-3899,southwest freeway travis,Theft,restaurant/cafeteria parking lot,1.0,14.0,8,Friday,Jan,2010
2010-01-08,10H40,4200-4299,san jacinto,Theft,grocery/supermarket,1.0,19.0,8,Friday,Jan,2010
2010-01-08,10H40,1300-1399,rosalie,Theft,residence/house,1.0,18.0,8,Friday,Jan,2010
2010-01-08,10H40,1000-1099,mcilhenny,Theft,road/street/sidewalk,1.0,7.0,8,Friday,Jan,2010
2010-01-08,10H40,2100-2199,fannin,Theft,office building,1.0,11.0,8,Friday,Jan,2010
2010-01-08,10H40,3500-3599,jackson,Theft,driveway,1.0,7.0,8,Friday,Jan,2010
2010-01-09,10H40,1000-1099,webster,Theft,road/street/sidewalk,1.0,0.0,9,Saturday,Jan,2010
2010-01-10,10H40,4200-4299,san jacinto,Aggravated Assault,road/street/sidewalk,1.0,20.0,10,Sunday,Jan,2010
2010-01-10,10H40,2100-2199,crawford,Theft,church/synagogue/temple,1.0,5.0,10,Sunday,Jan,2010
2010-01-10,10H40,1000-1099,elgin,Theft,drug store/medical supply,1.0,16.0,10,Sunday,Jan,2010
2010-01-11,10H40,4200-4299,san jacinto,Theft,grocery/supermarket,1.0,11.0,11,Monday,Jan,2010
2010-01-11,10H40,4200-4299,main,Rape,road/street/sidewalk,1.0,14.0,11,Monday,Jan,2010
2010-01-11,10H40,1500-1599,gray,Theft,strip business center parking lot,1.0,19.0,11,Monday,Jan,2010
2010-01-12,10H40,1700-1799,gray,Theft,church/synagogue/temple,1.0,18.0,12,Tuesday,Jan,2010
2010-01-13,10H40,1500-1599,holman,Aggravated Assault,road/street/sidewalk,1.0,10.0,13,Wednesday,Jan,2010
2010-01-13,10H40,1900-1999,alabama,Theft,other parking lot,1.0,16.0,13,Wednesday,Jan,2010
2010-01-13,10H40,1800-1899,alabama,Theft,driveway,1.0,21.0,13,Wednesday,Jan,2010
2010-01-13,10H40,700-799,elgin,Theft,"gym,recreat,club hse,indr pool,spa",1.0,18.0,13,Wednesday,Jan,2010
2010-01-14,10H40,2700-2799,milam,Aggravated Assault,bar/night club,2.0,22.0,14,Thursday,Jan,2010
2010-01-14,10H40,2400-2499,san jacinto,Theft,commercial building,1.0,1.0,14,Thursday,Jan,2010
2010-01-15,10H40,3700-3799,travis,Theft,restaurant/cafeteria parking lot,1.0,8.0,15,Friday,Jan,2010
2010-01-15,10H40,1500-1599,isabella,Auto Theft,road/street/sidewalk,1.0,22.0,15,Friday,Jan,2010
2010-01-15,10H40,3200-3299,main,Theft,commercial building,1.0,19.0,15,Friday,Jan,2010
2010-01-15,10H40,2400-2499,milam,Burglary,apartment,1.0,12.0,15,Friday,Jan,2010
2010-01-16,10H40,4200-4299,fannin,Theft,department/discount store,1.0,17.0,16,Saturday,Jan,2010
2010-01-16,10H40,2300-2399,austin,Theft,road/street/sidewalk,1.0,23.0,16,Saturday,Jan,2010
2010-01-16,10H40,1300-1399,hadley,Theft,bar/night club,1.0,0.0,16,Saturday,Jan,2010
2010-01-16,10H40,3700-3799,southwest freeway smith,Theft,"electronics store, electrical sup.",1.0,16.0,16,Saturday,Jan,2010
2010-01-17,10H40,1100-1199,mcgowen,Theft,bus station,1.0,5.0,17,Sunday,Jan,2010
2010-01-17,10H40,2300-2399,austin,Robbery,road/street/sidewalk,1.0,0.0,17,Sunday,Jan,2010
2010-01-17,10H40,1000-1099,gray,Robbery,road/street/sidewalk,1.0,6.0,17,Sunday,Jan,2010
2010-01-17,10H40,1700-1799,alabama,Burglary,commercial building,1.0,13.0,17,Sunday,Jan,2010
2010-01-17,10H40,2400-2499,caroline,Theft,road/street/sidewalk,1.0,3.0,17,Sunday,Jan,2010
2010-01-18,10H40,1100-1199,francis,Auto Theft,road/street/sidewalk,1.0,17.0,18,Monday,Jan,2010
2010-01-18,10H40,4200-4299,main,Theft,department/discount store,1.0,11.0,18,Monday,Jan,2010
2010-01-18,10H40,4300-4399,garrott,Murder,road/street/sidewalk,1.0,14.0,18,Monday,Jan,2010
2010-01-19,10H40,1600-1699,gray,Theft,road/street/sidewalk,1.0,10.0,19,Tuesday,Jan,2010
2010-01-19,10H40,1700-1799,dennis,Theft,driveway,1.0,20.0,19,Tuesday,Jan,2010
2010-01-19,10H40,1800-1899,mcgowen,Robbery,road/street/sidewalk,1.0,4.0,19,Tuesday,Jan,2010
