date,home_away,opp_score,opposing,season,team,team_score,win_lost
2010-04-05,HOME,5,SFG,reg,HOU,2,L
2010-04-06,HOME,3,SFG,reg,HOU,0,L
2010-04-07,HOME,10,SFG,reg,HOU,4,L
2010-04-09,HOME,8,PHI,reg,HOU,0,L
2010-04-10,HOME,9,PHI,reg,HOU,6,L
2010-04-11,HOME,2,PHI,reg,HOU,1,L
2010-04-20,HOME,5,FLA,reg,HOU,7,W
2010-04-21,HOME,4,FLA,reg,HOU,5,W
2010-04-22,HOME,5,FLA,reg,HOU,1,L
2010-04-23,HOME,3,PIT,reg,HOU,4,W
2010-04-24,HOME,2,PIT,reg,HOU,5,W
2010-04-25,HOME,3,PIT,reg,HOU,10,W
2010-04-27,HOME,6,CIN,reg,HOU,2,L
2010-04-28,HOME,6,CIN,reg,HOU,4,L
2010-04-29,HOME,4,CIN,reg,HOU,2,L
2010-05-03,HOME,9,ARI,reg,HOU,1,L
2010-05-04,HOME,1,ARI,reg,HOU,0,L
2010-05-05,HOME,2,ARI,reg,HOU,4,W
2010-05-06,HOME,6,ARI,reg,HOU,3,L
2010-05-07,HOME,7,SDP,reg,HOU,0,L
2010-05-08,HOME,2,SDP,reg,HOU,1,L
2010-05-09,HOME,3,SDP,reg,HOU,4,W
2010-05-19,HOME,3,COL,reg,HOU,7,W
2010-05-20,HOME,4,COL,reg,HOU,0,L
2010-05-21,HOME,1,TBR,reg,HOU,2,W
2010-05-22,HOME,4,TBR,reg,HOU,2,L
2010-05-23,HOME,10,TBR,reg,HOU,6,L
2010-05-31,HOME,14,WSN,reg,HOU,4,L
2010-06-01,HOME,7,WSN,reg,HOU,8,W
2010-06-02,HOME,1,WSN,reg,HOU,5,W
2010-06-03,HOME,4,WSN,reg,HOU,6,W
2010-06-04,HOME,1,CHC,reg,HOU,3,W
2010-06-05,HOME,8,CHC,reg,HOU,5,L
2010-06-06,HOME,3,CHC,reg,HOU,6,W
2010-06-18,HOME,9,TEX,reg,HOU,3,L
2010-06-19,HOME,5,TEX,reg,HOU,1,L
2010-06-20,HOME,5,TEX,reg,HOU,4,L
2010-06-22,HOME,3,SFG,reg,HOU,1,L
2010-06-23,HOME,3,SFG,reg,HOU,6,W
2010-06-24,HOME,5,SFG,reg,HOU,7,W
2010-07-06,HOME,2,PIT,reg,HOU,6,W
2010-07-07,HOME,3,PIT,reg,HOU,6,W
2010-07-08,HOME,0,PIT,reg,HOU,2,W
2010-07-09,HOME,8,STL,reg,HOU,0,L
2010-07-10,HOME,1,STL,reg,HOU,4,W
2010-07-11,HOME,4,STL,reg,HOU,2,L
2010-07-23,HOME,6,CIN,reg,HOU,4,L
2010-07-24,HOME,7,CIN,reg,HOU,0,L
2010-07-25,HOME,0,CIN,reg,HOU,4,W
2010-07-26,HOME,5,CHC,reg,HOU,2,L
2010-07-27,HOME,1,CHC,reg,HOU,6,W
2010-07-28,HOME,1,CHC,reg,HOU,8,W
2010-07-30,HOME,0,MIL,reg,HOU,5,W
2010-07-31,HOME,0,MIL,reg,HOU,6,W
2010-08-01,HOME,2,MIL,reg,HOU,5,W
2010-08-09,HOME,4,ATL,reg,HOU,10,W
2010-08-10,HOME,4,ATL,reg,HOU,2,L
2010-08-11,HOME,8,ATL,reg,HOU,2,L
2010-08-13,HOME,1,PIT,reg,HOU,4,W
2010-08-14,HOME,2,PIT,reg,HOU,3,W
2010-08-15,HOME,2,PIT,reg,HOU,8,W
2010-08-16,HOME,3,NYM,reg,HOU,1,L
2010-08-17,HOME,3,NYM,reg,HOU,4,W
2010-08-18,HOME,3,NYM,reg,HOU,2,L
2010-08-19,HOME,2,NYM,reg,HOU,3,W
2010-08-30,HOME,0,STL,reg,HOU,3,W
2010-08-31,HOME,0,STL,reg,HOU,3,W
2010-09-01,HOME,2,STL,reg,HOU,5,W
2010-09-09,HOME,2,LAD,reg,HOU,3,W
2010-09-10,HOME,4,LAD,reg,HOU,2,L
2010-09-11,HOME,6,LAD,reg,HOU,3,L
2010-09-12,HOME,4,LAD,reg,HOU,7,W
2010-09-13,HOME,2,MIL,reg,HOU,4,W
2010-09-14,HOME,2,MIL,reg,HOU,3,W
2010-09-15,HOME,8,MIL,reg,HOU,6,L
2010-09-17,HOME,3,CIN,reg,HOU,5,W
2010-09-18,HOME,11,CIN,reg,HOU,1,L
2010-09-19,HOME,3,CIN,reg,HOU,4,W
2010-10-01,HOME,2,CHC,reg,HOU,0,L
2010-10-02,HOME,8,CHC,reg,HOU,3,L
