full_date,away_score,away_team,home_score,home_team,season,winner
2011-10-30 00:00:00,2 ,Houston Dynamo,         1,Philadelphia Union,plo,
2011-11-03 00:00:00,0 ,Philadelphia Union,          1,Houston Dynamo,plo,
2011-11-06 00:00:00,2,Houston Dynamo,          0,Sporting Kansas City,plo,
2011-11-20 00:00:00,0,Houston Dynamo,        1,Los Angeles Galaxy,plo,
2012-10-31 00:00:00,2 ,Houston Dynamo,          1,Chicago Fire,plo,
2012-11-04 00:00:00,0 ,Sporting Kansas City,        2,Houston Dynamo,plo,
2012-11-07 00:00:00,0 ,Houston Dynamo,         1,Sporting Kansas City,plo,
2012-11-11 00:00:00,1,Washington D.C. United,         3,Houston Dynamo,plo,
2012-11-18 00:00:00,1,Houston Dynamo,       1,Washington D.C. United,plo,
2012-12-01 00:00:00,1 ,Houston Dynamo, 3,Los Angeles Galaxy,plo,
2013-10-31 00:00:00,0 ,Montreal Impact,        3,Houston Dynamo,plo,
2013-11-03 00:00:00,2 ,New York Red Bulls,    2,Houston Dynamo,plo,
2013-11-06 00:00:00,1 ,Houston Dynamo,     1,New York Red Bull,plo,
2013-11-09 00:00:00,0 ,Sporting Kansas City,         0,Houston Dynamo,plo,
2013-11-23 00:00:00,1 ,Houston Dynamo,      2,Sporting Kansas City,plo,
2017-10-26 00:00:00,0,Kansas City,1,Houston Dynamo,plo,
2017-10-30 00:00:00,0,Portland Tumbers,0,Houston Dynamo,plo,
2017-11-05 00:00:00,2,Houston Dynamo,1,Portland Tumbers,plo,
2017-11-21 00:00:00,2,Seattle,0,Houston Dynamo,plo,
2017-11-30 00:00:00,0,Houston Dynamo,3,Seattle,plo,
2010-03-27,1,HOU,1,FC Dallas,reg,HOU
2010-04-01,1,Real Salt Lake,2,Houston Dynamo,reg,HOU
2010-04-10,2,LA Galaxy,0,Houston Dynamo,reg,LA Galaxy
2010-04-17,0,Chivas USA,3,Houston Dynamo,reg,HOU
2010-04-24,0,HOU,2,Chicago,reg,Chicago
2010-05-01,0,Sporting KC,3,Houston Dynamo,reg,HOU
2010-05-05,1,FC Dallas,0,Houston Dynamo,reg,FC Dallas
2010-05-08,2,HOU,0,Chivas USA,reg,HOU
2010-05-13,1,HOU,3,Real Salt Lake,reg,Real Salt Lake
2010-05-22,0,D.C. United,2,Houston Dynamo,reg,HOU
2010-05-29,3,Philadelphia,2,Houston Dynamo,reg,Philadelphia
2010-06-02,1,HOU,2,NY Red Bulls,reg,NY Red Bulls
2010-06-05,1,HOU,4,LA Galaxy,reg,LA Galaxy
2010-06-26,2,Colorado,2,Houston Dynamo,reg,Colorado
2010-07-01,1,HOU,1,Toronto FC,reg,HOU
2010-07-10,0,Columbus,0,Houston Dynamo,reg,Columbus
2010-07-24,0,HOU,3,Columbus,reg,Columbus
2010-07-31,2,NY Red Bulls,2,Houston Dynamo,reg,NY Red Bulls
2010-08-08,0,HOU,2,Seattle,reg,Seattle
2010-08-14,0,HOU,1,New England,reg,New England
2010-08-21,3,Chicago,4,Houston Dynamo,reg,HOU
2010-08-28,0,HOU,3,Colorado,reg,Colorado
2010-09-05,2,San Jose,1,Houston Dynamo,reg,San Jose
2010-09-18,2,Toronto FC,1,Houston Dynamo,reg,Toronto FC
2010-09-22,3,HOU,4,Sporting KC,reg,Sporting KC
2010-09-25,3,HOU,1,D.C. United,reg,HOU
2010-10-02,1,HOU,1,Philadelphia,reg,HOU
2010-10-10,2,New England,1,Houston Dynamo,reg,New England
2010-10-16,1,HOU,0,San Jose,reg,HOU
2010-10-23,1,HOU,2,Seattle,reg,Seattle
2011-03-19,1,Philadelphia,0,Houston Dynamo,reg,Philadelphia
2011-03-25,1,HOU,1,Seattle,reg,HOU
2011-04-02,1,HOU,1,NY Red Bulls,reg,HOU
2011-04-10,1,Vancouver,3,Houston Dynamo,reg,HOU
2011-04-17,0,New England,1,Houston Dynamo,reg,HOU
2011-04-23,1,HOU,1,Chicago,reg,HOU
2011-04-29,1,D.C. United,4,Houston Dynamo,reg,HOU
2011-05-04,2,Colorado,1,Houston Dynamo,reg,Colorado
2011-05-07,1,HOU,2,Toronto FC,reg,Toronto FC
2011-05-14,0,HOU,0,Real Salt Lake,reg,HOU
2011-05-21,2,NY Red Bulls,2,Houston Dynamo,reg,NY Red Bulls
2011-05-25,0,HOU,1,LA Galaxy,reg,LA Galaxy
2011-05-28,2,FC Dallas,2,Houston Dynamo,reg,FC Dallas
2011-06-04,0,HOU,2,San Jose,reg,San Jose
2011-06-11,1,Chivas USA,2,Houston Dynamo,reg,HOU
2011-06-18,2,Columbus,0,Houston Dynamo,reg,Columbus
2011-06-25,2,HOU,2,D.C. United,reg,HOU
2011-07-03,0,HOU,0,Colorado,reg,HOU
2011-07-09,0,Toronto FC,2,Houston Dynamo,reg,HOU
2011-07-16,1,Sporting KC,1,Houston Dynamo,reg,Sporting KC
2011-07-23,0,HOU,3,Chivas USA,reg,Chivas USA
2011-07-30,1,HOU,3,Seattle,reg,Seattle
2011-08-06,1,HOU,1,Philadelphia,reg,HOU
2011-08-14,1,Portland,2,Houston Dynamo,reg,HOU
2011-08-17,1,HOU,1,New England,reg,HOU
2011-08-20,2,Real Salt Lake,3,Houston Dynamo,reg,HOU
2011-08-27,0,HOU,1,Vancouver,reg,Vancouver
