scheduled,home.alias,scoring.home_points,away.alias,scoring.away_points,winner,season
1/3/2010 18:02,HOU,34,NE,27,HOU,reg
9/12/2010 17:02,HOU,34,IND,24,HOU,reg
9/26/2010 17:03,HOU,13,DAL,27,DAL,reg
10/10/2010 17:03,HOU,10,NYG,34,NYG,reg
10/17/2010 17:03,HOU,35,KC,31,HOU,reg
11/7/2010 18:02,HOU,23,SD,29,SD,reg
11/28/2010 18:02,HOU,20,TEN,0,HOU,reg
12/14/2010 1:40,HOU,28,BAL,34,BAL,reg
1/2/2011 21:16,HOU,34,JAC,17,HOU,reg
9/11/2011 17:05,HOU,34,IND,7,HOU,reg
10/2/2011 17:03,HOU,17,PIT,10,HOU,reg
10/9/2011 17:02,HOU,20,OAK,25,OAK,reg
10/30/2011 17:02,HOU,24,JAC,14,HOU,reg
11/6/2011 18:03,HOU,30,CLE,12,HOU,reg
12/4/2011 18:03,HOU,17,ATL,10,HOU,reg
12/18/2011 18:03,HOU,13,CAR,28,CAR,reg
1/1/2012 18:02,HOU,22,TEN,23,TEN,reg
1/7/2012 21:37,HOU,31,CIN,10,HOU,plo
9/9/2012 17:02,HOU,30,MIA,10,HOU,reg
9/30/2012 17:02,HOU,38,TEN,14,HOU,reg
10/15/2012 0:28,HOU,24,GB,42,GB,reg
10/21/2012 17:02,HOU,43,BAL,13,HOU,reg
11/4/2012 18:02,HOU,21,BUF,9,HOU,reg
11/18/2012 18:02,HOU,43,JAC,37,HOU,reg
12/16/2012 18:02,HOU,29,IND,17,HOU,reg
12/23/2012 18:03,HOU,6,MIN,23,MIN,reg
1/5/2013 21:35,HOU,19,CIN,13,HOU,plo
9/15/2013 17:03,HOU,30,TEN,24,HOU,reg
9/29/2013 17:03,HOU,20,SEA,23,SEA,reg
10/13/2013 17:03,HOU,13,STL,38,STL,reg
11/4/2013 1:30,HOU,24,IND,27,IND,reg
11/17/2013 18:03,HOU,23,OAK,28,OAK,reg
11/24/2013 18:02,HOU,6,JAC,13,JAC,reg
12/1/2013 18:02,HOU,31,NE,34,NE,reg
12/22/2013 18:02,HOU,13,DEN,37,DEN,reg
9/7/2014 17:03,HOU,17,WAS,6,HOU,reg
9/28/2014 17:02,HOU,23,BUF,17,HOU,reg
10/10/2014 0:26,HOU,28,IND,33,IND,reg
11/2/2014 18:02,HOU,21,PHI,31,PHI,reg
11/23/2014 18:02,HOU,13,CIN,22,CIN,reg
11/30/2014 18:02,HOU,45,TEN,21,HOU,reg
12/21/2014 18:02,HOU,25,BAL,13,HOU,reg
12/28/2014 18:02,HOU,23,JAC,17,HOU,reg
9/13/2015 17:02,HOU,20,KC,27,KC,reg
9/27/2015 17:02,HOU,19,TB,9,HOU,reg
10/9/2015 0:26,HOU,20,IND,27,IND,reg
11/1/2015 18:02,HOU,20,TEN,6,HOU,reg
11/22/2015 18:02,HOU,24,NYJ,17,HOU,reg
11/29/2015 18:02,HOU,24,NO,6,HOU,reg
12/14/2015 1:30,HOU,6,NE,27,NE,reg
1/3/2016 18:02,HOU,30,JAC,6,HOU,reg
1/9/2016 21:35,HOU,0,KC,30,KC,plo
9/11/2016 17:00,HOU,23,CHI,14,HOU,reg
9/18/2016 17:00,HOU,19,KC,12,HOU,reg
10/2/2016 17:00,HOU,27,TEN,20,HOU,reg
10/17/2016 0:30,HOU,26,IND,23,HOU,reg
10/30/2016 17:00,HOU,20,DET,13,HOU,reg
11/27/2016 18:00,HOU,13,SD,21,SD,reg
12/18/2016 18:00,HOU,21,JAC,20,HOU,reg
12/25/2016 1:25,HOU,12,CIN,10,HOU,reg
1/7/2017 21:35,HOU,27,OAK,14,HOU,plo
9/10/2017 17:00,HOU,7,JAC,29,JAC,reg
10/1/2017 17:00,HOU,57,TEN,14,HOU,reg
10/9/2017 0:30,HOU,34,KC,42,KC,reg
10/15/2017 17:00,HOU,33,CLE,17,HOU,reg
11/5/2017 18:00,HOU,14,IND,20,IND,reg
11/19/2017 18:00,HOU,31,ARI,21,HOU,reg
12/10/2017 18:00,HOU,16,SF,26,SF,reg
12/25/2017 21:30,HOU,6,PIT,34,PIT,reg
