Date,School,Pts,home_away,Opponent,Opp,win_lost
2010-09-04,Rice,17,home,Texas,34,L
2010-09-18,Rice,13,home,Northwestern,30,L
2010-09-25,Rice,13,home,Baylor,30,L
2010-10-02,Rice,31,home,SMU,42,L
2010-10-16,Rice,34,home,Houston,31,W
2010-11-20,Rice,62,home,East Carolina,38,W
2010-11-27,Rice,28,home,UAB,23,W
2011-09-10,Rice,24,home,Purdue,22,W
2011-10-08,Rice,28,home,Memphis,6,W
2011-10-22,Rice,20,home,Tulsa,38,L
2011-11-05,Rice,41,home,UTEP,37,W
2011-11-19,Rice,19,home,Tulane,7,W
2012-08-30,Rice,24,home,UCLA,49,L
2012-09-22,Rice,51,home,Marshall,54,L
2012-10-13,Rice,34,home,UTSA,14,W
2012-10-27,Rice,44,home,Southern Mississippi,17,W
2012-11-17,Rice,36,home,SMU,20,W
2013-09-14,Rice,23,home,Kansas,14,W
2013-09-28,Rice,18,home,Florida Atlantic,14,W
2013-10-26,Rice,45,home,UTEP,7,W
2013-11-16,Rice,52,home,Louisiana Tech,14,W
2013-11-30,Rice,17,home,Tulane,13,W
2013-12-07,Rice,41,home,Marshall,24,W
2014-09-20,Rice,42,home,Old Dominion,45,L
2014-10-04,Rice,28,home,Hawaii,14,W
2014-10-25,Rice,41,home,North Texas,21,W
2014-11-08,Rice,17,home,UTSA,7,W
2014-11-21,Rice,31,home,UTEP,13,W
2015-09-05,Rice,56,home,Wagner,16,W
2015-10-03,Rice,10,home,Western Kentucky,49,L
2015-10-24,Rice,38,home,Army,31,W
2015-10-30,Rice,17,home,Louisiana Tech,42,L
2015-11-14,Rice,10,home,Southern Mississippi,65,L
2015-11-28,Rice,27,home,Charlotte,7,W
2016-09-16,Rice,10,home,Baylor,38,L
2016-09-24,Rice,35,home,North Texas,42,L
2016-10-15,Rice,13,home,UTSA,14,L
2016-10-22,Rice,65,home,Prairie View A&M,44,W
2016-11-05,Rice,25,home,Florida Atlantic,42,L
2016-11-19,Rice,44,home,UTEP,24,W
2017-09-23,Rice,7,home,Florida International,13,L
2017-10-07,Rice,12,home,Army,49,L
2017-10-28,Rice,28,home,Louisiana Tech,42,L
2017-11-11,Rice,34,home,Southern Mississippi,43,L
2017-11-25,Rice,14,home,North Texas,30,L
