full_date,home_team,home_score,away_team,away_score,winner,season
2010-03-27,FC Dallas,1,HOU,1,HOU,reg
2010-04-01,Houston Dynamo,2,Real Salt Lake,1,HOU,reg
2010-04-10,Houston Dynamo,0,LA Galaxy,2,LA Galaxy,reg
2010-04-17,Houston Dynamo,3,Chivas USA,0,HOU,reg
2010-04-24,Chicago,2,HOU,0,Chicago,reg
2010-05-01,Houston Dynamo,3,Sporting KC,0,HOU,reg
2010-05-05,Houston Dynamo,0,FC Dallas,1,FC Dallas,reg
2010-05-08,Chivas USA,0,HOU,2,HOU,reg
2010-05-13,Real Salt Lake,3,HOU,1,Real Salt Lake,reg
2010-05-22,Houston Dynamo,2,D.C. United,0,HOU,reg
2010-05-29,Houston Dynamo,2,Philadelphia,3,Philadelphia,reg
2010-06-02,NY Red Bulls,2,HOU,1,NY Red Bulls,reg
2010-06-05,LA Galaxy,4,HOU,1,LA Galaxy,reg
2010-06-26,Houston Dynamo,2,Colorado,2,Colorado,reg
2010-07-01,Toronto FC,1,HOU,1,HOU,reg
2010-07-10,Houston Dynamo,0,Columbus,0,Columbus,reg
2010-07-24,Columbus,3,HOU,0,Columbus,reg
2010-07-31,Houston Dynamo,2,NY Red Bulls,2,NY Red Bulls,reg
2010-08-08,Seattle,2,HOU,0,Seattle,reg
2010-08-14,New England,1,HOU,0,New England,reg
2010-08-21,Houston Dynamo,4,Chicago,3,HOU,reg
2010-08-28,Colorado,3,HOU,0,Colorado,reg
2010-09-05,Houston Dynamo,1,San Jose,2,San Jose,reg
2010-09-18,Houston Dynamo,1,Toronto FC,2,Toronto FC,reg
2010-09-22,Sporting KC,4,HOU,3,Sporting KC,reg
2010-09-25,D.C. United,1,HOU,3,HOU,reg
2010-10-02,Philadelphia,1,HOU,1,HOU,reg
2010-10-10,Houston Dynamo,1,New England,2,New England,reg
2010-10-16,San Jose,0,HOU,1,HOU,reg
2010-10-23,Seattle,2,HOU,1,Seattle,reg
2011-03-19,Houston Dynamo,0,Philadelphia,1,Philadelphia,reg
2011-03-25,Seattle,1,HOU,1,HOU,reg
2011-04-02,NY Red Bulls,1,HOU,1,HOU,reg
2011-04-10,Houston Dynamo,3,Vancouver,1,HOU,reg
2011-04-17,Houston Dynamo,1,New England,0,HOU,reg
2011-04-23,Chicago,1,HOU,1,HOU,reg
2011-04-29,Houston Dynamo,4,D.C. United,1,HOU,reg
2011-05-04,Houston Dynamo,1,Colorado,2,Colorado,reg
2011-05-07,Toronto FC,2,HOU,1,Toronto FC,reg
2011-05-14,Real Salt Lake,0,HOU,0,HOU,reg
2011-05-21,Houston Dynamo,2,NY Red Bulls,2,NY Red Bulls,reg
2011-05-25,LA Galaxy,1,HOU,0,LA Galaxy,reg
2011-05-28,Houston Dynamo,2,FC Dallas,2,FC Dallas,reg
2011-06-04,San Jose,2,HOU,0,San Jose,reg
2011-06-11,Houston Dynamo,2,Chivas USA,1,HOU,reg
2011-06-18,Houston Dynamo,0,Columbus,2,Columbus,reg
2011-06-25,D.C. United,2,HOU,2,HOU,reg
2011-07-03,Colorado,0,HOU,0,HOU,reg
2011-07-09,Houston Dynamo,2,Toronto FC,0,HOU,reg
2011-07-16,Houston Dynamo,1,Sporting KC,1,Sporting KC,reg
2011-07-23,Chivas USA,3,HOU,0,Chivas USA,reg
2011-07-30,Seattle,3,HOU,1,Seattle,reg
2011-08-06,Philadelphia,1,HOU,1,HOU,reg
2011-08-14,Houston Dynamo,2,Portland,1,HOU,reg
2011-08-17,New England,1,HOU,1,HOU,reg
2011-08-20,Houston Dynamo,3,Real Salt Lake,2,HOU,reg
2011-08-27,Vancouver,1,HOU,0,Vancouver,reg
2011-09-10,Sporting KC,3,HOU,0,Sporting KC,reg
2011-09-14,Columbus,2,HOU,2,HOU,reg
2011-09-17,Houston Dynamo,2,San Jose,1,HOU,reg
2011-09-24,FC Dallas,0,HOU,1,HOU,reg
2011-10-01,Houston Dynamo,1,Chicago,1,Chicago,reg
2011-10-14,Portland,0,HOU,2,HOU,reg
2011-10-23,Houston Dynamo,3,LA Galaxy,1,HOU,reg
2012-03-11,Chivas USA,0,HOU,1,HOU,reg
2012-03-17,San Jose,0,HOU,1,HOU,reg
2012-03-23,Seattle,2,HOU,0,Seattle,reg
2012-04-15,Chicago,1,HOU,1,HOU,reg
2012-04-21,Columbus,2,HOU,2,HOU,reg
2012-04-28,D.C. United,3,HOU,2,D.C. United,reg
2012-05-09,NY Red Bulls,1,HOU,0,NY Red Bulls,reg
2012-05-12,Houston Dynamo,1,D.C. United,0,HOU,reg
2012-05-15,Houston Dynamo,0,Portland,0,Portland,reg
2012-05-19,New England,2,HOU,2,HOU,reg
2012-05-26,Houston Dynamo,2,LA Galaxy,1,HOU,reg
2012-06-10,Vancouver,3,HOU,1,Vancouver,reg
2012-06-16,Houston Dynamo,2,FC Dallas,1,HOU,reg
2012-06-20,Houston Dynamo,3,Toronto FC,3,Toronto FC,reg
2012-06-23,Montreal,4,HOU,2,Montreal,reg
2012-06-30,Houston Dynamo,2,Philadelphia,1,HOU,reg
2012-07-03,Houston Dynamo,0,Chicago,0,Chicago,reg
2012-07-07,Sporting KC,0,HOU,0,HOU,reg
2012-07-15,Houston Dynamo,4,D.C. United,0,HOU,reg
2012-07-18,Houston Dynamo,2,Sporting KC,1,HOU,reg
2012-07-21,Houston Dynamo,3,Montreal,0,HOU,reg
