Date,Team,Team_score,Location,Opponent,Opponent_score,season
2009-10-31,Houston Rockets,111,home,Portland Trail Blazers,107,reg
2009-11-04,Houston Rockets,102,home,Los Angeles Lakers,103,reg
2009-11-06,Houston Rockets,105,home,Oklahoma City Thunder,94,reg
2009-11-11,Houston Rockets,104,home,Memphis Grizzlies,79,reg
2009-11-17,Houston Rockets,105,home,Phoenix Suns,111,reg
2009-11-21,Houston Rockets,113,home,Sacramento Kings,106,reg
2009-11-25,Houston Rockets,99,home,Dallas Mavericks,130,reg
2009-11-27,Houston Rockets,84,home,San Antonio Spurs,92,reg
2009-12-09,Houston Rockets,95,home,Cleveland Cavaliers,85,reg
2009-12-15,Houston Rockets,107,home,Detroit Pistons,96,reg
2009-12-19,Houston Rockets,95,home,Oklahoma City Thunder,90,reg
2009-12-22,Houston Rockets,108,home,Los Angeles Clippers,99,reg
2009-12-29,Houston Rockets,108,home,New Orleans Hornets,100,reg
2009-12-31,Houston Rockets,97,home,Dallas Mavericks,94,reg
2010-01-09,Houston Rockets,105,home,New York Knicks,96,reg
2010-01-13,Houston Rockets,120,home,Minnesota Timberwolves,114,reg
2010-01-15,Houston Rockets,106,home,Miami Heat,115,reg
2010-01-18,Houston Rockets,101,home,Milwaukee Bucks,98,reg
2010-01-23,Houston Rockets,97,home,Chicago Bulls,104,reg
2010-01-25,Houston Rockets,95,home,Atlanta Hawks,102,reg
2010-01-27,Houston Rockets,92,home,Denver Nuggets,97,reg
2010-01-29,Houston Rockets,104,home,Portland Trail Blazers,100,reg
2010-01-31,Houston Rockets,111,home,Phoenix Suns,115,reg
2010-02-02,Houston Rockets,119,home,Golden State Warriors,97,reg
2010-02-06,Houston Rockets,95,home,Philadelphia 76ers,102,reg
2010-02-16,Houston Rockets,95,home,Utah Jazz,104,reg
2010-02-20,Houston Rockets,115,home,Indiana Pacers,125,reg
2010-02-24,Houston Rockets,92,home,Orlando Magic,110,reg
2010-02-26,Houston Rockets,109,home,San Antonio Spurs,104,reg
2010-03-01,Houston Rockets,116,home,Toronto Raptors,92,reg
2010-03-03,Houston Rockets,81,home,Sacramento Kings,84,reg
2010-03-13,Houston Rockets,116,home,New Jersey Nets,108,reg
2010-03-15,Houston Rockets,125,home,Denver Nuggets,123,reg
2010-03-17,Houston Rockets,107,home,Memphis Grizzlies,94,reg
2010-03-19,Houston Rockets,87,home,Boston Celtics,94,reg
2010-03-25,Houston Rockets,93,home,Los Angeles Clippers,99,reg
2010-03-27,Houston Rockets,101,home,Los Angeles Lakers,109,reg
2010-03-30,Houston Rockets,98,home,Washington Wizards,94,reg
2010-04-07,Houston Rockets,113,home,Utah Jazz,96,reg
2010-04-09,Houston Rockets,97,home,Charlotte Bobcats,90,reg
2010-04-14,Houston Rockets,115,home,New Orleans Hornets,123,reg
2010-10-30,Houston Rockets,94,home,Denver Nuggets,107,reg
2010-11-03,Houston Rockets,99,home,New Orleans Hornets,107,reg
2010-11-07,Houston Rockets,120,home,Minnesota Timberwolves,94,reg
2010-11-16,Houston Rockets,92,home,Chicago Bulls,95,reg
2010-11-22,Houston Rockets,116,home,Phoenix Suns,123,reg
2010-11-24,Houston Rockets,111,home,Golden State Warriors,101,reg
2010-11-28,Houston Rockets,99,home,Oklahoma City Thunder,98,reg
2010-12-01,Houston Rockets,109,home,Los Angeles Lakers,99,reg
2010-12-07,Houston Rockets,97,home,Detroit Pistons,83,reg
2010-12-11,Houston Rockets,110,home,Cleveland Cavaliers,95,reg
2010-12-14,Houston Rockets,118,home,Sacramento Kings,105,reg
2010-12-17,Houston Rockets,103,home,Memphis Grizzlies,87,reg
2010-12-27,Houston Rockets,100,home,Washington Wizards,93,reg
2010-12-29,Houston Rockets,119,home,Miami Heat,125,reg
2010-12-31,Houston Rockets,114,home,Toronto Raptors,105,reg
2011-01-05,Houston Rockets,100,home,Portland Trail Blazers,103,reg
2011-01-08,Houston Rockets,99,home,Utah Jazz,103,reg
2011-01-12,Houston Rockets,112,home,Oklahoma City Thunder,118,reg
2011-01-14,Houston Rockets,105,home,New Orleans Hornets,110,reg
2011-01-17,Houston Rockets,93,home,Milwaukee Bucks,84,reg
2011-01-19,Houston Rockets,104,home,New York Knicks,89,reg
2011-01-22,Houston Rockets,104,home,Orlando Magic,118,reg
2011-01-26,Houston Rockets,96,home,Los Angeles Clippers,83,reg
2011-02-05,Houston Rockets,95,home,Memphis Grizzlies,93,reg
2011-02-08,Houston Rockets,108,home,Minnesota Timberwolves,112,reg
2011-02-12,Houston Rockets,102,home,Dallas Mavericks,106,reg
2011-02-14,Houston Rockets,121,home,Denver Nuggets,102,reg
2011-02-16,Houston Rockets,105,home,Philadelphia 76ers,114,reg
2011-02-26,Houston Rockets,123,home,New Jersey Nets,108,reg
2011-03-05,Houston Rockets,112,home,Indiana Pacers,95,reg
2011-03-12,Houston Rockets,107,home,San Antonio Spurs,115,reg
2011-03-14,Houston Rockets,95,home,Phoenix Suns,93,reg
2011-03-16,Houston Rockets,94,home,Charlotte Bobcats,78,reg
2011-03-18,Houston Rockets,93,home,Boston Celtics,77,reg
2011-03-20,Houston Rockets,110,home,Utah Jazz,108,reg
2011-03-23,Houston Rockets,131,home,Golden State Warriors,112,reg
2011-04-01,Houston Rockets,119,home,San Antonio Spurs,114,reg
2011-04-03,Houston Rockets,114,home,Atlanta Hawks,109,reg
2011-04-05,Houston Rockets,101,home,Sacramento Kings,104,reg
2011-04-09,Houston Rockets,99,home,Los Angeles Clippers,78,reg
2011-04-11,Houston Rockets,91,home,Dallas Mavericks,98,reg
2011-12-29,Houston Rockets,105,home,San Antonio Spurs,85,reg
2011-12-31,Houston Rockets,95,home,Atlanta Hawks,84,reg
2012-01-07,Houston Rockets,95,home,Oklahoma City Thunder,98,reg
2012-01-13,Houston Rockets,103,home,Sacramento Kings,89,reg
2012-01-14,Houston Rockets,107,home,Portland Trail Blazers,105,reg
2012-01-17,Houston Rockets,97,home,Detroit Pistons,80,reg
2012-01-19,Houston Rockets,90,home,New Orleans Hornets,88,reg
2012-01-21,Houston Rockets,105,home,San Antonio Spurs,102,reg
2012-01-25,Houston Rockets,99,home,Milwaukee Bucks,105,reg
2012-01-27,Houston Rockets,103,home,Washington Wizards,76,reg
2012-01-28,Houston Rockets,97,home,New York Knicks,84,reg
2012-01-30,Houston Rockets,108,home,Minnesota Timberwolves,120,reg
2012-02-03,Houston Rockets,99,home,Phoenix Suns,81,reg
2012-02-15,Houston Rockets,96,home,Oklahoma City Thunder,95,reg
