,attendance,away.alias,away.game_number,away.id,away.name,broadcast.network,broadcast.satellite,entry_mode,home.alias,home.game_number,home.id,home.name,id,number,reference,scheduled,scoring.away_points,scoring.home_points,scoring.periods,status,utc_offset,venue.address,venue.capacity,venue.city,venue.country,venue.id,venue.name,venue.roof_type,venue.state,venue.surface,venue.zip,weather
0,71180,ATL,1,e6aa13a4-0055-48a9-bc41-be28dc106929,Atlanta Falcons,FOX,706,INGEST,KC,1,6680d28d-d4d2-49f6-aace-5292d3ec02c2,Kansas City Chiefs,0651e14f-55b0-403f-9ff0-d0f11261490d,6,55509,2012-09-09T17:03:08+00:00,40,24,"[{'period_type': 'quarter', 'id': '60a53db0-7de7-4210-bc55-7d146af3e049', 'number': 1, 'sequence': 1, 'home_points': 3, 'away_points': 10}, {'period_type': 'quarter', 'id': 'ffa039f4-fcdc-44d3-8cd0-ab303c0fad39', 'number': 2, 'sequence': 2, 'home_points': 14, 'away_points': 10}, {'period_type': 'quarter', 'id': '16ca0c95-0437-4f7f-a78e-a82cb2ecc08f', 'number': 3, 'sequence': 3, 'home_points': 0, 'away_points': 14}, {'period_type': 'quarter', 'id': 'eaf149e2-cbf8-4e63-a4c8-ef5c6a55fa4f', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 6}]",closed,-6,One Arrowhead Drive,79451,Kansas City,USA,2ec4c411-dac2-403d-b091-6b6aa4a0a914,Arrowhead Stadium,outdoor,MO,turf,64129,
1,70523,SF,1,f0e724b0-4cbf-495a-be47-013907608da9,San Francisco 49ers,FOX,714,INGEST,GB,1,a20471b4-a8d9-40c7-95ad-90cc30e46932,Green Bay Packers,1c5b1b11-4f35-4c35-9952-f7ba1267dd23,12,55515,2012-09-09T20:25:41+00:00,30,22,"[{'period_type': 'quarter', 'id': '86eceb6a-60ca-4e2a-baed-364e45cb147f', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 3}, {'period_type': 'quarter', 'id': 'e3f2c790-32d1-4fc5-894b-97975a83108d', 'number': 2, 'sequence': 2, 'home_points': 7, 'away_points': 13}, {'period_type': 'quarter', 'id': '331627f5-e9a8-4004-8a51-cefb8b8564bb', 'number': 3, 'sequence': 3, 'home_points': 0, 'away_points': 7}, {'period_type': 'quarter', 'id': '3781f49e-96f7-4519-aab8-6f56eec9cf4c', 'number': 4, 'sequence': 4, 'home_points': 15, 'away_points': 7}]",closed,-6,1265 Lombardi Avenue,80750,Green Bay,USA,5a60dd3a-302c-41c6-ab0f-dd335c1103c2,Lambeau Field,outdoor,WI,turf,54304,
2,76823,PIT,1,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,Pittsburgh Steelers,NBC,,INGEST,DEN,1,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,Denver Broncos,2b736f4f-6608-41ed-80e9-a7eabd5b5b9c,14,55517,2012-09-10T00:31:04+00:00,19,31,"[{'period_type': 'quarter', 'id': 'a80ef73e-a9cc-43ca-857f-95c36cde38af', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 0}, {'period_type': 'quarter', 'id': '3ebf7927-cf92-4272-8d5f-b02dddfebd03', 'number': 2, 'sequence': 2, 'home_points': 7, 'away_points': 10}, {'period_type': 'quarter', 'id': '01077b78-7de4-47fd-ba99-40e2771d5605', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 3}, {'period_type': 'quarter', 'id': '7dcdf6b8-4567-4698-9423-7504d0e2dd6e', 'number': 4, 'sequence': 4, 'home_points': 17, 'away_points': 6}]",closed,-7,1701 Mile High Stadium Circle,76125,Denver,USA,6589e61d-ef1e-4e30-91b5-9acd2072b8a0,Sports Authority Field at Mile High,outdoor,CO,turf,80204,
3,62341,IND,1,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Indianapolis Colts,CBS,708,INGEST,CHI,1,7b112545-38e6-483c-a55c-96cf6ee49cb8,Chicago Bears,437c79b9-ff27-4fed-9899-07ef79e789da,2,55505,2012-09-09T17:02:36+00:00,21,41,"[{'period_type': 'quarter', 'id': 'ac6c131b-ff3f-46b4-91fd-1b0524e3a68a', 'number': 1, 'sequence': 1, 'home_points': 7, 'away_points': 7}, {'period_type': 'quarter', 'id': '636e9444-a6b9-4f81-8469-1a68ea82aee1', 'number': 2, 'sequence': 2, 'home_points': 17, 'away_points': 7}, {'period_type': 'quarter', 'id': '7f2ee8cb-8c92-4e2b-8715-82df93fc473e', 'number': 3, 'sequence': 3, 'home_points': 10, 'away_points': 0}, {'period_type': 'quarter', 'id': '98382fd8-8958-45a0-abd2-658a0e813d59', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 7}]",closed,-6,1410 South Museum Campus Drive,61500,Chicago,USA,d7866605-5ac6-4b3a-90e8-760cc5a26b75,Soldier Field,outdoor,IL,turf,60605,
4,56607,JAC,1,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,Jacksonville Jaguars,CBS,710,INGEST,MIN,1,33405046-04ee-4058-a950-d606f8c30852,Minnesota Vikings,548315c0-cd08-4715-b6a2-cb093b6da797,7,55510,2012-09-09T17:02:29+00:00,23,26,"[{'period_type': 'quarter', 'id': '54f1e66e-5cf7-45c8-b096-8c2b106f140b', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 3}, {'period_type': 'quarter', 'id': '8258ae2a-b23c-4f00-b44b-75fcb120c088', 'number': 2, 'sequence': 2, 'home_points': 7, 'away_points': 6}, {'period_type': 'quarter', 'id': '5500c41f-51cb-4a6a-8d2e-ddb7aeacf980', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 3}, {'period_type': 'quarter', 'id': '90e25fc1-bd9b-48d9-b10a-154af3082b60', 'number': 4, 'sequence': 4, 'home_points': 9, 'away_points': 11}, {'period_type': 'overtime', 'id': 'd6fe0018-5a24-4946-800f-b7b89a1a7654', 'number': 1, 'sequence': 5, 'home_points': 3, 'away_points': 0}]",closed,-6,900 South 5th Street,64111,Minneapolis,USA,1fede74c-50a2-4036-a1c0-b4d1e53ca98c,Mall of America Field,dome,MN,artificial,55415,
5,68693,PHI,1,386bdbf9-9eea-4869-bb9a-274b0bc66e80,Philadelphia Eagles,FOX,704,INGEST,CLE,1,d5a2eb42-8065-4174-ab79-0a6fa820e35e,Cleveland Browns,61064b59-e31b-40c8-a1e9-f06dbe510636,3,55506,2012-09-09T17:03:44+00:00,17,16,"[{'period_type': 'quarter', 'id': '8f1282de-5e2a-4a2a-9ac3-f161033c7154', 'number': 1, 'sequence': 1, 'home_points': 3, 'away_points': 0}, {'period_type': 'quarter', 'id': 'bc23c415-7d2b-4275-9c2a-2d29f35c68aa', 'number': 2, 'sequence': 2, 'home_points': 0, 'away_points': 10}, {'period_type': 'quarter', 'id': 'e41f1916-a89a-4f9e-991b-fa6e6307812f', 'number': 3, 'sequence': 3, 'home_points': 3, 'away_points': 0}, {'period_type': 'quarter', 'id': '6ed27311-2fea-4f39-a8dd-afce8c6b5d8b', 'number': 4, 'sequence': 4, 'home_points': 10, 'away_points': 7}]",closed,-5,100 Alfred Lerner Way,71516,Cleveland,USA,90c38d91-3774-4f5d-82ca-1c806828219f,FirstEnergy Stadium,outdoor,OH,turf,44114,
6,62315,STL,1,39f349de-6463-4803-ad70-f1e0f144f5ed,St. Louis Rams,FOX,705,INGEST,DET,1,c5a59daa-53a7-4de0-851f-fb12be893e9e,Detroit Lions,6ea85017-196f-410d-92db-66799b110c7a,4,55507,2012-09-09T17:03:12+00:00,23,27,"[{'period_type': 'quarter', 'id': 'e1d4efa9-f694-428f-8a6f-9b0756993f81', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 3}, {'period_type': 'quarter', 'id': '25ebd0b4-fe5d-4726-bd4c-b1664703df0d', 'number': 2, 'sequence': 2, 'home_points': 10, 'away_points': 10}, {'period_type': 'quarter', 'id': '1a91eada-bccc-487a-8368-f04cf9f6786c', 'number': 3, 'sequence': 3, 'home_points': 3, 'away_points': 0}, {'period_type': 'quarter', 'id': '16288e89-8c11-427f-a2ce-79a080f3b6c4', 'number': 4, 'sequence': 4, 'home_points': 14, 'away_points': 10}]",closed,-5,2000 Brush Street,65000,Detroit,USA,6e3bcf22-277d-4c06-b019-62aded51654f,Ford Field,dome,MI,artificial,48226,
7,82287,DAL,1,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,Dallas Cowboys,NBC,,INGEST,NYG,1,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,New York Giants,8c0bce5a-7ca2-41e5-9838-d1b8c356ddc3,1,55504,2012-09-06T00:41:22+00:00,24,17,"[{'period_type': 'quarter', 'id': '055fd90c-25b9-4b5a-98bd-720f4b68d35e', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 0}, {'period_type': 'quarter', 'id': '008320f9-24ee-4bd8-a2ed-3bed2100d320', 'number': 2, 'sequence': 2, 'home_points': 3, 'away_points': 7}, {'period_type': 'quarter', 'id': 'a24d5220-949d-4b9e-a697-9f76b2098a9c', 'number': 3, 'sequence': 3, 'home_points': 7, 'away_points': 10}, {'period_type': 'quarter', 'id': 'd6605b19-99fe-4654-b0a3-d6660de6b9a7', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 7}]",closed,-5,One MetLife Stadium Drive,82500,East Rutherford,USA,5d4c85c7-d84e-4e10-bd6a-8a15ebecca5c,MetLife Stadium,outdoor,NJ,artificial,07073,
8,60032,SEA,1,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,Seattle Seahawks,FOX,713,INGEST,ARI,1,de760528-1dc0-416a-a978-b510d20692ff,Arizona Cardinals,9baf8d67-424b-46dd-b47e-d1f975f6d80d,11,55514,2012-09-09T20:25:55+00:00,16,20,"[{'period_type': 'quarter', 'id': '31dfd912-2da5-4afc-8345-9110bf1ab425', 'number': 1, 'sequence': 1, 'home_points': 3, 'away_points': 3}, {'period_type': 'quarter', 'id': '3fe8107f-f953-4b68-ac25-fb470019aa22', 'number': 2, 'sequence': 2, 'home_points': 7, 'away_points': 0}, {'period_type': 'quarter', 'id': '836689c1-8bed-4eaa-a76c-b4953fd47819', 'number': 3, 'sequence': 3, 'home_points': 3, 'away_points': 10}, {'period_type': 'quarter', 'id': '3acfcf4e-79f1-4ff9-ad62-9c28974ff932', 'number': 4, 'sequence': 4, 'home_points': 7, 'away_points': 3}]",closed,-7,One Cardinals Drive,63400,Glendale,USA,f8e4d2ab-53f9-4e9f-8c4a-9bc278094a84,University of Phoenix Stadium,retractable_dome,AZ,turf,85305,
9,71064,CIN,1,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Cincinnati Bengals,ESPN,206,INGEST,BAL,1,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Baltimore Ravens,a24be3cb-3993-46b0-98a5-dedf278ba7f7,15,55518,2012-09-10T23:11:43+00:00,13,44,"[{'period_type': 'quarter', 'id': 'dae8364b-033d-47ad-914f-adaab834c0b4', 'number': 1, 'sequence': 1, 'home_points': 10, 'away_points': 0}, {'period_type': 'quarter', 'id': 'c2f64374-948f-46c0-8c50-71d44d82931e', 'number': 2, 'sequence': 2, 'home_points': 7, 'away_points': 10}, {'period_type': 'quarter', 'id': '3d41d2a8-a2fa-46f5-8a52-eb1f5955d457', 'number': 3, 'sequence': 3, 'home_points': 17, 'away_points': 3}, {'period_type': 'quarter', 'id': '5d93ac7c-80b1-4684-a18b-a064aa7f7cb3', 'number': 4, 'sequence': 4, 'home_points': 10, 'away_points': 0}]",closed,-5,1101 Russell Street,71008,Baltimore,USA,d54faae0-0314-484f-8604-9d8dd08e1149,M&T Bank Stadium,outdoor,MD,turf,21230,
10,71566,MIA,1,4809ecb0-abd3-451d-9c4a-92a90b83ca06,Miami Dolphins,CBS,709,INGEST,HOU,1,82d2d380-3834-4938-835f-aec541e5ece7,Houston Texans,a980f016-419a-40ef-ad48-957a12481e06,5,55508,2012-09-09T17:02:56+00:00,10,30,"[{'period_type': 'quarter', 'id': '4220128f-46a4-4686-95d8-e2870be6087c', 'number': 1, 'sequence': 1, 'home_points': 0, 'away_points': 3}, {'period_type': 'quarter', 'id': '56188e2b-ecba-4d3e-9b86-df2245295c76', 'number': 2, 'sequence': 2, 'home_points': 24, 'away_points': 0}, {'period_type': 'quarter', 'id': 'd30078af-a6ae-43a9-bee8-3f216e39292c', 'number': 3, 'sequence': 3, 'home_points': 3, 'away_points': 7}, {'period_type': 'quarter', 'id': 'bdc6f710-417f-4160-9060-235f72942983', 'number': 4, 'sequence': 4, 'home_points': 3, 'away_points': 0}]",closed,-6,One Reliant Park,71054,Houston,USA,6a72e5ca-33d0-40af-8e6b-b32a4d3d9346,NRG Stadium,retractable_dome,TX,artificial,77054,
11,51533,CAR,1,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Carolina Panthers,FOX,715,INGEST,TB,1,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,Tampa Bay Buccaneers,a9d5654c-7ec2-4865-ad4a-01d16186dfe0,13,55516,2012-09-09T20:26:11+00:00,10,16,"[{'period_type': 'quarter', 'id': 'aea86596-391e-4f87-81a9-85cd24b5fae2', 'number': 1, 'sequence': 1, 'home_points': 10, 'away_points': 0}, {'period_type': 'quarter', 'id': 'ee5f46f6-a972-473d-9906-f0f9f14d5ef3', 'number': 2, 'sequence': 2, 'home_points': 3, 'away_points': 0}, {'period_type': 'quarter', 'id': '72767f80-9056-49a0-b2ef-fb6949f981cb', 'number': 3, 'sequence': 3, 'home_points': 0, 'away_points': 7}, {'period_type': 'quarter', 'id': '846c8a53-6f52-44b1-b6bd-97f4f102d0d4', 'number': 4, 'sequence': 4, 'home_points': 3, 'away_points': 3}]",closed,-5,4201 North Dale Mabry Highway,65890,Tampa,USA,6fccc39c-80bc-4c81-83d9-2d5a848c8c09,Raymond James Stadium,outdoor,FL,turf,33607,
