date,OffenseType,Premise,hour,weekday,month,year,dist_stadium,game
2010-01-01,Auto Theft,bar_nc prk,0,Friday,Jan,2010,0.13718428052321785,No Game
2010-01-01,Theft,bar_nc,0,Friday,Jan,2010,0.5495621736934478,No Game
2010-01-01,Burglary,office bld,0,Friday,Jan,2010,0.4800083701713604,No Game
2010-01-01,Theft,unk,0,Friday,Jan,2010,0.7343574791362248,No Game
2010-01-01,Theft,convention,0,Friday,Jan,2010,0.4033805540792614,No Game
2010-01-01,Burglary,rest,1,Friday,Jan,2010,0.6175168893141081,No Game
2010-01-01,Theft,bar_nc prk,2,Friday,Jan,2010,0.5135686215384733,No Game
2010-01-01,Theft,street,2,Friday,Jan,2010,0.2862698258405592,No Game
2010-01-01,Auto Theft,auto repair,6,Friday,Jan,2010,0.7343574791362248,No Game
2010-01-01,Theft,bar_nc,23,Friday,Jan,2010,0.5135686215384733,No Game
2010-01-01,Burglary,theatres dinner theaters auditor.,23,Friday,Jan,2010,0.6880508651155696,No Game
2010-01-01,Burglary,store,0,Friday,Jan,2010,1.6468441861974408,No Game
2010-01-01,Rape,house,6,Friday,Jan,2010,0.4641000786704575,No Game
2010-01-01,Burglary,apartment,17,Friday,Jan,2010,0.4848642785005177,No Game
2010-01-01,Theft,street,20,Friday,Jan,2010,0.4848642785005177,No Game
2010-01-01,Theft,house,0,Friday,Jan,2010,1.2933731602013112,No Game
2010-01-01,Theft,apartment prk,19,Friday,Jan,2010,0.3520888403766731,No Game
2010-01-01,Theft,house,20,Friday,Jan,2010,0.8334749939157425,No Game
2010-01-02,Theft,comm bld,0,Saturday,Jan,2010,0.7707792042822229,No Game
2010-01-02,Theft,bar_nc,0,Saturday,Jan,2010,0.5899883438494047,No Game
2010-01-02,Theft,unk,1,Saturday,Jan,2010,0.7343574791362248,No Game
2010-01-02,Theft,apartment,3,Saturday,Jan,2010,0.4845393221934925,No Game
2010-01-02,Theft,highway freeway,14,Saturday,Jan,2010,0.7343574791362248,No Game
2010-01-02,Theft,convention,14,Saturday,Jan,2010,0.4033805540792614,No Game
2010-01-02,Auto Theft,street,14,Saturday,Jan,2010,0.479433971778872,No Game
2010-01-02,Theft,house,18,Saturday,Jan,2010,0.8560466098530374,No Game
2010-01-02,Burglary,jail prison,19,Saturday,Jan,2010,0.30155097695375194,No Game
2010-01-02,Theft,store prk,19,Saturday,Jan,2010,0.3994521399685624,No Game
2010-01-02,Theft,comm prk,23,Saturday,Jan,2010,0.5600882289158742,No Game
2010-01-02,Burglary,house,19,Saturday,Jan,2010,1.1502792326747384,No Game
2010-01-02,Theft,street,1,Saturday,Jan,2010,0.7473041666762941,No Game
2010-01-03,Theft,bar_nc,0,Sunday,Jan,2010,0.5201781751338546,No Game
2010-01-03,Theft,unk,0,Sunday,Jan,2010,0.7343574791362248,No Game
2010-01-03,Theft,house,12,Sunday,Jan,2010,0.6769836399338367,No Game
2010-01-03,Theft,libraries,15,Sunday,Jan,2010,0.8267552046611893,No Game
2010-01-03,Theft,street,20,Sunday,Jan,2010,0.467759169595491,No Game
2010-01-03,Theft,street,22,Sunday,Jan,2010,0.4274473358410912,No Game
2010-01-03,Theft,street,22,Sunday,Jan,2010,0.2421510377904529,No Game
2010-01-03,Auto Theft,street,23,Sunday,Jan,2010,0.5372639539900983,No Game
2010-01-03,Auto Theft,apartment prk,0,Sunday,Jan,2010,15.521834321948242,No Game
2010-01-03,Burglary,auto repair,12,Sunday,Jan,2010,2.046336974308569,No Game
2010-01-03,Theft,comm prk,4,Sunday,Jan,2010,0.2814147789359563,No Game
2010-01-03,Theft,constr,18,Sunday,Jan,2010,0.3976140944219833,No Game
