date,crime_total,weekday,month,year,dist_stadium_meadian,season,part_day_mode,hour_mode,premise_mode,offense_mode,game
2010-01-01,16,Friday,Jan,2010,0.4992164500194955,Winter,Night,0,bar_nc,Theft,No Game
2010-01-02,12,Saturday,Jan,2010,0.5750382863826394,Winter,Night,14,street,Theft,No Game
2010-01-03,10,Sunday,Jan,2010,0.4939686723646728,Winter,Night,0,street,Theft,No Game
2010-01-04,5,Monday,Jan,2010,0.6488178933710741,Winter,Afternoon,14,store,Theft,No Game
2010-01-05,7,Tuesday,Jan,2010,0.7065545032747482,Winter,Morning,6,comm bld,Theft,No Game
2010-01-06,8,Wednesday,Jan,2010,0.6984242762516504,Winter,Night,0,apartment prk,Theft,No Game
2010-01-07,6,Thursday,Jan,2010,0.623669523883472,Winter,Afternoon,21,comm prk,Theft,No Game
2010-01-08,8,Friday,Jan,2010,0.4786463036503065,Winter,Night,23,bar_nc prk,Theft,No Game
2010-01-09,10,Saturday,Jan,2010,0.6954124092527374,Winter,Night,0,bar_nc,Theft,No Game
2010-01-10,8,Sunday,Jan,2010,0.5947457765379055,Winter,Afternoon,22,street,Theft,No Game
2010-01-11,8,Monday,Jan,2010,0.7343574791362248,Winter,Night,17,comm prk,Theft,No Game
2010-01-12,5,Tuesday,Jan,2010,0.4807701709404645,Winter,Afternoon,12,street,Theft,No Game
2010-01-13,8,Wednesday,Jan,2010,0.6984143673862002,Winter,Night,22,bus_rail,Theft,No Game
2010-01-14,4,Thursday,Jan,2010,0.5444596582601817,Winter,Afternoon,9,comm prk,Theft,No Game
2010-01-15,12,Friday,Jan,2010,0.6775837565632425,Winter,Night,0,comm prk,Theft,No Game
2010-01-16,7,Saturday,Jan,2010,0.7343574791362248,Winter,Night,22,bar_nc,Theft,No Game
2010-01-17,8,Sunday,Jan,2010,0.5350529209277692,Winter,Afternoon,12,apartment,Theft,No Game
2010-01-18,8,Monday,Jan,2010,0.6458910631182146,Winter,Afternoon,0,comm prk,Theft,No Game
2010-01-19,4,Tuesday,Jan,2010,0.7874649760814346,Winter,Night,0,street,Theft,No Game
2010-01-20,6,Wednesday,Jan,2010,0.5084693703041694,Winter,Evening,1,bar_nc,Theft,No Game
2010-01-21,9,Thursday,Jan,2010,0.7427823531114949,Winter,Afternoon,0,comm prk,Theft,No Game
2010-01-22,10,Friday,Jan,2010,0.5270870221029955,Winter,Afternoon,23,comm prk,Theft,No Game
2010-01-23,9,Saturday,Jan,2010,0.6156032026425118,Winter,Night,23,apartment,Theft,No Game
2010-01-24,8,Sunday,Jan,2010,0.7370625952016956,Winter,Night,3,street,Theft,No Game
2010-01-25,6,Monday,Jan,2010,0.511373389362263,Winter,Night,0,apartment prk,Theft,No Game
2010-01-26,8,Tuesday,Jan,2010,0.5846473390247303,Winter,Evening,9,prk,Theft,No Game
2010-01-27,8,Wednesday,Jan,2010,0.6229885765099931,Winter,Night,22,apartment prk,Theft,No Game
2010-01-28,5,Thursday,Jan,2010,0.5559875076917393,Winter,Night,0,driveway,Theft,No Game
2010-01-29,7,Friday,Jan,2010,0.7343574791362248,Winter,Night,0,comm prk,Theft,No Game
2010-01-30,6,Saturday,Jan,2010,0.5377581881560244,Winter,Night,1,bar_nc,Theft,No Game
2010-01-31,9,Sunday,Jan,2010,0.32454513068299395,Winter,Night,1,comm prk,Theft,No Game
2010-02-01,3,Monday,Feb,2010,0.8596304411729565,Winter,Morning,8,driveway,Theft,No Game
2010-02-02,5,Tuesday,Feb,2010,0.7343574791362248,Winter,Afternoon,13,street,Theft,No Game
2010-02-03,10,Wednesday,Feb,2010,0.45041492380844483,Winter,Evening,16,comm prk,Theft,No Game
2010-02-04,8,Thursday,Feb,2010,0.6686314825283813,Winter,Evening,18,street,Theft,No Game
2010-02-05,9,Friday,Feb,2010,0.6217281078314923,Winter,Night,0,comm prk,Theft,No Game
2010-02-06,10,Saturday,Feb,2010,0.49941223939208057,Winter,Night,0,street,Theft,No Game
2010-02-07,10,Sunday,Feb,2010,0.5635129152418679,Winter,Afternoon,12,comm prk,Theft,No Game
