date,OffenseType,Premise,hour,weekday,month,year,dist_stadium,game
2010-01-01,Auto Theft,bar_nc prk,0,Friday,Jan,2010,0.3493599012219485,No Game
2010-01-01,Theft,bar_nc,0,Friday,Jan,2010,0.6917281749926582,No Game
2010-01-01,Burglary,office bld,0,Friday,Jan,2010,0.8382028382700564,No Game
2010-01-01,Theft,unk,0,Friday,Jan,2010,0.9474493760851808,No Game
2010-01-01,Theft,convention,0,Friday,Jan,2010,0.4077520139690961,No Game
2010-01-01,Burglary,rest,1,Friday,Jan,2010,0.7768145101058841,No Game
2010-01-01,Theft,bar_nc prk,2,Friday,Jan,2010,0.8211095698849666,No Game
2010-01-01,Theft,street,2,Friday,Jan,2010,0.6502896762473972,No Game
2010-01-01,Auto Theft,auto repair,6,Friday,Jan,2010,0.9474493760851808,No Game
2010-01-01,Theft,bar_nc,23,Friday,Jan,2010,0.8211095698849666,No Game
2010-01-01,Burglary,theatres dinner theaters auditor.,23,Friday,Jan,2010,1.0275602628397278,No Game
2010-01-01,Burglary,store,0,Friday,Jan,2010,1.3187242775510497,No Game
2010-01-01,Rape,house,6,Friday,Jan,2010,0.3226544795689245,No Game
2010-01-01,Burglary,apartment,17,Friday,Jan,2010,0.7387059537368563,No Game
2010-01-01,Theft,street,20,Friday,Jan,2010,0.7387059537368563,No Game
2010-01-01,Theft,house,0,Friday,Jan,2010,0.9277750153721452,No Game
2010-01-01,Theft,apartment prk,19,Friday,Jan,2010,0.12753890588866418,No Game
2010-01-01,Theft,house,20,Friday,Jan,2010,0.6317792489995684,No Game
2010-01-02,Theft,comm bld,0,Saturday,Jan,2010,1.0395580891016332,No Game
2010-01-02,Theft,bar_nc,0,Saturday,Jan,2010,0.9665315657978256,No Game
2010-01-02,Theft,unk,1,Saturday,Jan,2010,0.9474493760851808,No Game
2010-01-02,Theft,apartment,3,Saturday,Jan,2010,0.8530013526503847,No Game
2010-01-02,Theft,highway freeway,14,Saturday,Jan,2010,0.9474493760851808,No Game
2010-01-02,Theft,convention,14,Saturday,Jan,2010,0.4077520139690961,No Game
2010-01-02,Auto Theft,street,14,Saturday,Jan,2010,0.5946427284008603,No Game
2010-01-02,Theft,house,18,Saturday,Jan,2010,0.9577680988046986,No Game
2010-01-02,Burglary,jail prison,19,Saturday,Jan,2010,0.6355353781141405,No Game
2010-01-02,Theft,store prk,19,Saturday,Jan,2010,0.7000773971911779,No Game
2010-01-02,Theft,comm prk,23,Saturday,Jan,2010,0.9183730226466408,No Game
