date,crime_total,weekday,month,year,dist_stadium_meadian,season,part_day_mode,hour_mode,premise_mode,offense_mode,game
2010-01-01,16,Friday,Jan,2010,0.7387059537368563,Winter,Night,0,house,Theft,No Game
2010-01-02,12,Saturday,Jan,2010,0.8700477750939817,Winter,Night,14,house,Theft,No Game
2010-01-03,9,Sunday,Jan,2010,0.8021791730171748,Winter,Night,0,street,Theft,No Game
2010-01-04,6,Monday,Jan,2010,0.8465372668413806,Winter,Afternoon,14,apartment,Theft,No Game
2010-01-05,6,Tuesday,Jan,2010,0.7481995116954525,Winter,Afternoon,2,street,Theft,No Game
2010-01-06,7,Wednesday,Jan,2010,0.8779166456112548,Winter,Night,0,apartment prk,Theft,No Game
2010-01-07,5,Thursday,Jan,2010,0.7258631659647072,Winter,Afternoon,21,comm prk,Theft,No Game
2010-01-08,10,Friday,Jan,2010,0.4652120040286677,Winter,Night,23,bar_nc prk,Theft,No Game
2010-01-09,9,Saturday,Jan,2010,0.8978007737262763,Winter,Night,0,bar_nc,Theft,No Game
2010-01-10,7,Sunday,Jan,2010,0.8507166082154508,Winter,Afternoon,22,street,Theft,No Game
2010-01-11,6,Monday,Jan,2010,0.9284595989557711,Winter,Night,0,street,Theft,No Game
2010-01-12,5,Tuesday,Jan,2010,0.8454681543434716,Winter,Afternoon,12,street,Theft,No Game
2010-01-13,6,Wednesday,Jan,2010,0.664822420154451,Winter,Night,22,bus_rail,Theft,No Game
2010-01-14,4,Thursday,Jan,2010,0.7889581910877712,Winter,Afternoon,9,comm prk,Theft,No Game
2010-01-15,12,Friday,Jan,2010,0.9083380164243273,Winter,Night,0,comm prk,Theft,No Game
2010-01-16,6,Saturday,Jan,2010,0.7200912795640746,Winter,Night,22,bar_nc,Theft,No Game
2010-01-17,8,Sunday,Jan,2010,0.725212725206773,Winter,Afternoon,12,apartment,Theft,No Game
2010-01-18,8,Monday,Jan,2010,0.8047829209180022,Winter,Afternoon,10,comm prk,Theft,No Game
2010-01-19,3,Tuesday,Jan,2010,0.8239234584475028,Winter,Night,0,street,Theft,No Game
2010-01-20,6,Wednesday,Jan,2010,0.7217051234298599,Winter,Evening,1,bar_nc,Theft,No Game
2010-01-21,6,Thursday,Jan,2010,0.898610602815076,Winter,Afternoon,0,apartment,Theft,No Game
2010-01-22,9,Friday,Jan,2010,0.8638053721505078,Winter,Afternoon,23,comm prk,Theft,No Game
2010-01-23,8,Saturday,Jan,2010,0.8593493314962095,Winter,Night,0,house,Theft,No Game
2010-01-24,6,Sunday,Jan,2010,0.5194668061546497,Winter,Night,3,street,Theft,No Game
2010-01-25,6,Monday,Jan,2010,0.7958536531936204,Winter,Night,0,apartment prk,Theft,No Game
2010-01-26,8,Tuesday,Jan,2010,0.8075465269254061,Winter,Evening,9,prk,Theft,No Game
2010-01-27,6,Wednesday,Jan,2010,0.8384624055489438,Winter,Night,22,apartment prk,Theft,No Game
2010-01-28,7,Thursday,Jan,2010,0.7461645799965676,Winter,Evening,0,driveway,Theft,No Game
2010-01-29,6,Friday,Jan,2010,0.8420035750152101,Winter,Night,22,street,Theft,No Game
2010-01-30,6,Saturday,Jan,2010,0.857294969192006,Winter,Night,1,bar_nc,Theft,No Game
2010-01-31,7,Sunday,Jan,2010,0.6485098630690174,Winter,Night,1,street,Theft,No Game
2010-02-01,2,Monday,Feb,2010,0.49213056725860344,Winter,Evening,9,driveway,Aggravated Assault,No Game
2010-02-02,4,Tuesday,Feb,2010,0.8846827869745331,Winter,Afternoon,8,street,Theft,No Game
2010-02-03,8,Wednesday,Feb,2010,0.6181403847070581,Winter,Evening,20,house,Theft,No Game
