date,crime_total,weekday,month,year,dist_stadium_meadian,season,part_day_mode,hour_mode,premise_mode,offense_mode,game
2010-01-01,15,Friday,Jan,2010,0.5496038652484306,Winter,Night,0,bar_nc,Theft,No Game
2010-01-02,13,Saturday,Jan,2010,0.4788698409123252,Winter,Night,0,street,Theft,No Game
2010-01-03,16,Sunday,Jan,2010,0.7250519451508375,Winter,Night,0,street,Theft,No Game
2010-01-04,8,Monday,Jan,2010,0.6864687936090506,Winter,Evening,17,store,Theft,No Game
2010-01-05,8,Tuesday,Jan,2010,0.4992449937827072,Winter,Afternoon,6,comm bld,Theft,No Game
2010-01-06,7,Wednesday,Jan,2010,0.4637194947093229,Winter,Night,0,apartment prk,Theft,No Game
2010-01-07,13,Thursday,Jan,2010,0.6084000757001717,Winter,Afternoon,15,comm prk,Theft,No Game
2010-01-08,13,Friday,Jan,2010,0.5592333021380596,Winter,Morning,23,bar_nc prk,Theft,No Game
2010-01-09,12,Saturday,Jan,2010,0.5135584302325293,Winter,Night,0,street,Theft,Won Game
2010-01-10,10,Sunday,Jan,2010,0.6167253837649868,Winter,Night,22,street,Theft,No Game
2010-01-11,9,Monday,Jan,2010,0.6509951400606192,Winter,Night,17,comm prk,Theft,No Game
2010-01-12,6,Tuesday,Jan,2010,0.7359098575940075,Winter,Afternoon,12,street,Theft,No Game
2010-01-13,6,Wednesday,Jan,2010,0.6717511265173355,Winter,Afternoon,0,bus_rail,Theft,Won Game
2010-01-14,7,Thursday,Jan,2010,0.4344706791313028,Winter,Night,22,comm prk,Theft,No Game
2010-01-15,13,Friday,Jan,2010,0.4732408289092689,Winter,Afternoon,0,comm prk,Theft,Lost Game
2010-01-16,9,Saturday,Jan,2010,0.6225027111395948,Winter,Night,21,street,Theft,No Game
2010-01-17,11,Sunday,Jan,2010,0.4301182449923337,Winter,Night,0,street,Theft,No Game
2010-01-18,10,Monday,Jan,2010,0.6039135053304681,Winter,Night,21,comm prk,Theft,Won Game
2010-01-19,6,Tuesday,Jan,2010,0.6810537438310973,Winter,Evening,4,street,Theft,No Game
2010-01-20,5,Wednesday,Jan,2010,0.4788698409123252,Winter,Evening,1,bar_nc,Theft,No Game
2010-01-21,8,Thursday,Jan,2010,0.46614851631436194,Winter,Afternoon,0,comm prk,Theft,No Game
2010-01-22,12,Friday,Jan,2010,0.846306222436678,Winter,Night,0,street,Theft,No Game
2010-01-23,11,Saturday,Jan,2010,0.4695943526573789,Winter,Night,23,house,Theft,Lost Game
2010-01-24,10,Sunday,Jan,2010,0.6191677185627386,Winter,Night,3,street,Theft,No Game
2010-01-25,7,Monday,Jan,2010,0.5214434087837541,Winter,Evening,19,bus_rail,Theft,Lost Game
2010-01-26,9,Tuesday,Jan,2010,0.5108935588124172,Winter,Morning,9,prk,Theft,No Game
2010-01-27,7,Wednesday,Jan,2010,0.5692766381478884,Winter,Evening,18,street,Theft,Lost Game
2010-01-28,9,Thursday,Jan,2010,0.6047453159583438,Winter,Evening,0,house,Theft,No Game
2010-01-29,7,Friday,Jan,2010,0.4307872210161626,Winter,Night,0,street,Theft,Won Game
2010-01-30,8,Saturday,Jan,2010,0.6995682470455848,Winter,Night,22,bar_nc,Theft,No Game
