,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat,lon,add,dist_stadium,game
2010-01-01,10H70,Aggravated Assault,hospital,1.0,19.0,1.0,Friday,Jan,2010.0,29.7114478,-95.39998759999999,"6550 Fannin St, Houston, TX 77030, USA",0.6484103824059998,No Game
2010-01-01,10H70,Burglary,residence/house,1.0,21.0,1.0,Friday,Jan,2010.0,29.7285413,-95.3826756,"4850 Austin St, Houston, TX 77004, USA",1.7992145888207576,No Game
2010-01-01,10H70,Aggravated Assault,residence/house,1.0,23.0,1.0,Friday,Jan,2010.0,29.726239,-95.37658559999998,"1950 Wentworth St, Houston, TX 77004, USA",2.0729777257329447,No Game
2010-01-02,10H70,Theft,hospital,1.0,15.0,2.0,Saturday,Jan,2010.0,29.7077133,-95.4032921,"6650 Fannin St, Houston, TX 77030, USA",0.694156752433725,No Game
2010-01-02,10H70,Theft,hospital,1.0,15.0,2.0,Saturday,Jan,2010.0,29.712163300000004,-95.399011,"6450 Fannin St, Houston, TX 77030, USA",0.6764461010770623,No Game
2010-01-02,10H70,Theft,apartment parking lot,1.0,15.0,2.0,Saturday,Jan,2010.0,29.7252447,-95.38409449999999,"1450 Oakdale St, Houston, TX 77004, USA",1.6261145593358455,No Game
2010-01-02,10H70,Theft,hospital,1.0,20.0,2.0,Saturday,Jan,2010.0,29.7114478,-95.39998759999999,"6550 Fannin St, Houston, TX 77030, USA",0.6484103824059998,No Game
2010-01-03,10H80,Theft,"gym,recreat,club hse,indr pool,spa",1.0,16.0,3.0,Sunday,Jan,2010.0,29.781236,-95.3678655,"2450 South St, Houston, TX 77009, USA",5.110001935055845,No Game
2010-01-03,10H80,Burglary,"garden supply, nursery, florist",1.0,17.0,3.0,Sunday,Jan,2010.0,29.7193942,-95.4151567,"5150 Morningside Dr, Houston, TX 77005, USA",0.4153663162041525,No Game
2010-01-03,10H80,Theft,driveway,1.0,22.0,3.0,Sunday,Jan,2010.0,29.7289452,-95.4056083,"1850 Milford St, Houston, TX 77098, USA",0.8909119483335954,No Game
2010-01-03,10H80,Theft,driveway,1.0,22.0,3.0,Sunday,Jan,2010.0,29.730342600000004,-95.406391,"1950 Vassar St, Houston, TX 77098, USA",0.975473390356677,No Game
2010-01-03,10H80,Theft,driveway,1.0,22.0,3.0,Sunday,Jan,2010.0,29.7289452,-95.4056083,"1850 Milford St, Houston, TX 77098, USA",0.8909119483335954,No Game
2010-01-03,10H80,Theft,driveway,1.0,22.0,3.0,Sunday,Jan,2010.0,29.730342600000004,-95.406391,"1950 Vassar St, Houston, TX 77098, USA",0.975473390356677,No Game
2010-01-03,10H70,Theft,hospital,1.0,2.0,3.0,Sunday,Jan,2010.0,29.711525800000004,-95.3944969,"1550 Ben Taub Loop, Houston, TX 77030, USA",0.9435017033573864,No Game
2010-01-03,10H70,Theft,hospital,1.0,14.0,3.0,Sunday,Jan,2010.0,29.7077133,-95.4032921,"6650 Fannin St, Houston, TX 77030, USA",0.694156752433725,No Game
2010-01-04,10H80,Theft,clothing store,1.0,17.0,4.0,Monday,Jan,2010.0,29.725768,-95.41684599999999,"2450 Bissonnet St, Houston, TX 77005, USA",0.7940129075892636,No Game
2010-01-04,10H80,Theft,garage/carport,1.0,18.0,4.0,Monday,Jan,2010.0,29.708918100000005,-95.4146595,"2350 Wordsworth St, Houston, TX 77030, USA",0.6114314883251081,No Game
2010-01-04,10H70,Theft,apartment,1.0,0.0,4.0,Monday,Jan,2010.0,29.7209322,-95.3862212,"1650 Hermann Dr, Houston, TX 77004, USA",1.4145969092403499,No Game
2010-01-04,10H70,Aggravated Assault,grocery/supermarket parking lot,1.0,19.0,4.0,Monday,Jan,2010.0,29.711525800000004,-95.3944969,"1550 Ben Taub Loop, Houston, TX 77030, USA",0.9435017033573864,No Game
2010-01-04,10H70,Robbery,convenience store,1.0,22.0,4.0,Monday,Jan,2010.0,29.7226845,-95.3790686,"5250 Almeda Rd, Houston, TX 77004, USA",1.860793837859905,No Game
2010-01-04,10H70,Theft,hospital,1.0,22.0,4.0,Monday,Jan,2010.0,29.7077133,-95.4032921,"6650 Fannin St, Houston, TX 77030, USA",0.694156752433725,No Game
2010-01-05,10H80,Theft,driveway,1.0,13.0,5.0,Tuesday,Jan,2010.0,29.7306172,-95.3872494,"850 Rosedale St, Houston, TX 77006, USA",1.6421526138324676,No Game
2010-01-05,10H80,Theft,condominium,1.0,15.0,5.0,Tuesday,Jan,2010.0,29.7209982,-95.4180419,"2550 Robinhood St, Houston, TX 77005, USA",0.6208810053466381,No Game
2010-01-05,10H80,Burglary,garage/carport,1.0,20.0,5.0,Tuesday,Jan,2010.0,29.7128435,-95.4147295,"2350 Swift Blvd, Houston, TX 77030, USA",0.41411155851677867,No Game
2010-01-06,10H80,Theft,other/unknown,1.0,0.0,6.0,Wednesday,Jan,2010.0,29.7072895,-95.41464,"2350 Sheridan St, Houston, TX 77030, USA",0.7078872353136613,No Game
2010-01-06,10H80,Theft,strip business center parking lot,1.0,10.0,6.0,Wednesday,Jan,2010.0,29.7168486,-95.4179854,"2550 Times Blvd, Houston, TX 77005, USA",0.5311363967702111,No Game
2010-01-06,10H80,Robbery,hotel/motel/etc.,1.0,22.0,6.0,Wednesday,Jan,2010.0,29.7071392,-95.4051381,"6950 S Main St, Houston, TX 77030, USA",0.6816025243645072,No Game
2010-01-06,10H70,Theft,commercial parking lot/garage,1.0,7.0,6.0,Wednesday,Jan,2010.0,29.723256,-95.3895563,"1150 Hermann Dr, Houston, TX 77004, USA",1.2703586806196452,No Game
2010-01-06,10H70,Theft,hospital,1.0,8.0,6.0,Wednesday,Jan,2010.0,29.7077133,-95.4032921,"6650 Fannin St, Houston, TX 77030, USA",0.694156752433725,No Game
2010-01-06,10H70,Robbery,road/street/sidewalk,1.0,10.0,6.0,Wednesday,Jan,2010.0,29.711525800000004,-95.3944969,"1550 Ben Taub Loop, Houston, TX 77030, USA",0.9435017033573864,No Game
2010-01-06,10H70,Theft,hospital,1.0,13.0,6.0,Wednesday,Jan,2010.0,29.7077133,-95.4032921,"6650 Fannin St, Houston, TX 77030, USA",0.694156752433725,No Game
2010-01-06,10H70,Theft,commercial parking lot/garage,1.0,17.0,6.0,Wednesday,Jan,2010.0,29.7114478,-95.39998759999999,"6550 Fannin St, Houston, TX 77030, USA",0.6484103824059998,No Game
2010-01-06,10H70,Theft,apartment parking lot,1.0,23.0,6.0,Wednesday,Jan,2010.0,29.7094197,-95.3834505,"6350 Almeda Rd, Houston, TX 77030, USA",1.6190195466046557,No Game
2010-01-07,10H80,Theft,department/discount store,1.0,12.0,7.0,Thursday,Jan,2010.0,29.7154534,-95.4176237,"2550 University Blvd, Houston, TX 77005, USA",0.5125165477018648,No Game
2010-01-07,10H70,Theft,office building,1.0,11.0,7.0,Thursday,Jan,2010.0,29.7109228,-95.3979107,"1150 John Freeman Blvd, Houston, TX 77030, USA",0.7744620724283124,No Game
2010-01-09,10H80,Theft,misc. business (non-specific),1.0,8.0,9.0,Saturday,Jan,2010.0,29.726330800000003,-95.3913587,"5250 Montrose Blvd, Houston, TX 77006, USA",1.270900294504731,No Game
2010-01-09,10H80,Theft,apartment parking lot,1.0,15.0,9.0,Saturday,Jan,2010.0,29.7282233,-95.4128347,"4150 Greenbriar Dr, Houston, TX 77098, USA",0.8444164469000569,No Game
