date,crime_total,weekday,month,year,dist_stadium_meadian,season,part_day_mode,hour_mode,premise_mode,offense_mode,game
2010-01-01,1,Friday,Jan,2010,0.6484103824059998,Winter,Evening,19,hospital,Aggravated Assault,No Game
2010-01-02,3,Saturday,Jan,2010,0.6764461010770623,Winter,Afternoon,15,hospital,Theft,No Game
2010-01-03,7,Sunday,Jan,2010,0.8909119483335954,Winter,Night,22,driveway,Theft,No Game
2010-01-04,4,Monday,Jan,2010,0.7440848300114943,Winter,Evening,17,hospital,Theft,No Game
2010-01-05,2,Tuesday,Jan,2010,0.5174962819317084,Winter,Afternoon,15,house,Burglary,No Game
2010-01-06,7,Wednesday,Jan,2010,0.694156752433725,Winter,Morning,10,hospital,Theft,No Game
2010-01-07,2,Thursday,Jan,2010,0.6434893100650887,Winter,Afternoon,11,office bld,Theft,No Game
2010-01-09,2,Saturday,Jan,2010,0.8421008803861061,Winter,Afternoon,15,apartment prk,Burglary,No Game
2010-01-10,1,Sunday,Jan,2010,0.35124703729105605,Winter,Night,3,bar_nc,Theft,No Game
2010-01-11,2,Monday,Jan,2010,0.6633409445527718,Winter,Afternoon,16,hospital,Theft,No Game
2010-01-12,2,Tuesday,Jan,2010,0.5639233263548489,Winter,Morning,2,hospital,Burglary,No Game
2010-01-13,3,Wednesday,Jan,2010,0.8041706118957536,Winter,Evening,2,house,Burglary,No Game
2010-01-14,2,Thursday,Jan,2010,0.617063605761765,Winter,Afternoon,16,hospital,Theft,No Game
2010-01-15,4,Friday,Jan,2010,0.7205245215152778,Winter,Afternoon,14,hospital,Theft,No Game
2010-01-17,6,Sunday,Jan,2010,0.5125165477018648,Winter,Afternoon,12,store,Theft,No Game
2010-01-18,2,Monday,Jan,2010,0.7309859624002975,Winter,Evening,20,apartment,Theft,No Game
2010-01-19,2,Tuesday,Jan,2010,0.7222663800965927,Winter,Evening,17,comm prk,Robbery,No Game
2010-01-20,5,Wednesday,Jan,2010,0.6858457634493503,Winter,Afternoon,12,house,Burglary,No Game
2010-01-21,5,Thursday,Jan,2010,0.7078872353136613,Winter,Morning,6,hospital,Theft,No Game
2010-01-22,4,Friday,Jan,2010,0.6764461010770623,Winter,Night,0,hospital,Theft,No Game
2010-01-23,1,Saturday,Jan,2010,0.6484103824059998,Winter,Afternoon,14,hospital,Burglary,No Game
