date,OffenseType,Premise,hour,weekday,month,year,dist_stadium,game
2010-01-01,Aggravated Assault,apartment,23,Friday,Jan,2010,0.4055340434637791,No Game
2010-01-01,Aggravated Assault,apartment,23,Friday,Jan,2010,0.6328406843075778,No Game
2010-01-01,Theft,store,23,Friday,Jan,2010,0.4055340434637791,No Game
2010-01-01,Theft,store,23,Friday,Jan,2010,0.6328406843075778,No Game
2010-01-02,Theft,unk,0,Saturday,Jan,2010,0.892807079677978,No Game
2010-01-02,Theft,hotel,12,Saturday,Jan,2010,0.5943285051269078,No Game
2010-01-03,Auto Theft,apartment prk,0,Sunday,Jan,2010,0.8275686830771158,Won Game
2010-01-03,Burglary,apartment,1,Sunday,Jan,2010,0.8842404940017518,Won Game
2010-01-03,Auto Theft,apartment prk,17,Sunday,Jan,2010,0.6004641895020073,Won Game
2010-01-03,Theft,prk,21,Sunday,Jan,2010,1.463770839215481,Won Game
2010-01-03,Theft,hotel prk,22,Sunday,Jan,2010,0.4890060163205061,Won Game
2010-01-04,Robbery,apartment,9,Monday,Jan,2010,0.5848248317100726,No Game
2010-01-04,Theft,apartment prk,18,Monday,Jan,2010,1.4300288082143584,No Game
2010-01-05,Theft,store,10,Tuesday,Jan,2010,0.7473508771398538,No Game
2010-01-05,Auto Theft,prk,12,Tuesday,Jan,2010,0.6809873874104293,No Game
2010-01-05,Burglary,apartment,18,Tuesday,Jan,2010,1.1958277615639732,No Game
2010-01-05,Burglary,factory manufacturing industrial,19,Tuesday,Jan,2010,1.390072131165481,No Game
2010-01-06,Theft,comm prk,9,Wednesday,Jan,2010,0.6112535284678793,No Game
2010-01-06,Theft,apartment prk,11,Wednesday,Jan,2010,0.8842404940017518,No Game
2010-01-06,Theft,office bld,12,Wednesday,Jan,2010,1.7256154577530745,No Game
2010-01-06,Theft,apartment,13,Wednesday,Jan,2010,0.8946823661119043,No Game
2010-01-06,Theft,apartment,17,Wednesday,Jan,2010,0.8842404940017518,No Game
2010-01-06,Burglary,house,19,Wednesday,Jan,2010,0.9065742487090735,No Game
2010-01-07,Theft,hotel prk,6,Thursday,Jan,2010,0.4161537803516811,No Game
2010-01-07,Burglary,apartment,11,Thursday,Jan,2010,0.9442750508272854,No Game
2010-01-07,Auto Theft,comm prk,16,Thursday,Jan,2010,1.0261934257818734,No Game
2010-01-08,Theft,store prk,9,Friday,Jan,2010,0.5775098155852604,No Game
2010-01-08,Theft,electronics store  electrical sup.,13,Friday,Jan,2010,0.7628852332918156,No Game
2010-01-08,Theft,prk,18,Friday,Jan,2010,0.5943285051269078,No Game
2010-01-08,Robbery,store,20,Friday,Jan,2010,0.8183029236642225,No Game
2010-01-08,Robbery,store,20,Friday,Jan,2010,1.2849329592613792,No Game
2010-01-08,Auto Theft,unk,20,Friday,Jan,2010,0.8183029236642225,No Game
2010-01-08,Auto Theft,unk,20,Friday,Jan,2010,1.2849329592613792,No Game
2010-01-08,Aggravated Assault,apartment,23,Friday,Jan,2010,0.5848248317100726,No Game
2010-01-09,Theft,house,8,Saturday,Jan,2010,0.6006289175336859,No Game
2010-01-09,Theft,hotel prk,17,Saturday,Jan,2010,0.4161537803516811,No Game
2010-01-09,Theft,prk,18,Saturday,Jan,2010,0.3693839194107961,No Game
2010-01-09,Auto Theft,apartment,19,Saturday,Jan,2010,0.583376805081283,No Game
2010-01-09,Theft,unk,21,Saturday,Jan,2010,0.3693839194107961,No Game
2010-01-10,Theft,rest,3,Sunday,Jan,2010,0.7554810247162898,No Game
2010-01-10,Robbery,rest prk,9,Sunday,Jan,2010,0.9960632846231988,No Game
2010-01-10,Theft,store,10,Sunday,Jan,2010,0.5677170391579041,No Game
2010-01-10,Auto Theft,store prk,12,Sunday,Jan,2010,0.5677170391579041,No Game
2010-01-10,Theft,rest prk,14,Sunday,Jan,2010,0.6269594842347209,No Game
2010-01-10,Theft,rest prk,14,Sunday,Jan,2010,0.6269594842347209,No Game
2010-01-10,Theft,rest prk,14,Sunday,Jan,2010,1.5890003013360146,No Game
