date,crime_total,weekday,month,year,dist_stadium_meadian,season,part_day_mode,hour_mode,premise_mode,offense_mode,game
2010-01-01,4,Friday,Jan,2010,0.5191873638856784,Winter,Night,23,apartment,Aggravated Assault,No Game
2010-01-02,2,Saturday,Jan,2010,0.7435677924024429,Winter,Afternoon,0,hotel,Theft,No Game
2010-01-03,4,Sunday,Jan,2010,0.7140164362895616,Winter,Night,0,apartment prk,Auto Theft,Won Game
2010-01-04,1,Monday,Jan,2010,0.5848248317100726,Winter,Morning,9,apartment,Robbery,No Game
2010-01-05,2,Tuesday,Jan,2010,0.7141691322751416,Winter,Afternoon,10,prk,Auto Theft,No Game
2010-01-06,5,Wednesday,Jan,2010,0.8842404940017518,Winter,Evening,9,apartment,Theft,No Game
2010-01-07,2,Thursday,Jan,2010,0.6802144155894833,Winter,Morning,6,apartment,Burglary,No Game
2010-01-08,6,Friday,Jan,2010,0.6786068692093616,Winter,Evening,20,apartment,Theft,No Game
2010-01-09,5,Saturday,Jan,2010,0.4161537803516811,Winter,Evening,8,apartment,Theft,No Game
2010-01-10,15,Sunday,Jan,2010,0.6269594842347209,Winter,Afternoon,14,rest prk,Theft,No Game
2010-01-11,3,Monday,Jan,2010,0.7592217813015613,Winter,Night,17,apartment prk,Auto Theft,No Game
2010-01-12,12,Tuesday,Jan,2010,0.6809873874104293,Winter,Morning,8,apartment,Theft,No Game
2010-01-13,5,Wednesday,Jan,2010,0.647848480236643,Winter,Night,1,store,Theft,No Game
2010-01-14,3,Thursday,Jan,2010,0.6328406843075778,Winter,Night,0,apartment prk,Theft,No Game
2010-01-16,8,Saturday,Jan,2010,0.5666538689011138,Winter,Night,21,rest prk,Theft,No Game
2010-01-17,22,Sunday,Jan,2010,0.7179646596673087,Winter,Night,0,apartment prk,Theft,No Game
2010-01-18,7,Monday,Jan,2010,0.6328406843075778,Winter,Evening,20,store,Theft,No Game
2010-01-19,16,Tuesday,Jan,2010,0.7268921980856968,Winter,Morning,11,apartment,Burglary,No Game
2010-01-20,11,Wednesday,Jan,2010,0.7268921980856968,Winter,Night,22,apartment prk,Theft,No Game
2010-01-21,2,Thursday,Jan,2010,0.4741456333999441,Winter,Evening,20,apartment prk,Theft,No Game
2010-01-22,7,Friday,Jan,2010,0.4161537803516811,Winter,Evening,17,store,Theft,No Game
2010-01-23,13,Saturday,Jan,2010,0.3693839194107961,Winter,Evening,18,prk,Theft,No Game
2010-01-24,7,Sunday,Jan,2010,0.6328406843075778,Winter,Afternoon,15,store prk,Theft,No Game
2010-01-25,5,Monday,Jan,2010,0.6464544021885513,Winter,Night,3,apartment prk,Theft,No Game
2010-01-26,6,Tuesday,Jan,2010,0.6841838335210251,Winter,Morning,7,apartment,Burglary,No Game
2010-01-27,23,Wednesday,Jan,2010,0.6613543125433523,Winter,Morning,8,apartment prk,Theft,No Game
2010-01-28,5,Thursday,Jan,2010,0.5677170391579041,Winter,Night,1,apartment,Auto Theft,No Game
2010-01-29,2,Friday,Jan,2010,0.4734468674980282,Winter,Afternoon,12,comm prk,Theft,No Game
2010-01-30,1,Saturday,Jan,2010,0.3693839194107961,Winter,Evening,18,prk,Theft,No Game
2010-01-31,4,Sunday,Jan,2010,0.57740780477895,Winter,Night,4,apartment prk,Theft,No Game
2010-02-01,5,Monday,Feb,2010,0.6328406843075778,Winter,Night,0,apartment,Theft,No Game
2010-02-02,3,Tuesday,Feb,2010,0.7405196580948493,Winter,Afternoon,0,apartment,Theft,No Game
2010-02-03,3,Wednesday,Feb,2010,0.8946823661119043,Winter,Afternoon,15,apartment,Aggravated Assault,No Game
2010-02-04,2,Thursday,Feb,2010,0.5283615277392051,Winter,Night,0,hotel prk,Theft,No Game
2010-02-05,1,Friday,Feb,2010,0.9960632846231988,Winter,Afternoon,12,comm prk,Auto Theft,No Game
2010-02-06,14,Saturday,Feb,2010,0.4161537803516811,Winter,Night,22,bar_nc prk,Theft,No Game
2010-02-07,5,Sunday,Feb,2010,0.6844997723333276,Winter,Night,1,comm prk,Theft,No Game
2010-02-08,4,Monday,Feb,2010,0.7508562300970932,Winter,Morning,7,apartment,Burglary,No Game
2010-02-09,7,Tuesday,Feb,2010,0.5943285051269078,Winter,Evening,17,store prk,Theft,No Game
2010-02-10,4,Wednesday,Feb,2010,0.5641020717944482,Winter,Afternoon,0,store,Theft,No Game
2010-02-11,5,Thursday,Feb,2010,0.7136018417123194,Winter,Morning,8,apartment,Burglary,No Game
2010-02-12,3,Friday,Feb,2010,0.6411670087628404,Winter,Afternoon,11,hotel prk,Theft,No Game
2010-02-15,6,Monday,Feb,2010,0.6704224853552092,Winter,Afternoon,7,apartment,Theft,No Game
2010-02-16,9,Tuesday,Feb,2010,0.5775098155852604,Winter,Morning,10,hotel prk,Theft,No Game
2010-02-17,3,Wednesday,Feb,2010,0.7650717477006265,Winter,Evening,19,apartment,Auto Theft,No Game
