date,crime_total,weekday,month,year,dist_stadium_meadian,season,part_day_mode,hour_mode,premise_mode,offense_mode,game
2010-01-01,5,Friday,Jan,2010,0.5274770851645534,Winter,Afternoon,12,house,Aggravated Assault,No Game
2010-01-02,2,Saturday,Jan,2010,0.71306860214041,Winter,Morning,10,apartment,Burglary,No Game
2010-01-03,1,Sunday,Jan,2010,0.6486245929900516,Winter,Morning,7,apartment,Aggravated Assault,No Game
2010-01-04,6,Monday,Jan,2010,0.5388419412042571,Winter,Evening,17,street,Theft,No Game
2010-01-06,2,Wednesday,Jan,2010,0.5945224340339619,Winter,Afternoon,1,rest,Robbery,No Game
2010-01-07,5,Thursday,Jan,2010,0.4432285860056596,Winter,Night,1,street,Aggravated Assault,No Game
2010-01-08,2,Friday,Jan,2010,0.6949947013488907,Winter,Afternoon,14,college,Theft,No Game
2010-01-09,2,Saturday,Jan,2010,0.6303655484486689,Winter,Night,0,apartment,Auto Theft,No Game
2010-01-10,1,Sunday,Jan,2010,0.9409722239305744,Winter,Morning,10,street,Auto Theft,No Game
2010-01-11,6,Monday,Jan,2010,0.6825219924799716,Winter,Evening,18,house,Aggravated Assault,No Game
2010-01-12,2,Tuesday,Jan,2010,0.7403042912861757,Winter,Afternoon,9,street,Theft,No Game
2010-01-13,2,Wednesday,Jan,2010,0.8730880454769632,Winter,Morning,4,apartment,Robbery,No Game
2010-01-14,3,Thursday,Jan,2010,0.23109871621071704,Winter,Afternoon,9,house,Burglary,No Game
2010-01-15,3,Friday,Jan,2010,0.5014317295219822,Winter,Night,10,house,Burglary,No Game
2010-01-16,2,Saturday,Jan,2010,0.8966360328212669,Winter,Afternoon,16,apartment,Aggravated Assault,No Game
2010-01-17,1,Sunday,Jan,2010,0.6384765706656774,Winter,Night,22,college,Theft,No Game
2010-01-18,1,Monday,Jan,2010,0.4618381254370447,Winter,Afternoon,12,house,Burglary,No Game
2010-01-19,5,Tuesday,Jan,2010,0.6336103951197424,Winter,Afternoon,14,apartment,Burglary,No Game
2010-01-20,5,Wednesday,Jan,2010,0.6486605785513939,Winter,Night,0,street,Robbery,No Game
2010-01-21,4,Thursday,Jan,2010,0.47754802227337395,Winter,Night,2,apartment prk,Theft,No Game
